"Original","Submitted","Accepted_name","Selected_family","Selected_order","Selected_class","Synonyms"
"heliothis virescens","Heliothis virescens","Heliothis virescens","Noctuidae","Lepidoptera","Insecta","Helicoverpa virescens"
"hepialus armoricanus","Hepialus armoricanus","Hepialus armoricanus","Hepialidae","Lepidoptera","Insecta",NA
"hofmannophila pseudospretella","Hofmannophila pseudospretella","Hofmannophila pseudospretella","Oecophoridae","Lepidoptera","Insecta",NA
"hyphantria cunea","Hyphantria cunea","Hyphantria cunea","Erebidae","Lepidoptera","Insecta","Hyphantria textor"
"gadus macrocephalus","Gadus macrocephalus","Gadus macrocephalus","Gadidae","Gadiformes","Actinopterygii","Gadus morhua maris-albi"
"hypolimnas bolina","Hypolimnas bolina","Hypolimnas bolina","Nymphalidae","Lepidoptera","Insecta",NA
"inachis io","Inachis io","Inachis io","Nymphalidae","Lepidoptera","Insecta",NA
"lobesia botrana","Lobesia botrana","Lobesia botrana","Tortricidae","Lepidoptera","Insecta",NA
"lymantria dispar","Lymantria dispar","Lymantria dispar","Lymantriidae","Lepidoptera","Insecta","Porthetria dispar"
"malacosoma disstria","Malacosoma disstria","Malacosoma disstria","Lasiocampidae","Lepidoptera","Insecta",NA
"manduca sexta","Manduca sexta","Manduca sexta","Sphingidae","Lepidoptera","Insecta",NA
"mythimna unipuncta","Mythimna unipuncta","Mythimna unipuncta","Noctuidae","Lepidoptera","Insecta","Pseudaletia unipuncta"
"odontosema anastrephae","Odontosema anastrephae","Odontosema anastrephae","Noctuidae","Lepidoptera","Insecta",NA
"operophtera brumata","Operophtera brumata","Operophtera brumata","Geometridae","Lepidoptera","Insecta",NA
"orgyia pseudotsugata","Orgyia pseudotsugata","Orgyia pseudotsugata","Erebidae","Lepidoptera","Insecta",NA
"gadus morhua","Gadus morhua","Gadus morhua","Gadidae","Gadiformes","Actinopterygii",NA
"ostrinia furnacalis","Ostrinia furnacalis","Ostrinia furnacalis","Crambidae","Lepidoptera","Insecta",NA
"ostrinia nubilalis","Ostrinia nubilalis","Ostrinia nubilalis","Crambidae","Lepidoptera","Insecta",NA
"oxytenis modestia","Oxytenis modestia","Oxytenis modestia","Saturniidae","Lepidoptera","Insecta",NA
"pheretima sieboldi","Pheretima sieboldi","Pheretima sieboldi","Lycaenidae","Lepidoptera","Insecta",NA
"phthorimaea operculella","Phthorimaea operculella","Phthorimaea operculella","Gelechiidae","Lepidoptera","Insecta",NA
"pieris brassicae","Pieris brassicae","Pieris brassicae","Pieridae","Lepidoptera","Insecta",NA
"pieris rapae","Pieris rapae","Pieris rapae","Pieridae","Lepidoptera","Insecta",NA
"plodia interpunctella","Plodia interpunctella","Plodia interpunctella","Pyralidae","Lepidoptera","Insecta",NA
"plutella xylostella","Plutella xylostella","Plutella xylostella","Plutellidae","Lepidoptera","Insecta",NA
"prays oleae","Prays oleae","Prays oleae","Praydidae","Lepidoptera","Insecta",NA
"gadus ogac","Gadus ogac","Gadus ogac","Gadidae","Gadiformes","Actinopterygii",NA
"pseudoplusia includens","Pseudoplusia includens","Chrysodeixis includens","Noctuidae","Lepidoptera","Insecta","Pseudoplusia includens"
"samia cynthia","Samia cynthia","Samia cynthia","Saturniidae","Lepidoptera","Insecta",NA
"sasakia charonda","Sasakia charonda","Sasakia charonda","Nymphalidae","Lepidoptera","Insecta",NA
"scirpophaga incertulas","Scirpophaga incertulas","Scirpophaga incertulas","Crambidae","Lepidoptera","Insecta",NA
"sesamia inferens","Sesamia inferens","Sesamia inferens","Noctuidae","Lepidoptera","Insecta",NA
"spodoptera exigua","Spodoptera exigua","Spodoptera exigua","Noctuidae","Lepidoptera","Insecta",NA
"spodoptera frugiperda","Spodoptera frugiperda","Spodoptera frugiperda","Noctuidae","Lepidoptera","Insecta",NA
"spodoptera litura","Spodoptera litura","Spodoptera litura","Noctuidae","Lepidoptera","Insecta",NA
"tecia solanivora","Tecia solanivora","Tecia solanivora","Gelechiidae","Lepidoptera","Insecta",NA
"thaumetopoea pityocampa","Thaumetopoea pityocampa","Thaumetopoea pityocampa","Notodontidae","Lepidoptera","Insecta",NA
"gaidropsarus argentatus","Gaidropsarus argentatus","Gaidropsarus argentatus","Lotidae","Gadiformes","Actinopterygii","Onogadus argentatus"
"trichoplusia ni","Trichoplusia ni","Trichoplusia ni","Noctuidae","Lepidoptera","Insecta",NA
"tuta absoluta","Tuta absoluta","Tuta absoluta","Gelechiidae","Lepidoptera","Insecta",NA
"tyria jacobaeae","Tyria jacobaeae","Tyria jacobaeae","Erebidae","Lepidoptera","Insecta",NA
"chauliodes pectinicornis","Chauliodes pectinicornis","Chauliodes pectinicornis","Corydalidae","Megaloptera","Insecta",NA
"corydalus cornutus","Corydalus cornutus","Corydalus cornutus","Corydalidae","Megaloptera","Insecta","Corydalus crassicornis"
"corydalus cornutus","Corydalus cornutus","Corydalus cornutus","Corydalidae","Megaloptera","Insecta","Corydalus inamabilis"
"corydalus cornutus","Corydalus cornutus","Corydalus cornutus","Corydalidae","Megaloptera","Insecta","Corydalus texana"
"corydalus cornutus","Corydalus cornutus","Corydalus cornutus","Corydalidae","Megaloptera","Insecta","Corydalus cognatus"
"corydalus cornutus","Corydalus cornutus","Corydalus cornutus","Corydalidae","Megaloptera","Insecta","Corydalus texanus"
"chrysoperla sillemi","Chrysoperla sillemi","Chrysoperla sillemi","Chrysopidae","Neuroptera","Insecta",NA
"chrysoperla zastrowi","Chrysoperla zastrowi","Chrysoperla zastrowi","Chrysopidae","Neuroptera","Insecta",NA
"anax junius","Anax junius","Anax junius","Aeshnidae","Odonata","Insecta","Gomphus junius"
"enallagma civile","Enallagma civile","Enallagma civile","Coenagrionidae","Odonata","Insecta",NA
"dichroplus elongatus","Dichroplus elongatus","Dichroplus elongatus","Acrididae","Orthoptera","Insecta",NA
"gaidropsarus mediterraneus","Gaidropsarus mediterraneus","Gaidropsarus mediterraneus","Lotidae","Gadiformes","Actinopterygii",NA
"gryllotalpa gryllotalpa","Gryllotalpa gryllotalpa","Gryllotalpa gryllotalpa","Gryllotalpidae","Orthoptera","Insecta",NA
"gryllus bimaculatus","Gryllus bimaculatus","Gryllus bimaculatus","Gryllidae","Orthoptera","Insecta",NA
"gryllus pennsylvanicus","Gryllus pennsylvanicus","Gryllus pennsylvanicus","Gryllidae","Orthoptera","Insecta",NA
"loxoblemmus doenetzi","Loxoblemmus doenetzi","Loxoblemmus doenetzi","Gryllidae","Orthoptera","Insecta",NA
"loxoblemmus equestris","Loxoblemmus equestris","Loxoblemmus equestris","Gryllidae","Orthoptera","Insecta",NA
"melanoplus differentialis","Melanoplus differentialis","Melanoplus differentialis","Acrididae","Orthoptera","Insecta",NA
"poekilocerus pictus","Poekilocerus pictus","Poekilocerus pictus","Pyrgomorphidae","Orthoptera","Insecta",NA
"rammeacris kiangsu","Rammeacris kiangsu","Rammeacris kiangsu","Acrididae","Orthoptera","Insecta",NA
"schistocerca gregaria","Schistocerca gregaria","Schistocerca gregaria","Acrididae","Orthoptera","Insecta",NA
"schistocerca pallens","Schistocerca pallens","Schistocerca pallens","Acrididae","Orthoptera","Insecta",NA
"lota lota","Lota lota","Lota lota","Lotidae","Gadiformes","Actinopterygii",NA
"teleogryllus commodus","Teleogryllus commodus","Teleogryllus commodus","Gryllidae","Orthoptera","Insecta",NA
"tristira magellanica","Tristira magellanica","Tristira magellanica","Tristiridae","Orthoptera","Insecta",NA
"yunnanacris yunnaneus","Yunnanacris yunnaneus","Yunnanacris yunnaneus","Acrididae","Orthoptera","Insecta",NA
"pediculus humanus","Pediculus humanus","Pediculus humanus","Pediculidae","Phthiraptera","Insecta","Pediculus humanus humanus"
"pediculus humanus","Pediculus humanus","Pediculus humanus","Pediculidae","Phthiraptera","Insecta","Pediculus humanus capitis"
"allocapnia vivipara","Allocapnia vivipara","Allocapnia vivipara","Capniidae","Plecoptera","Insecta",NA
"trichodectes canis","Trichodectes canis","Trichodectes canis","Trichodectidae","Psocodea","Insecta",NA
"liposcelis bostrychophila","Liposcelis bostrychophila","Liposcelis bostrychophila","Liposcelidae","Psocoptera","Insecta",NA
"aetheca wagneri","Aetheca wagneri","Aetheca wagneri","Ceratophyllidae","Siphonaptera","Insecta",NA
"cediopsylla inaequalis","Cediopsylla inaequalis","Cediopsylla inaequalis","Pulicidae","Siphonaptera","Insecta",NA
"ctenocephalides canis","Ctenocephalides canis","Ctenocephalides canis","Pulicidae","Siphonaptera","Insecta",NA
"macrourus berglax","Macrourus berglax","Macrourus berglax","Macrouridae","Gadiformes","Actinopterygii",NA
"ctenocephalides felis","Ctenocephalides felis","Ctenocephalides felis","Pulicidae","Siphonaptera","Insecta",NA
"ctenophthalmus pseudagyrtes","Ctenophthalmus pseudagyrtes","Ctenophthalmus pseudagyrtes","Ctenophthalmidae","Siphonaptera","Insecta",NA
"orchopeas leucopus","Orchopeas leucopus","Orchopeas leucopus","Ceratophyllidae","Siphonaptera","Insecta",NA
"oropsylla hirsuta","Oropsylla hirsuta","Oropsylla hirsuta","Ceratophyllidae","Siphonaptera","Insecta",NA
"pulex irritans","Pulex irritans","Pulex irritans","Pulicidae","Siphonaptera","Insecta",NA
"spilopsyllus cuniculi","Spilopsyllus cuniculi","Spilopsyllus cuniculi","Pulicidae","Siphonaptera","Insecta",NA
"xenopsylla cheopis","Xenopsylla cheopis","Xenopsylla cheopis","Pulicidae","Siphonaptera","Insecta",NA
"frankliniella fusca","Frankliniella fusca","Frankliniella fusca","Thripidae","Thysanoptera","Insecta",NA
"hydropsyche incognita","Hydropsyche incognita","Hydropsyche incognita","Hydropsychidae","Trichoptera","Insecta",NA
"polycentropus flavomaculatus","Polycentropus flavomaculatus","Polycentropus flavomaculatus","Polycentropodidae","Trichoptera","Insecta","Plectrocnemia irroratus"
"polycentropus flavomaculatus","Polycentropus flavomaculatus","Polycentropus flavomaculatus","Polycentropodidae","Trichoptera","Insecta","Polycentropus irroratus"
"melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Gadidae","Gadiformes","Actinopterygii",NA
"lepisma saccharina","Lepisma saccharina","Lepisma saccharina","Lepismatidae","Zygentoma","Insecta",NA
"crangonyx pseudogracilis","Crangonyx pseudogracilis","Crangonyx pseudogracilis","Crangonyctidae","Amphipoda","Malacostraca",NA
"echinogammarus berilloni","Echinogammarus berilloni","Echinogammarus berilloni","Gammaridae","Amphipoda","Malacostraca",NA
"gammarus duebeni","Gammarus duebeni","Gammarus duebeni","Gammaridae","Amphipoda","Malacostraca",NA
"gammarus fossarum","Gammarus fossarum","Gammarus fossarum","Gammaridae","Amphipoda","Malacostraca",NA
"gammarus pulex","Gammarus pulex","Gammarus pulex","Gammaridae","Amphipoda","Malacostraca",NA
"gammarus roeseli","Gammarus roeseli","Gammarus roeseli","Gammaridae","Amphipoda","Malacostraca",NA
"orchestia cavimana","Orchestia cavimana","Orchestia cavimana","Talitridae","Amphipoda","Malacostraca",NA
"orchestia gammarellus","Orchestia gammarellus","Orchestia gammarellus","Talitridae","Amphipoda","Malacostraca",NA
"agelas oroides","Agelas oroides","Agelas oroides","Alpheidae","Decapoda","Malacostraca",NA
"merlangius merlangus","Merlangius merlangus","Merlangius merlangus","Gadidae","Gadiformes","Actinopterygii",NA
"astacus astacus","Astacus astacus","Astacus astacus","Astacidae","Decapoda","Malacostraca",NA
"austropotamobius pallipes","Austropotamobius pallipes","Austropotamobius pallipes","Astacidae","Decapoda","Malacostraca",NA
"callinectes sapidus","Callinectes sapidus","Callinectes sapidus","Portunidae","Decapoda","Malacostraca",NA
"cancer productus","Cancer productus","Cancer productus","Cancridae","Decapoda","Malacostraca",NA
"carcinus maenas","Carcinus maenas","Carcinus maenas","Carcinidae","Decapoda","Malacostraca","Carcinides maenas"
"ceylonthelphusa rugosa","Ceylonthelphusa rugosa","Ceylonthelphusa rugosa","Gecarcinucidae","Decapoda","Malacostraca",NA
"cherax destructor","Cherax destructor","Cherax destructor","Parastacidae","Decapoda","Malacostraca",NA
"chionoecetes japonicus","Chionoecetes japonicus","Chionoecetes japonicus","Oregoniidae","Decapoda","Malacostraca",NA
"chionoecetes opilio","Chionoecetes opilio","Chionoecetes opilio","Oregoniidae","Decapoda","Malacostraca",NA
"emerita analoga","Emerita analoga","Emerita analoga","Hippidae","Decapoda","Malacostraca",NA
"tilapia dageti","Tilapia dageti","Tilapia dageti","Cichlidae","Cichliformes","Actinopteri",NA
"merluccius bilinearis","Merluccius bilinearis","Merluccius bilinearis","Merlucciidae","Gadiformes","Actinopterygii",NA
"eriocheir sinensis","Eriocheir sinensis","Eriocheir sinensis","Varunidae","Decapoda","Malacostraca",NA
"exopalaemon orientis","Exopalaemon orientis","Exopalaemon orientis","Palaemonidae","Decapoda","Malacostraca","Palaemon orientis"
"fenneropenaeus indicus","Fenneropenaeus indicus","Fenneropenaeus indicus","Penaeidae","Decapoda","Malacostraca","Penaeus indicus"
"fenneropenaeus indicus","Fenneropenaeus indicus","Fenneropenaeus indicus","Penaeidae","Decapoda","Malacostraca","Penaeus indicus longirostris"
"geothelphusa dehaani","Geothelphusa dehaani","Geothelphusa dehaani","Potamidae","Decapoda","Malacostraca",NA
"heliofungia actiniformis","Heliofungia actiniformis","Heliofungia actiniformis","Palaemonidae","Decapoda","Malacostraca",NA
"hemigrapsus nudus","Hemigrapsus nudus","Hemigrapsus nudus","Varunidae","Decapoda","Malacostraca",NA
"hemigrapsus sanguineus","Hemigrapsus sanguineus","Hemigrapsus sanguineus","Varunidae","Decapoda","Malacostraca",NA
"homarus americanus","Homarus americanus","Homarus americanus","Nephropidae","Decapoda","Malacostraca",NA
"indochinamon tannanti","Indochinamon tannanti","Indochinamon tannanti","Potamidae","Decapoda","Malacostraca",NA
"liocarcinus depurator","Liocarcinus depurator","Liocarcinus depurator","Polybiidae","Decapoda","Malacostraca",NA
"merluccius merluccius","Merluccius merluccius","Merluccius merluccius","Merlucciidae","Gadiformes","Actinopterygii",NA
"litopenaeus stylirostris","Litopenaeus stylirostris","Litopenaeus stylirostris","Penaeidae","Decapoda","Malacostraca","Penaeus stylirostris"
"litopenaeus vannamei","Litopenaeus vannamei","Litopenaeus vannamei","Penaeidae","Decapoda","Malacostraca","Penaeus vannamei"
"macrobrachium nipponense","Macrobrachium nipponense","Macrobrachium nipponense","Palaemonidae","Decapoda","Malacostraca","Palaemon nipponensis"
"macrobrachium nipponense","Macrobrachium nipponense","Macrobrachium nipponense","Palaemonidae","Decapoda","Malacostraca","Bithynis nipponensis"
"macrobrachium nipponense","Macrobrachium nipponense","Macrobrachium nipponense","Palaemonidae","Decapoda","Malacostraca","Palaemon asper"
"macrobrachium rosenbergii","Macrobrachium rosenbergii","Macrobrachium rosenbergii","Palaemonidae","Decapoda","Malacostraca",NA
"maja brachydactyla","Maja brachydactyla","Maja brachydactyla","Majidae","Decapoda","Malacostraca",NA
"marsupenaeus japonicus","Marsupenaeus japonicus","Marsupenaeus japonicus","Penaeidae","Decapoda","Malacostraca","Penaeus japonicus"
"marsupenaeus japonicus","Marsupenaeus japonicus","Marsupenaeus japonicus","Penaeidae","Decapoda","Malacostraca","Penaeus canaliculatus japonicus"
"maydelliathelphusa lugubris","Maydelliathelphusa lugubris","Maydelliathelphusa lugubris","Gecarcinucidae","Decapoda","Malacostraca",NA
"metacarcinus magister","Metacarcinus magister","Metacarcinus magister","Dromiidae","Decapoda","Malacostraca",NA
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Penaeus ensis"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Penaeopsis ensis"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Penaeus mastersii"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Metapenaeus mastersii"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Penaeopsis mastersii"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Penaeus incisipes"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Parapenaeus incisipes"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Metapenaeus incisipes"
"metapenaeus ensis","Metapenaeus ensis","Metapenaeus ensis","Penaeidae","Decapoda","Malacostraca","Penaeopsis incisipes"
"nephrops norvegicus","Nephrops norvegicus","Nephrops norvegicus","Nephropidae","Decapoda","Malacostraca",NA
"merluccius polli","Merluccius polli","Merluccius polli","Merlucciidae","Gadiformes","Actinopterygii",NA
"orconectes virilis","Orconectes virilis","Orconectes virilis","Cambaridae","Decapoda","Malacostraca",NA
"pacifastacus leniusculus","Pacifastacus leniusculus","Pacifastacus leniusculus","Astacidae","Decapoda","Malacostraca",NA
"palaemonetes paludosus","Palaemonetes paludosus","Palaemonetes paludosus","Palaemonidae","Decapoda","Malacostraca","Hippolyte paludosa"
"palaemonetes paludosus","Palaemonetes paludosus","Palaemonetes paludosus","Palaemonidae","Decapoda","Malacostraca","Hippolysmata paludosa"
"palaemonetes paludosus","Palaemonetes paludosus","Palaemonetes paludosus","Palaemonidae","Decapoda","Malacostraca","Palaemonopsis exilipes"
"palaemonetes paludosus","Palaemonetes paludosus","Palaemonetes paludosus","Palaemonidae","Decapoda","Malacostraca","Palaemonetes exilipes"
"palaemonetes pugio","Palaemonetes pugio","Palaemonetes pugio","Palaemonidae","Decapoda","Malacostraca",NA
"pandalus jordani","Pandalus jordani","Pandalus jordani","Pandalidae","Decapoda","Malacostraca",NA
"panopeus herbstii","Panopeus herbstii","Panopeus herbstii","Panopeidae","Decapoda","Malacostraca",NA
"panulirus homarus","Panulirus homarus","Panulirus homarus","Palinuridae","Decapoda","Malacostraca",NA
"panulirus ornatus","Panulirus ornatus","Panulirus ornatus","Palinuridae","Decapoda","Malacostraca",NA
"penaeus monodon","Penaeus monodon","Penaeus monodon","Penaeidae","Decapoda","Malacostraca",NA
"portunus trituberculatus","Portunus trituberculatus","Portunus trituberculatus","Portunidae","Decapoda","Malacostraca",NA
"microgadus proximus","Microgadus proximus","Microgadus proximus","Gadidae","Gadiformes","Actinopterygii",NA
"procambarus clarkii","Procambarus clarkii","Procambarus clarkii","Cambaridae","Decapoda","Malacostraca",NA
"pseudoplexaura porosa","Pseudoplexaura porosa","Pseudoplexaura porosa","Palaemonidae","Decapoda","Malacostraca",NA
"sartoriana spinigera","Sartoriana spinigera","Sartoriana spinigera","Gecarcinucidae","Decapoda","Malacostraca",NA
"sayamia germaini","Sayamia germaini","Sayamia germaini","Gecarcinucidae","Decapoda","Malacostraca",NA
"scylla paramamosain","Scylla paramamosain","Scylla paramamosain","Portunidae","Decapoda","Malacostraca",NA
"ommatogammarus albinus","Ommatogammarus albinus","Ommatogammarus albinus","Ommatogammaridae","Amphipoda","Malacostraca",NA
"ommatogammarus flavus","Ommatogammarus flavus","Ommatogammarus flavus","Ommatogammaridae","Amphipoda","Malacostraca",NA
"armadillidium vulgare","Armadillidium vulgare","Armadillidium vulgare","Armadillidiidae","Isopoda","Malacostraca",NA
"cylisticus convexus","Cylisticus convexus","Cylisticus convexus","Cylisticidae","Isopoda","Malacostraca",NA
"hyloniscus riparius","Hyloniscus riparius","Hyloniscus riparius","Trichoniscidae","Isopoda","Malacostraca",NA
"micromesistius poutassou","Micromesistius poutassou","Micromesistius poutassou","Gadidae","Gadiformes","Actinopterygii",NA
"porcellio dilatatus","Porcellio dilatatus","Porcellio dilatatus","Porcellionidae","Isopoda","Malacostraca",NA
"porcellio scaber","Porcellio scaber","Porcellio scaber","Porcellionidae","Isopoda","Malacostraca",NA
"trachelipus ratzeburgii","Trachelipus ratzeburgii","Trachelipus ratzeburgii","Trachelipodidae","Isopoda","Malacostraca",NA
"addax nasomaculatus","Addax nasomaculatus","Addax nasomaculatus","Bovidae","Artiodactyla","Mammalia",NA
"aepyceros melampus","Aepyceros melampus","Aepyceros melampus","Bovidae","Artiodactyla","Mammalia",NA
"alcelaphus buselaphus","Alcelaphus buselaphus","Alcelaphus buselaphus","Bovidae","Artiodactyla","Mammalia",NA
"alcelaphus lichtensteinii","Alcelaphus lichtensteinii","Alcelaphus lichtensteinii","Bovidae","Artiodactyla","Mammalia","Sigmoceros lichtensteinii"
"alces alces","Alces alces","Alces alces","Cervidae","Artiodactyla","Mammalia","Cervus alces"
"alces americanus","Alces americanus","Alces americanus","Cervidae","Artiodactyla","Mammalia","Cervus americanus"
"ammotragus lervia","Ammotragus lervia","Ammotragus lervia","Bovidae","Artiodactyla","Mammalia",NA
"mora moro","Mora moro","Mora moro","Sulidae","Suliformes","Aves","Mora pacifica"
"antidorcas marsupialis","Antidorcas marsupialis","Antidorcas marsupialis","Bovidae","Artiodactyla","Mammalia",NA
"antilocapra americana","Antilocapra americana","Antilocapra americana","Antilocapridae","Artiodactyla","Mammalia","Antilocapra anteflexa"
"antilocapra americana","Antilocapra americana","Antilocapra americana","Antilocapridae","Artiodactyla","Mammalia","Antilope americana"
"antilope cervicapra","Antilope cervicapra","Antilope cervicapra","Bovidae","Artiodactyla","Mammalia",NA
"axis axis","Axis axis","Axis axis","Cervidae","Artiodactyla","Mammalia",NA
"axis porcinus","Axis porcinus","Axis porcinus","Cervidae","Artiodactyla","Mammalia",NA
"babyrousa babyrussa","Babyrousa babyrussa","Babyrousa babyrussa","Suidae","Artiodactyla","Mammalia",NA
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bison bison bison"
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bos bison"
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bison americanus"
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bison sylvestris"
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bison americanus pennsylvanicus"
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bison bison septemtrionalis"
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bison bison athabasacae"
"bison bison","Bison bison","Bison bison","Bovidae","Artiodactyla","Mammalia","Bison bison athabascae"
"bison bonasus","Bison bonasus","Bison bonasus","Bovidae","Artiodactyla","Mammalia","Bos bonasus"
"blastoceros dichotomus","Blastoceros dichotomus","Blastoceros dichotomus","Cervidae","Artiodactyla","Mammalia",NA
"blastocerus dichotomus","Blastocerus dichotomus","Blastocerus dichotomus","Cervidae","Artiodactyla","Mammalia",NA
"phycis phycis","Phycis phycis","Phycis phycis","Phycidae","Gadiformes","Actinopterygii",NA
"bos frontalis","Bos frontalis","Bos frontalis","Bovidae","Artiodactyla","Mammalia",NA
"bos grunniens","Bos grunniens","Bos grunniens","Bovidae","Artiodactyla","Mammalia",NA
"bos indicus","Bos indicus","Bos taurus indicus","Bovidae","Artiodactyla","Mammalia","Bos indicus"
"bos indicus","Bos indicus","Bos taurus indicus","Bovidae","Artiodactyla","Mammalia","Bos namadicus"
"bos javanicus","Bos javanicus","Bos javanicus","Bovidae","Artiodactyla","Mammalia","Bos banteng"
"bos primigenius","Bos primigenius","Bos taurus primigenius","Bovidae","Artiodactyla","Mammalia","Bos primigenius"
"bos taurus","Bos taurus","Bos taurus","Bovidae","Artiodactyla","Mammalia",NA
"boselaphus tragocamelus","Boselaphus tragocamelus","Boselaphus tragocamelus","Bovidae","Artiodactyla","Mammalia",NA
"bubalus bubalis","Bubalus bubalis","Bubalus bubalis","Bovidae","Artiodactyla","Mammalia",NA
"bubalus carabanensis","Bubalus carabanensis","Bubalus carabanensis","Bovidae","Artiodactyla","Mammalia",NA
"budorcas taxicolor","Budorcas taxicolor","Budorcas taxicolor","Bovidae","Artiodactyla","Mammalia",NA
"physiculus japonicus","Physiculus japonicus","Physiculus japonicus","Moridae","Gadiformes","Actinopterygii","Physiculus japonica"
"camelus bactrianus","Camelus bactrianus","Camelus bactrianus","Camelidae","Artiodactyla","Mammalia",NA
"camelus dromedarius","Camelus dromedarius","Camelus dromedarius","Camelidae","Artiodactyla","Mammalia","Camelus ferus"
"capra aegagrus","Capra aegagrus","Capra hircus aegagrus","Bovidae","Artiodactyla","Mammalia","Capra aegagrus"
"capra hircus","Capra hircus","Capra hircus","Bovidae","Artiodactyla","Mammalia",NA
"capra ibex","Capra ibex","Capra ibex","Bovidae","Artiodactyla","Mammalia",NA
"capra nubiana","Capra nubiana","Capra nubiana","Bovidae","Artiodactyla","Mammalia",NA
"capra pyrenaica","Capra pyrenaica","Capra pyrenaica","Bovidae","Artiodactyla","Mammalia","Capra pyrenaica pyrenaica"
"capra pyrenaica","Capra pyrenaica","Capra pyrenaica","Bovidae","Artiodactyla","Mammalia","Capra pyrenaica cabrerae"
"capra pyrenaica","Capra pyrenaica","Capra pyrenaica","Bovidae","Artiodactyla","Mammalia","Capra pyrenaica hispanica"
"capra pyrenaica","Capra pyrenaica","Capra pyrenaica","Bovidae","Artiodactyla","Mammalia","Capra pyrenaica lusitanica"
"capra pyrenaica","Capra pyrenaica","Capra pyrenaica","Bovidae","Artiodactyla","Mammalia","Capra pyrenaica nowaki"
"capra pyrenaica","Capra pyrenaica","Capra pyrenaica","Bovidae","Artiodactyla","Mammalia","Capra pyrenaica victoriae"
"capreolus capreolus","Capreolus capreolus","Capreolus capreolus","Cervidae","Artiodactyla","Mammalia",NA
"capricornis crispus","Capricornis crispus","Capricornis crispus","Bovidae","Artiodactyla","Mammalia","Naemorhedus crispus"
"capricornis swinhoei","Capricornis swinhoei","Capricornis swinhoei","Bovidae","Artiodactyla","Mammalia","Naemorhedus swinhoei"
"pollachius virens","Pollachius virens","Pollachius virens","Gadidae","Gadiformes","Actinopterygii",NA
"cephalophus dorsalis","Cephalophus dorsalis","Cephalophus dorsalis","Bovidae","Artiodactyla","Mammalia",NA
"cephalophus natalensis","Cephalophus natalensis","Cephalophus natalensis","Bovidae","Artiodactyla","Mammalia",NA
"cephalophus silvicultor","Cephalophus silvicultor","Cephalophus silvicultor","Bovidae","Artiodactyla","Mammalia",NA
"cervus alfredi","Cervus alfredi","Rusa alfredi","Cervidae","Artiodactyla","Mammalia","Cervus alfredi"
"cervus elaphus","Cervus elaphus","Cervus elaphus","Cervidae","Artiodactyla","Mammalia",NA
"cervus nippon","Cervus nippon","Cervus nippon","Cervidae","Artiodactyla","Mammalia",NA
"cervus timorensis","Cervus timorensis","Rusa timorensis","Cervidae","Artiodactyla","Mammalia","Cervus timorensis"
"connochaetes gnou","Connochaetes gnou","Connochaetes gnou","Bovidae","Artiodactyla","Mammalia",NA
"connochaetes taurinus","Connochaetes taurinus","Connochaetes taurinus","Bovidae","Artiodactyla","Mammalia",NA
"dama dama","Dama dama","Dama dama","Cervidae","Artiodactyla","Mammalia",NA
"theragra chalcogramma","Theragra chalcogramma","Gadus chalcogrammus","Gadidae","Gadiformes","Actinopterygii","Theragra chalcogramma"
"theragra chalcogramma","Theragra chalcogramma","Gadus chalcogrammus","Gadidae","Gadiformes","Actinopterygii","Theragra fucensis"
"theragra chalcogramma","Theragra chalcogramma","Gadus chalcogrammus","Gadidae","Gadiformes","Actinopterygii","Theragra finnmarchica"
"damaliscus lunatus","Damaliscus lunatus","Damaliscus lunatus","Bovidae","Artiodactyla","Mammalia",NA
"damaliscus pygargus","Damaliscus pygargus","Damaliscus pygargus","Bovidae","Artiodactyla","Mammalia","Damaliscus dorcas"
"damaliscus pygargus","Damaliscus pygargus","Damaliscus pygargus","Bovidae","Artiodactyla","Mammalia","Damaliscus pygarus dorcas"
