Host,HostClass,HostOrder,HostFamily,Virus,VirusClass,VirusOrder,VirusFamily,VirusGenus,Year,YearType,Database,DatabaseVersion,DetectionMethod,Detection_NotSpecified,Detection_Serology,Detection_Genetic,Detection_Isolation,Host_Original,Virus_Original,DetectionMethod_Original,Host_NCBIResolved,Virus_NCBIResolved,HostSynonyms
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Vesicular exanthema of swine virus,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,1980,PubMed,EID2,Wardeh et al. 2015 Sci Data,Not specified,TRUE,FALSE,FALSE,FALSE,Callorhinus ursinus,Vesicular exanthema of swine,CargoCarrier,TRUE,TRUE,
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Vesicular exanthema of swine virus,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,1978,PubMed,EID2,Wardeh et al. 2015 Sci Data,Not specified,TRUE,FALSE,FALSE,FALSE,Callorhinus ursinus,Vesicular exanthema of swine,CargoCarrier,TRUE,TRUE,
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Vesicular exanthema of swine virus,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,1977,PubMed,EID2,Wardeh et al. 2015 Sci Data,Not specified,TRUE,FALSE,FALSE,FALSE,Callorhinus ursinus,Vesicular exanthema of swine,CargoCarrier,TRUE,TRUE,
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Vesicular exanthema of swine virus,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,1998,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Callorhinus ursinus,Vesicular exanthema of swine,Isolation,TRUE,TRUE,"phoca ursina, otaria krachenninikowii, callorhinus curilensis, phoca nigra, siren cynocephala, phoca minima, arctocephalus californianus, callorhinus alascanus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,African horse sickness virus,Resentoviricetes,Reovirales,Reoviridae,Orbivirus,1993,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,African horse sickness,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Barmah Forest virus,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,2007,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Barmah forest,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Mammalian 1 orthobornavirus ,Monjiviricetes,Mononegavirales,Bornaviridae,Orthobornavirus,2014,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Canis familiaris,Borna disease,PCR,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Bunyamwera orthobunyavirus,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,1986,Author,HP3,Olival et al. 2017 Nature,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Canis familiaris,Bunyamwera,Isolation,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Canid alphaherpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,2012,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Canis familiaris,Canid herpesvirus 1,PCR,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Canine mastadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,2009,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Canis familiaris,Canine adenovirus,PCR,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Canine vesivirus,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,2002,Author,HP3,Olival et al. 2017 Nature,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Canis familiaris,Canine calicivirus,Isolation,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Canine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,2000,Author,HP3,Olival et al. 2017 Nature,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Canis familiaris,Canine distemper,Isolation,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Carnivore bocaparvovirus 1,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,1970,Author,HP3,Olival et al. 2017 Nature,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Canis familiaris,Canine minute,Isolation,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Lambdapapillomavirus 2,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Lambdapapillomavirus,2010,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Canis familiaris,Canine oral papillomavirus,PCR,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Crimean-Congo hemorrhagic fever orthonairovirus,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus,1987,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Crimean-congo hemorrhagic fever,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Everglades virus,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,2006,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Everglades,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Orthohepevirus A,Alsuviricetes,Hepelivirales,Hepeviridae,Orthohepevirus,2005,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Hepatitis e,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Human gammaherpesvirus 4,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,2005,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Canis familiaris,Human herpesvirus 4,PCR,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Norwalk virus,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,2008,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Canis familiaris,Human norovirus-alphatron,PCR,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Human picobirnavirus,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,2004,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Human picobirnavirus,PAGE,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Mammalian orthoreovirus,Resentoviricetes,Reovirales,Reoviridae,Orthoreovirus,2005,Author,HP3,Olival et al. 2017 Nature,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Canis familiaris,Mammalian orthoreovirus,Isolation,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Mokola lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,2007,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Mokola,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Mumps orthorubulavirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthorubulavirus,1969,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Mumps,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Murray Valley encephalitis virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,2006,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Murray valley encephalitis,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,2008,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Canis familiaris,Rabies,PCR,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Ross River virus,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,1976,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Ross river,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Sicilian phlebovirus,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,2014,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Sandfly fever sicilian,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Saint Louis encephalitis virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,2004,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,St. louis encephalitis,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Suid alphaherpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,1953,Author,HP3,Olival et al. 2017 Nature,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Canis familiaris,Suid herpesvirus 1,Isolation,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Vaccinia virus,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,2013,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Vaccinia,VNT,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Venezuelan equine encephalitis virus,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,2004,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Venezuelan equine encephalitis,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Indiana vesiculovirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,1987,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Vesicular stomatitis indiana,SNT,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Wesselsbron virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,1994,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Canis familiaris,Wesselsbron,Antibodies,TRUE,TRUE,"canis familiaris, canis familiarus domesticus"
Cystophora cristata,Mammalia,Carnivora,Phocidae,Canine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,1994,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Canine distemper,Serology,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Canine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,1994,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Canine distemper,Antibodies,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Influenza A virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,1994,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,A influenza a,Serology,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Influenza A virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,1994,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Influenza a,Antibodies,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Phocid alphaherpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,1994,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Phocid alphaherpes virus 1,Serology,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Phocid alphaherpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,1994,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Phocid herpesvirus 1,Antibodies,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Phocine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Cystophora cristata,Phocine distemper,PCR,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Phocine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,2001,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Phocine distemper,Serology,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Phocine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,1994,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Phocine distemper,Serology,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Phocine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,1994,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Cystophora cristata,Phocine distemper,Antibodies,TRUE,TRUE,
Cystophora cristata,Mammalia,Carnivora,Phocidae,Phocine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,2001,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Cystophora cristata,Phocine distemper,PCR,TRUE,TRUE,"phoca cristata, cystophora borealis, phoca mitrata"
Dusicyon thous,Mammalia,Carnivora,Canidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Dusicyon thous,Rabies,PCR,TRUE,TRUE,
Dusicyon thous,Mammalia,Carnivora,Canidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Dusicyon thous,Rabies,PCR,TRUE,TRUE,
Enhydra lutris,Mammalia,Carnivora,Mustelidae,Cardiovirus A,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,2005,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Enhydra lutris,Cardiovirus a,Serology,TRUE,TRUE,mustela lutris
Enhydra lutris,Mammalia,Carnivora,Mustelidae,Phocine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,2009,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Enhydra lutris,Phocine distemper,PCR,TRUE,TRUE,mustela lutris
Erignathus barbatus,Mammalia,Carnivora,Phocidae,Phocid alphaherpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,1997,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Erignathus barbatus,Phocid alphaherpesvirus 1,Antibodies,TRUE,TRUE,"phoca barbata, phoca leporina, phoca parsonii, phoca lepechenii"
Erignathus barbatus,Mammalia,Carnivora,Phocidae,Phocid gammaherpesvirus 2,Herviviricetes,Herpesvirales,Herpesviridae,,1997,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Erignathus barbatus,Phocid gammaherpesvirus 2,Antibodies,TRUE,TRUE,"phoca barbata, phoca leporina, phoca parsonii, phoca lepechenii"
Eumetopias jubatus,Mammalia,Carnivora,Otariidae,Avian orthoreovirus,Resentoviricetes,Reovirales,Reoviridae,Orthoreovirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Eumetopias jubatus,Avian orthoreovirus,PCR,TRUE,TRUE,"phoca jubata, otaria stellerii, arctocephalus monteriensis"
Eumetopias jubatus,Mammalia,Carnivora,Otariidae,Avian orthoreovirus,Resentoviricetes,Reovirales,Reoviridae,Orthoreovirus,2011,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Eumetopias jubatus,Avian orthoreovirus,Isolation,TRUE,TRUE,"phoca jubata, otaria stellerii"
Eumetopias jubatus,Mammalia,Carnivora,Otariidae,Canine mastadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,2005,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Eumetopias jubatus,Canine mastadenovirus a,Serology,TRUE,TRUE,"phoca jubata, otaria stellerii, arctocephalus monteriensis"
