"idx","PMID","Pathogen_Original","Database","batch","PubDate","PubYear","Lookup"
26,184297,"panine gammaherpesvirus 1","pubmed",1,"1976 Sep","1976","Success"
27,216640,"papiine gammaherpesvirus 1","pubmed",1,"1979 Feb","1979","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
28,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
29,7327993,"alcelaphine gammaherpesvirus 1","pubmed",1,"1981 Dec 1","1981","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
30,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
31,26446889,"alcelaphine gammaherpesvirus 1","pubmed",1,"2016 Jan","2016","Success"
32,19244822,"alcelaphine gammaherpesvirus 1","pubmed",1,"2008 Sep","2008","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
33,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
34,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
35,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
35,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
35,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
35,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
36,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
37,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
38,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
39,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
40,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
41,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
42,7411750,"alcelaphine gammaherpesvirus 1","pubmed",1,"1980 Jul","1980","Success"
43,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
43,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
43,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
43,2716112,"alcelaphine gammaherpesvirus 1","pubmed",1,"1989 Apr","1989","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
44,12208112,"alcelaphine gammaherpesvirus 1","pubmed",1,"2002 Aug","2002","Success"
