"Citation","PubData"
"Aguirre et al 1992","Aguirre, A. A., R. G. McLean, et al. (1992). ""Serologic Survey for Selected Arboviruses and Other Potential Pathogens in Wildlife from Mexico."" Journal of Wildlife Diseases 28(3): 435-442."
"Aguirre et al 1995","Aguirre, A. A., E. Hansen Donald, et al. (1995). ""Serologic survey of wild cervids for potential disease agents in selected national parks in the United States."" Preventive Veterinary Medicine 21(4): 313-322."
"Aguirre et al. 2007","Aguirre, A. A., T. J. Keefe, J. S. Reif, L. Kashinsky, P. K. Yochem, J. T. Saliki, J. L. Stott, T. Goldstein, J. P. Dubey, R. Braun and G. Antonelis. 2007. Infectious disease monitoring of the endangered hawaiian monk seal. Journal of Wildlife Diseases 43: 229-241"
"Airas et al. 2010","Airas, N., S. Saari, T. Mikkonen, A. M. Virtala, J. Pellikka, A. Oksanen, M. Isomursu, S. S. Kilpela, C. W. Lim and A. Sukura. 2010. Sylvatic trichinella spp. Infection in finland. Journal of Parasitology 96: 67-76"
"Akerstedt et al. 2010","Akerstedt, J., A. Lillehaug, I. L. Larsen, N. E. Eide, J. M. Arnemo and K. Handeland. 2010. Serosurvey for canine distemper virus, canine adenovirus, leptospira interrogans, and toxoplasma gondii in free-ranging canids in scandinavia and svalbard. Journal of Wildlife Diseases 46: 474-480"
"Akineden et al. 2005","Akineden, O., A. A. Hassan, J. Alber, A. El-Sayed, A. T. S. Estoepangestie, C. Lammler, R. Weiss and U. Siebert. 2005. Phenotypic and genotypic properties of streptococcus equi subsp zooepidemicus isolated from harbor seals (phoca vitulina) from the german north sea during the phocine distemper outbreak in 2002. Veterinary Microbiology 110: 147-152"
"Akineden et al. 2007","Akineden, O., J. Alber, C. Lammler, R. Weiss, U. Siebert, G. Foster, S. Tougaard, S. Brasseur and P. J. H. Reijnders. 2007. Relatedness of streptococcus equi subsp zooepidemicus strains isolated from harbour seals (phoca vitulina) and grey seals (halichoerus grypus) of various origins of the north sea during 1988-2005. Veterinary Microbiology 121: 158-162"
"Akinyi 2009","Akinyi, M. V. 2009. Grooming and its effect on the prevalence of tick borne diseases: a case study of wild yellow baboons. M.Sc. Thesis, University of Nairobi."
"Al-Doory 1969","Al- Doory, Y. 1969. ""The mycology of the freeliving baboon"". Mycopathologia et mycologia applicata 38:7- 15."
"Al-Sabi et al. 2010","Al-Sabi, M. N. S., P. Deplazes, P. Webster, J. L. Willesen, R. K. Davidson and C. M. O. Kapel. 2010. Pcr detection of angiostrongylus vasorum in faecal samples of dogs and foxes. Parasitology Research 107: 135-140"
"Alados et al 1996","Alados, C. L., Escos, J. M. and J. M. Emlen (1996).  Fractal structure of sequential behaviour patterns: an indicator of stress. Animal Behaviour, 51: 437-443."
"Alasaad et al 2007","Alasaad, S., Huang, C. Q., Li, Q. Y., Granados, J. E., Gracia-Romero, C., Perez, J. M., Zhu, X, Q. (2007) Characterization of Fasciola samples from different hostspecies and geographical localities in Spain by sequencesof internal transcribed spacers of rDNA. Parasitol Res 101: 1245-1250."
"Alassad et al 2008","Alasaad, S., Granados, J. E., Cano-Manuel, F. J., Meana, A., Zhu, X. Q., Perez, J. M. (2008) Epidemiology of fasciolosis affecting Iberian ibex(Capra pyrenaica) in southern Spain. Parasitol Res 102: 751-755."
"Albassam et al. 1986","Albassam, M. A., Bhatnagar, R., Lillie, L. E., and Roy, L. (1986). Adiaspiromycosis in striped skunks in Alberta, Canada. Journal of Wildlife Diseases, 22(1), 13-18."
"Albon et al 2002","Albon. A. D., Stein, A., Irvine, R. J., Langvatn, R., Ropstad, E., Halvorsen, O. (2002) The role of parasites in the dynamics of a reindeer population. The Royal Society 269: 1625-1632."
"Alencar et al. 1997","Alencar, N. X., A. Kohayagawa, and V. A. Santarem. 1997. Hepatozoon canis infection of wild carnivores in Brazil. Veterinary Parasitology 70:279-282."
"Alexander and Appel 1994","Alexander, K. A., and M. J. G. Appel. 1994. African wild dogs (Lycaon pictus) endangered by a canine-distemper epizootic among domestic dogs near the Masai-Mara national reserve, Kenya. Journal of Wildlife Diseases 30:481-485."
"Alexander et al. 1993a","Alexander, K. A., P. A. Conrad, I. A. Gardner, C. Parish, M. Appel, M. G. Levy, N. Lerche et al. 1993a. Serologic survey for selected microbial pathogens in African wild dogs (Lycaon pictus) and sympatric domestic dogs (Canis familiaris) in Maasai-Mara, Kenya. Journal of Zoo and Wildlife Medicine 24:140-144."
"Alexander et al. 1993b","Alexander, K. A., J. S. Smith, M. J. Macharia, and A. A. King. 1993b. Rabies in the Masai-Mara, Kenya - preliminary-report. Onderstepoort Journal of Veterinary Research 60:411-414."
"Alexander et al. 1994","Alexander, K. A., P. W. Kat, R. K. Wayne, and T. K. Fuller. 1994. Serologic survey of selected canine pathogens among free- ranging jackals in Kenya. Journal of Wildlife Diseases 30:486-491."
"Alexander et al. 1995","Alexander, K. A., P. W. Kat, L. G. Frank, K. E. Holekamp, L. Smale, C. House, and M. J. G. Appel. 1995. Evidence of canine distemper virus infection among free-ranging spotted hyenas (Crocuta crocuta) in the Masai Mara, Kenya. Journal of Zoo and Wildlife Medicine 26:201-206."
"Alexander et al. 1996","Alexander, K. A., P. W. Kat, L. A. Munson, A. Kalake, and M. J. G. Appel. 1996. Canine distemper-related mortality among wild dogs (Lycaon pictus) in Chobe national park, Botswana. Journal of Zoo and Wildlife Medicine 27:426-427."
"Alexander et al. 2002","Alexander, K. A., E. Pleydell, M. C. Williams, E. P. Lane, J. F. C. Nyange, and A. L. Michel. 2002. Mycobacterium tuberculosis: An emerging disease of free-ranging wildlife. Emerging Infectious Diseases 8:598-601."
"Alexander et al. 2010","Alexander, K. A., J. W. McNutt, M. B. Briggs, P. E. Standers, P. Funston, G. Hemson, D. Keet and M. van Vuuren. 2010. Multi-host pathogens and carnivore management in southern africa. Comparative Immunology Microbiology and Infectious Diseases 33: 249-265"
"Allsopp et al 1999","Allsopp, M. T. E. P., J. Theron, et al. (1999). ""The occurrence of Theileria and Cowdria parasites in African buffalo (Syncerus caffer) and their associated Amblyomma hebraeum ticks."" Onderstepoort Journal of Veterinary Research 66(3): 245-249."
"Almberg et al. 2009","Almberg, E. S., L. D. Mech, D. W. Smith, J. W. Sheldon and R. L. Crabtree. 2009. A serological survey of infectious disease in yellowstone national park's canid community. Plos One 4: 2009"
"Almeria et al. 2002","Almeria, S., D. Ferrer, M. Pabon, J. Castella and S. Manas. 2002. Red foxes (vulpes vulpes) are a natural intermediate host of neospora caninum. Veterinary Parasitology 107: 287-294"
"Almeria et al. 2007","Almeria, S., Vidal, D., Ferrer, D., Pabon, M., Fernandez-d-Mera, M.I.G., Ruiz-Fons, F., Alzaga, V., Marco, I., Calvete, C., Lavin, S., Gortazer, C., Lopez-Gatius, F., Dubey, J.P. (2007) Seroprevalence of Neospora caninum in non-carnivorous wildlife from Spain. Veterinary Parasitology 143: 21-28."
"Alvarez et al. 1990","Alvarez, F., R. Iglesias, J. Bos, J. Tojo, and M. L. Sanmartin. 1990. New findings on the Helminth fauna of the common European genet (Genetta genetta L) - 1st record of Toxocara genettae Warren, 1972 (Ascarididae) in Europe. Annales de Parasitologie Humaine et Comparee 65:244-248."
"Alvarez et al. 1995","Alvarez, M. F., G. Barreiro, J. A. Cordeiro, E. Paniagua, and M. L. Sanmartin. 1995. A scanning electron microscope study of the nematode Spirura dentata (Spiruroidea) with notes on the morphometric variations in a Spanish population of this species. Folia Parasitologica 42:227-235."
"Anderson & Rowe 1998","Anderson, EC, and L.W. Rowe (1998) The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe. Epidemiology and Infection, 121: 441-449."
"Anderson 1982","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions.  South African Journal of wildlife Research, 13: 55-70."
"Anderson et al 1987a","Anderson, J. F., L. A. Magnarelli, et al. (1987a). ""Ixodes-Dammini and Borrelia-Burgdorferi in Northern New England and Upstate New York USA."" Journal of Parasitology 73(2): 419-421."
"Anderson et al 1987b","Anderson, J. F., P. H. Duray, et al. (1987b). ""Prevalence of Borrelia-Burgdorferi in White-Footed Mice and Ixodes-Dammini at Fort Mccoy Wisconsin USA."" Journal of Clinical Microbiology 25(8): 1495-1497."
"Anderson et al 1990","Anderson, E. C., M. Jago, et al. (1990). ""A Serological Survey of Rinderpest Antibody in Wildlife and Sheep and Goats in Northern Tanzania."" Epidemiology and Infection 105(1): 203-214."
"Anderson et al 1993","Anderson, EC, Foggin C, Atkinsons, M, Sorenson, KJ, Madekurozva, RL, Nqindi, J (1993) The role of wild animals, other than buffalo, in the current epidemiology of foot-and-mouth disease in Zimbabwe. Epidemiology and Infection, 111 (3) 559-563"
"Anderson et al 2007","Anderson, T., DeJardin, A., Howe, D. K., Dubey, J. P., Michalski, M. L. (2007) Neospora caninum antibodies detected in Midwestern white-taileddeer (Odocoileus virginianus) by Western blot and ELISA. Veterinary Parasitology 145: 152-155."
"Anderson et al. 1992","Anderson, A. J., E. C. Greiner, C. T. Atkinson, and M. E. Roelke. 1992. Sarcocysts in the Florida bobcat (Felis rufus floridanus). Journal of Wildlife Diseases 28:116-120."
"Anderson et al. 2008","Anderson, J. F., Parrish, T. D., Akhtar, M., Zurek, L., Hirt, H. (2008) Antibiotic Resistance of Enterococci in American Bison (Bison bison)from a Nature Preserve Compared to That of Enterococciin Pastured Cattle. APPLIED AND ENVIRONMENTAL MICROBIOLOGY 74: 1726-1730."
"Ando et al. 1994","Ando, K., Y. Sato, K. Miura, H. Matsuoka, Y. Chinzei, and A. Iwanaka. 1994. The Occurrence of Bertiella studeri (Cestoda: Anoplocephalidae) in Japanese Macaque, Macaca fuscata, from Mie Prefecture, Japan. Jpn. J. Parasitol. 43:211"
"Anisimova 2002","Anisimova, E. I. 2002. Comparative analysis of the helminthocenoses of the otter (Lutra lutra) and polecat (Mustela putorius) in Belarus. Helminthologia 39:87-90."
"Antolova et al. 2004","Antolova, D., K. Reiterova, M. Miterpakova, M. Stanko and P. Dubinsky. 2004. Circulation of toxocara spp. In suburban and rural ecosystems in the slovak republic. Veterinary Parasitology 126: 317-324"
"Anwar et al. 2000","Anwar, M. A., C. Newman, D. W. MacDonald, M. E. J. Woolhouse, and D. W. Kelly. 2000. Coccidiosis in the European badger (Meles meles) from England, an epidemiological study. Parasitology 120:255-260."
"Apio et al. 2006","Apio, A., Plath, M., Wronski, T. (2006) Patterns of gastrointestinal parasitic infections in the bushbuck Tragelaphus scriptus from the Queen Elizabeth national Park, Uganda. Journal of Helminthology 80: 213-218."
"Apperson et al 2008","APPERSON, C. S.,ENGBER, B., NICHOLSON, W. L,MEAD,D. G., ENGEL, J.,YABSLEY, M. J., DAIL, K.,JOHNSON, J.,WATSON, D. W. (2008) Tick-Borne Diseases in North Carolina:Is ìRickettsia amblyommii""ù a Possible Cause ofRickettsiosis Reported as Rocky Mountain Spotted Fever?. VECTOR-BORNE AND ZOONOTIC DISEASES 8: 597-606."
"Appleby et al 1992","Appleby, E. C., L. M. Gibbons, et al. (1992). ""Cooperioides antidorca from intestinal nodules in Gazella thomsoni and Gazella granti in Kenya."" Journal of Comparative Pathology 107(3): 295-303."
"Appleton and Boinski 1991","Appleton, C. C., and S. Boinski. 1991. A Preliminary Parasitological Analysis of Fecal Samples from a Wild Population of Costa Rican Squirrel-Monkeys (Saimiri-Oerstedi). Journal of Medical Primatology 20:402-403."
"Appleton and Brain 1995","Appleton, C. C., and C. Brain. 1995. Gastro- intestinal parasites of Papio ursinus living in the central Namib desert, Namibia. Afr. J. Ecol. 33:257- 265."
"Appleton and White 1989","Appleton, C. C., and B. J. White. 1989. The structure of the shell and polar plugs of the egg of the whipworm, Trichuris trichiura (Nematoda: Trichuridae) from the samano monkey (Cercopithecus albogularis). Onderstepoort Journal of Veterinary Research 56:219-221."
"Appleton et al. 1986","Appleton, C. C., S. P. Henzi, A. Whiten, and R. Byrne. 1986. The Gastrointestinal Parasites of Papio-Ursinus from the Drakensberg Mountains, Republic of South-Africa. International Journal of Primatology 7:449-456."
"Appleton et al. 1991","Appleton, C. C., S. P. Henzi, and S. I. Whitehead. 1991. Gastro- intestinal helminth parasites of the chacma baboon, Papio cynocephalus ursinus, from the coastal lowlands of Zululand, South Africa. African Journal of Ecology 29:149- 156."
"Appleton et al. 1994","Appleton, C. C., R. C. Krecek, A. Verster, M. R. Bruorton, and M. J. Lawes. 1994. Gastrointestinal Parasites of the Samango Monkey, Cercopithecus-Mitis, in Natal, South-Africa. Journal of Medical Primatology 23:52-55."
"Appleyard et al. 1998","Appleyard, G. D., G. Conboy, and A. A. Gajadhar. 1998. Trichinella spiralis in sylvatic hosts from Prince Edward Island. Journal of Wildlife Diseases 34:158-160."
"Arambulo et al. 1974","Arambulo III, P. V., J. Bin Abass, and J. S. Walker. 1974. Silvered Leaf- Monkeys (Presbytis Cristatus). II. Gastrointestinal Parasites and Their Treatment. Laboratory Animal Science 24:299- 306."
"Aramini et al. 1998","Aramini, J. J., C. Stephen, and J. P. Dubey. 1998. Toxoplasma gondii in Vancouver Island cougars (Felis concolor vancouverensis): Serology and oocyst shedding. Journal of Parasitology 84:438-440."
"Aramini et al. 1999","Aramini, J. J., C. Stephen, J. P. Dubey, C. Engelstoft, H. Schwantje, and C. S. Ribble. 1999. Potential contamination of drinking water with Toxoplasma gondii oocysts. Epidemiology and Infection 122:305-315."
"Aranaz et al. 2004","Aranaz, A., de Juan, L., Montero, N., Sanchez, C., Galka, M., Delso, C., Alvarez, J., Romero, B., Bezos, J., Bela, A.I., Briones, V., Mateos, A., Dominguez, L. (2004) Bovine tuberculosis (Mycobacterium bovis) in wildlife in Spain. Journal of Clinical Microbiology 42: 2602-2608."
"Archer et al. 1986","Archer, J., S. J. Taft, and R. P. Thiel. 1986. Parasites of wolves, Canis lupus, in Wisconsin, as determined from fecal examinations. Proceedings of the Helminthological Society of Washington 53:290-291."
"Arens et al 2003","Arens, M. Q.,Liddell, A. M., Buening, G.,Gaudreault-Keener, M., Sumner, J. W.,Comer, J. A., Buller, R.S.,Storch, G. A.,1,2,6 (2003) Detection of Ehrlichia spp. in the Blood of Wild White-Tailed Deer inMissouri by PCR Assay and Serologic Analysis. Journal of Clinical Microbiology 41: 1263-1265."
"Arjo et al. 2003","Arjo, W. M., E. M. Gese, C. Bromley, A. Kozlowski and E. S. Williams. 2003. Serologic survey for diseases in free-ranging coyotes (canis latrans) from two ecologically distinct areas of utah. Journal of Wildlife Diseases 39: 449-455"
"Arlet et al. 2015","Arlet, M. E., Chapman, C. A., Isbell, L. A., Molleman, F., Mand, R., Horak, P., and Carey, J. R. (2015). Social and Ecological Correlates of Parasitic Infections in Adult Male Gray-Cheeked Mangabeys (Lophocebus albigena). International Journal of Primatology, 36(5), 967-986."
"Arnal et al 2004","Arnal, M., Fernandez-de-Luco, D., Riba, L, Maley, M., Gilray, J., Willoughby, K., Vilcek, S., Nettleton, P. F. (2004) A novel pestivirus associated with deaths in Pyrenean chamois (Rupicapra pyrenaica pyrenaica). Journal of General Virology 85: 3653-3657."
"Arnett et al 1993","Arnett, E. B., Irby, L. R. and Cook, J. G. (1993) Sex- and age-specific lungworm infection in Rocky Mountain bighorn sheep during winter.  Journal of Wildlife Diseases, 29: 90-93."
"Artois and Remond 1994","Artois, M., and M. Remond. 1994. Viral diseases as a threat to free-living wild cats (Felis silvestris) in continental Europe. Veterinary Record 134:651-652."
"Artsob et al 1992","Artsob, H., M. Garvie, et al. (1992). ""Isolation of the Lyme disease spirochete, Borrelia burgdorferi, from Ixodes dammini (Acari: Ixodidae) collected on Prince Edward Island, Canada."" Journal of Medical Entomology 29(6): 1063-1066."
"Aschfalk and Muller 2003","Aschfalk, A., Muller, W. (2003) Unterschiedliche antikorperpravalenzen fur Salmonella spp. in frei lebenden und in Gehegen gehaltenen, semidomestizierten rentieren (Rangifer tarandus tarandus) in Finnland. Dtsh. tierarztl. Wschr 110: 473-512."
"Aschfalk and Thorisson 2004","Aschfalk, A., Thorisson, S.G. (2004) Seroprevalence of Salmonella spp. in Wild Reindeer(Rangifer tarandus tarandus) in Iceland. Veterinary Research Communications 28: 191-195."
"Aschfalk et al 2008","Aschfalk, A., Kemper, N., Arnemo, J. M., Veiberg, V., Rosef, O., Neubauer, H. (2008) Prevalence of Yersiniaspecies in healthyfree-ranging red deer(Cervus elaphus) inNorway. Veterinary Record 163: 27-28."
"Aschfalk et al. 2002","Aschfalk, A., L. Folkow, H. Rud and N. Denzin. 2002. Apparent seroprevalence of salmonella spp. In harp seals in the greenland sea as determined by enzyme-linked immunosorbent assay. Veterinary Research Communications 26: 523-530"
"Aschfalk et al. 2003","Aschfalk, A., Hundertmark, K.J., Bendiksen, H.R., Arnemo, J.M., Denzin, N. (2003) Serosurvey for antibodies against Salmonella species in free-ranging moose (Alces alces) from Norway. Berl. Miinch. Tieraral. Wschr. 116: 417-420."
"Ashford et al. 1990","Ashford, R. W., G. D. F. Reid, and T. M. Butynski. 1990. The Intestinal Faunas of Man and Mountain Gorillas in a Shared Habitat. Annals of Tropical Medicine and Parasitology 84:337-340."
"Ashford et al. 1996","Ashford, R. W., H. Lawson, T. M. Butynski, and G. D. F. Reid. 1996. Patterns of intestinal parasitism in the mountain gorilla Gorilla gorilla in the Bwindi-Impenetrable Forest, Uganda. Journal of Zoology 239:507-514."
"Ashford et al. 2000","Ashford, R. W., G. D. F. Reid, and R. W. Wrangham. 2000. Intestinal parasites of the chimpanzee Pan troglodytes in Kibale Forest, Uganda. Annals of Tropical Medicine and Parasitology 94:173-179.  ."
"Asmundsson et al 2008","Asmundsson, I.A., Mortenson, J.A., Hoberg, E.P. (2008) Muscleworm, Parelaphostrongylus andersoni (Nematoda: Protostrongylidae), discovered in Columbia white-tailed deer from Oregon and Washington: implications for biogeography and host associations. Journal of Wildlife diseases 44: 16-27."
"Aspholm et al. 1995","Aspholm, P. E., K. I. Ugland, K. A. Jodestol, and B. Berland. 1995. Sealworm (Pseudoterranova-Decipiens) Infection in Common Seals (Phoca-Vitulina) and Potential Intermediate Fish Hosts from the Outer Oslofjord. International Journal for Parasitology 25:367-373."
"Atkinson et al 1993","Atkinson Carter, T., D. Wright Scott, et al. (1993). ""Morphology, prevalence, and distribution of Sarcocystis spp. in white-tailed deer (Odocoileus virginianus) from Florida."" Journal of Wildlife Diseases 29(1): 73-84."
"Atwill et al 1997","Atwill Edward, R., A. Sweitzer Richard, et al. (1997). ""Prevalence of and associated risk factors for shedding Cryptosporidium parvum oocysts and Giardia cysts within feral pig populations in California."" Applied and Environmental Microbiology 63(10): 3946-3949."
"Aukstikalniene et al. 2007","Aukstikalniene, R., Bukelskis, E., Kasetaite, E. (2007) Intestinal Helminthes of Cervidae in the Aukstaitija National Park. Baltic Forestry 13: 96-102."
"Averbeck et al. 1990","Averbeck, G. A., K. E. Bjork, C. Packer, and L. Herbst. 1990. Prevalence of hematozoans in lions (Panthera leo) and cheetah (Acinonyx jubatus) in Serengeti national park and Ngorongoro crater, Tanzania. Journal of Wildlife Diseases 26:392-394."
"Awan et al 2005","Awan, G. A., Ahmad, T., Festa-Bianchet, M. (2005) Disease Spectrum and Mortality of Punjab Urial (Ovis vignei punjabiensis) in Kalabagh Game Reserve. Pakistan Journal of Zoology 37: 175-179."
"Awang and Yap 1990","Awang, A., and K. Yap. 1990. Group A Rotavirus Infection in Animals From an Animal House and in Wild- Caught Monkeys. J. Diarrhosal Dia Fles 8:82- 86."
"Ayala 1964","Ayala, F. M. 1964. Presencia de un hemoflagelado semejante al Trypanosoma rangeli tejera 1920, en el mono Saimiri boliviensis, en la region Amazonica, Peru. Revista Revista do Instituto de Medicina Tropical de Sao Paolo 6(2): 47-50."
"Badr et al. 2005","Badr, V., P. Stefan and J. Preisler. 2005. Trichodectes canis (de geer, 1778) (phthiraptera, ischnocera), a new ectoparasite of the raccoon dog (nyctereutes procyonoides) in the czech republic. European Journal of Wildlife Research 51: 133-135"
"Baeten et al 2007","Baeten, L.A., Powers, B. E., Jewell, J. E., Spraker, T. R., Miller, M. W. (2007) A Natural Case of Chronic Wasting Disease in a Free-ranging Moose(Alces alces shirasi). Journal of Wildlife diseases 43: 309-314."
"Bafundo et al. 1980","Bafundo, K. W., Wilhelm, W. E., and Kennedy, M. L. (1980). Geographic variation in helminth parasites from the digestive tract of Tennessee raccoons, Procyon lotor. The Journal of parasitology, 134-139."
"Bago et al 2002","Bago, Z., Bauder, B., Kolodziejek, J., Nowotny, N., Weissenbock, H. (2002) Tickborne encephalitisin a mouflon (Ovisammon musimon). Veterinary Record 150: 218-220."
"Bagrade et al. 2008","Bagrade, G., V. Snabel, T. Romig, J. Ozolins, M. Huttner, M. Miterpakova, D. Sevcova and P. Dubinsky. 2008. Echinococcus multilocularis is a frequent parasite of red foxes (vulpes vulpes) in latvia. Helminthologia 45: 157-161"
"Bagrade et al. 2009","Bagrade, G., M. Kirjusina, K. Vismanis and J. Ozolins. 2009. Helminth parasites of the wolf canis lupus from latvia. Journal of Helminthology 83: 63-68"
"Bain et al 1993","Bain, O., G. Wahl, et al. (1993). ""Onchocerca ramachandrini, new species from the warthog in Cameroon."" Annales de Parasitologie Humaine et Comparee 68(3): 139-143."
"Bain et al. 1986","Bain, O., G. Petit, and L. Rosales- Loesener. 1986. Filaires de Singes sud- americains. Bull. Mus. natn. Hist. nat. paris:513- 542."
"Bain et al. 1988","Bain, O., C. N. Wamae, and G. D. F. Reid. 1988. Diversite Des Filaires Du Genre Cercopithifilaria Chez Les Babouins Au Kenya. Ann. Parasitol. Hum. Comp. 63:224- 239."
"Bain et al. 1989","Bain, O., C. N. Wamae, and G. D. F. Reid. 1989. Description of Cercopithifilaria-Verveti N-Sp, a Subcutaneous Filarial Parasite of the Vervet Monkey in Kenya. Annales De Parasitologie Humaine Et Comparee 64:42-45."
"Bain et al. 1995","Bain, O., P. Moisson, M. Huerre, J. Landsoudsoukate, and C. Tutin. 1995. Filariae Form a Wild Gorilla in Gabon with Description of a New Species of Mansonella. Parasite-Journal De La Societe Francaise De Parasitologie 2:315-322."
"Bakarr et al. 1991","Bakarr, M. I., A. A. Gbakima, and Z. Bah. 1991. Intestinal Helminth Parasites in Free-Living Monkeys from a West African Rain Forest. African Journal of Ecology 29:170-172."
"Baker 1972","Baker, J. R. 1972. Protozoa of Tissues and Blood (Other than the Haemosporina), Pages 29- 56 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates Part II. London, S. Karger."
"Baker and McCann 1989","Baker, J. R., and T. S. McCann. 1989. Pathology and bacteriology of adult male antarctic fur seals, Arctocephalus gazella, dying at Bird Island, South Georgia. British Veterinary Journal 145:263-275."
"Bakker et al. 2006","Bakker, V. J., D. H. Van Vuren, K. R. Crooks, C. A. Scott, J. T. Wilcox and D. K. Garcelon. 2006. Serologic survey of the island spotted skunk on santa cruz island. Western North American Naturalist 66: 456-461"
"Bakuza and Nkwengulila 2009","Bakuza, J., and G. Nkwengulila. 2009. Variation over Time in Parasite Prevalence Among Free-ranging Chimpanzees at Gombe National Park, Tanzania. International Journal of Primatology 30:43-53."
"Balestrieri et al. 2006","Balestrieri, A., L. Remonti, N. Ferrari, A. Ferrari, T. Lo Valvo, S. Robetto and R. Orusa. 2006. Sarcoptic mange in wild carnivores and its co-occurrence with parasitic helminths in the western italian alps. European Journal of Wildlife Research 52: 196-201"
"Balicka-Ramisz et al. 2005","Balicka-Ramisz, A., Pilarczyk, B., Ramisz, A., Cisek, A. (2005) Occurrence of gastrointestinal and pulmonary nematodesof fallow deer (Dama dama L.) in North-West Poland. Acta Parasitologica 50: 94-96."
"Ball et al 2001","Ball Mark, C., W. Lankester Murray, et al. (2001). ""Factors affecting the distribution and transmission of Elaphostrongylus rangiferi (Protostrongylidae) in caribou (Rangifer tarandus caribou) of Newfoundland, Canada."" Canadian Journal of Zoology 79(7): 1265-1277."
"Ballard and Krausman 1997","Ballard, W. B., and P. R. Krausman. 1997. Occurrence of rabies in wolves of Alaska. Journal of Wildlife Diseases 33:242-245."
"Ballard et al. 2001","Ballard, W. B., E. H. Follmann, D. G. Ritter, M. D. Robards, and M. A. Cronin. 2001. Rabies and canine distemper in an arctic fox population in Alaska. Journal of Wildlife Diseases 37:133-137."
"Balserio et al. 2008","Balserio, A., Garcia-Marin, J. F., Solano, P., Garrido, J. M., Prieto, J. M. (2008) Histopathological Classification of LesionsObserved in Natural Cases of Paratuberculosisin Free-ranging Fallow Deer (Dama dama). Journal of Comparative Pathology 138: 180-188."
"Banerjee et al. 2005","Banerjee, P. S., Garg, R., Yadav, C. L., Ram, H. (2005) Parasitic infections in some wild animals of Uttaranchal. Indian Journal of Animal Sciences 75: 206-208."
"Banks and Ashley 2000","Banks Shawn, M. and C. Ashley David (2000). ""Parelaphostrongyliasis in white-tailed deer in Missouri."" Journal of Wildlife Diseases 36(3): 562-564."
"Banks et al. 2002","Banks, M., D. P. King, C. Daniells, D. A. Stagg, and D. Gavier-Widen. 2002. Partial characterization of a novel gammaherpesvirus isolated from a European badger (Meles meles). Journal of General Virology 83:1325-1330."
