"X","Type","Phylum","Class","Order","Family","Genus","Species","Human","Zoonotic","Domestic","Wildlife","HostGroup","HostOrder","HostFamily","HostSpecies","HostName","Association","Method","Reference","PMID","Additional","Synonym","Disease","Taylor","Emerging","Emerging.Source","VectorBorne","GramStain","Motility","Spore","Oxygen","Cell","Infection","Abbreviation","Strain","Genome","Gsize","ProteinCount","PercentGC","HostSpeciesPHB","HostSpecies.new","N.genomes","Genome.size","Genome.GC","Genome.genes","Pathogen_Original","Pathogen_Harmonised","YearRef","YearPubMed","Year","YearType","Host_Original","Host_Harmonised","HostSynonyms","HostClass"
5769,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Cytomegalovirus","saimiriine betaherpesvirus 4","No","No","na","na","Primates","Primates","Cebidae","Saimiri sciureus","Common squirrel monkey","Apathogenic","Isolation","Rangan and Chaiban 1980",6253743,"Rogers et al., 2015","Saimiriine herpesvirus 4","","No","No","","No",NA,NA,NA,NA,NA,NA,"SaHV-4","","dsDNA","0.11293","76","34.5","Saimirisciureus","Saimiri sciureus",1,0.196691,46.8,141,"saimiriine betaherpesvirus 4","saimiriine herpesvirus 4",1980,1980,1980,"PubMed publication","saimiri sciureus","saimiri sciureus","simia apedia, lemur leucopsis, simia morta, chrysothrix nigrivittata, sapajou saimiri, saimiri sciureus sciureus","Mammalia"
5827,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","callitrichine gammaherpesvirus 3","No","No","Captive","No","Primates","Primates","Callitrichidae","Callithrix jacchus","Common marmoset","Pathogenic","PCR","Ramer et al. 2000",10987671,"11158621","CalHV-3; Marmoset lymphocryptovirus; Callitrichine herpesvirus 3","","No","No","","No",NA,NA,NA,NA,NA,NA,"CalHV-3","","dsDNA","0.149696","72","49.3","Callithrixjacchus","Callithrix jacchus",1,0.149696,49.3,73,"callitrichine gammaherpesvirus 3","callitrichine herpesvirus 3",2000,2000,2000,"PubMed publication","callithrix jacchus","callithrix jacchus","jacchus albicollis, hapale communis, hapale leucotis, jacchus vulgaris, simia jacchus moschatus, jacchus vulgaris rufus","Mammalia"
5828,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","gorilline gammaherpesvirus 1","No","No","Captive","No","Primates","Primates","Hominidae","Gorilla gorilla","Western gorilla","Apathogenic","Isolation","Neubauer et al. 1979",92573,"","Pongine herpesvirus 3; Herpesvirus gorilla; Gorilline herpesvirus 1, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"GoHV-1","","dsDNA","na","na","na","Gorillagorilla","Gorilla gorilla",1,0.000549,61.2,1,"gorilline gammaherpesvirus 1","pongine herpesvirus 3",1979,1979,1979,"PubMed publication","gorilla gorilla","gorilla gorilla","na","Mammalia"
5829,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","No","Primates","Primates","Cercopithecidae","Chlorocebus pygerythrus","Vervet monkey","Apathogenic","Antibodies","Dunkel et al. 1972",NA,"doi: 10.1093/jnci/49.2.435","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Chlorocebuspygerythrus","Chlorocebus pygerythrus",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1972,NA,1972,NA,"chlorocebus pygerythrus","chlorocebus pygerythrus","na","Mammalia"
5830,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","No","Primates","Primates","Cercopithecidae","Macaca fascicularis","Crab-eating macaque","Apathogenic","Isolation","Fujimoto et al. 1990",2160013,"ViPR","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Macacafascicularis","Macaca fascicularis",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1990,1990,1990,"PubMed publication","macaca fascicularis","macaca fascicularis","na","Mammalia"
5831,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","No","Primates","Primates","Cercopithecidae","Macaca radiata","Bonnet macaque","Apathogenic","Antibodies","Dunkel et al. 1972",NA,"doi: 10.1093/jnci/49.2.435","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Macacaradiata","Macaca radiata",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1972,NA,1972,NA,"macaca radiata","macaca radiata","na","Mammalia"
5832,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","No","Primates","Primates","Cercopithecidae","Macaca cyclopis","Formosan rock macaque","Apathogenic","Antibodies","Dunkel et al. 1972",NA,"doi: 10.1093/jnci/49.2.435","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Macacacyclopis","Macaca cyclopis",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1972,NA,1972,NA,"macaca cyclopis","macaca cyclopis","macacus affinis","Mammalia"
5833,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","No","Primates","Primates","Hominidae","Gorilla gorilla","Western gorilla","Apathogenic","Antibodies","Kalter et al. 1972",4342526,"","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Gorillagorilla","Gorilla gorilla",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1972,1972,1972,"PubMed publication","gorilla gorilla","gorilla gorilla","na","Mammalia"
5834,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","No","Primates","Primates","Hylobatidae","Hylobates lar","Lar gibbon","Apathogenic","Antibodies","Werner et al. 1972",4358039,"","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Hylobateslar","Hylobates lar",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1972,1972,1972,"PubMed publication","hylobates lar","hylobates lar","na","Mammalia"
5835,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","Yes","Primates","Primates","Cercopithecidae","Macaca mulatta","Rhesus macaque","Apathogenic","Antibodies","Dunkel et al. 1972",NA,"doi: 10.1093/jnci/49.2.435","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Macacamulatta","Macaca mulatta",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1972,NA,1972,NA,"macaca mulatta","macaca mulatta","simia erythraea, simia fulvus, macacus lasiotus, pithecus littoralis, macaca nipalensis, macaca oinops, simia rhesus, inuus sancti-johannis, macaca siamica, macacus tcheliensis, macacus vestitus, inuus sanctijohannis, macacus rhesus villosus, macaca mulatta mcmahoni","Mammalia"
5836,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Captive","Yes","Primates","Primates","Hominidae","Pan troglodytes","Chimpanzee","Apathogenic","Antibodies","Kalter et al. 1972",4342526,"","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Pantroglodytes","Pan troglodytes",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1972,1972,1972,"PubMed publication","pan troglodytes","pan troglodytes","na","Mammalia"
5837,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","No","No","Human","Primates","Hominidae","Homo sapiens","Human","Pathogenic","Isolation","Epstein et al., 1964",14107961,"","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","Infectious mononucleosis; Glandular fever","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Homosapiens","Homo sapiens",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",1964,1964,1964,"PubMed publication","homo sapiens","homo sapiens","homo aethiopicus, homo americanus, homo arabicus, homo australasicus, homo cafer, homo capensis, homo columbicus, homo drennani, homo grimaldii, homo hottentotus, homo hyperboreus, homo indicus, homo japeticus, homo melaninus, homo monstrosus, homo neptunianus, homo palestinus, homo patagonus, homo priscus, homo scythicus, homo sinicus, homo spelaeus, homo troglodytes, homo wadjakensis, homo sapiens cro-magnonensis, homo sapiens grimaldiensis, homo fossilis proto-aethiopicus, homo fossilis protoaethiopicus, homo sapiens cromagnonensis","Mammalia"
5838,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","human gammaherpesvirus 4","Yes","Yes","Yes","No","Carnivora","Carnivora","Felidae","Felis catus","Domestic cat","Apathogenic","Antibodies","Milman et al. 2011",21242039,"","HHV-4; Epstein Barr virus; Human herpesvirus 4, etc.","","Yes","No","","No",NA,NA,NA,NA,NA,NA,"HHV-4","","dsDNA","0.172293","87","59.5","Feliscatus","Felis catus",109,0.171754193,55.25321101,82.37662338,"human gammaherpesvirus 4","human gammaherpesvirus 4",2011,2011,2011,"PubMed publication","felis catus",NA,NA,"Mammalia"
5839,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","macacine gammaherpesvirus 4","No","No","Yes","No","Primates","Primates","Cercopithecidae","Macaca mulatta","Rhesus macaque","Pathogenic","Isolation","Rangan et al., 1986",3017870,"","Rhesus lymphocryptovirus; Rhesus Epstein Barr virus; Cercopithicine herpesvirus 15, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"McHV-4","","dsDNA","0.171096","80","61.9","Macacamulatta","Macaca mulatta",1,0.171096,61.9,79,"macacine gammaherpesvirus 4","macacine herpesvirus 4",1986,1986,1986,"PubMed publication","macaca mulatta","macaca mulatta","simia erythraea, simia fulvus, macacus lasiotus, pithecus littoralis, macaca nipalensis, macaca oinops, simia rhesus, inuus sancti-johannis, macaca siamica, macacus tcheliensis, macacus vestitus, inuus sanctijohannis, macacus rhesus villosus, macaca mulatta mcmahoni","Mammalia"
5840,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","panine gammaherpesvirus 1","No","No","Yes","Yes","Primates","Primates","Hominidae","Pan troglodytes","Chimpanzee","Apathogenic","Isolation","Gerber et al., 1976",184297,"Levy et al., 1971","Pongine herpesvirus 1; Panine herpesvirus 1; Herpesvirus pan","","No","No","","No",NA,NA,NA,NA,NA,NA,"PnHV-1","","dsDNA","na","na","na","Pantroglodytes","Pan troglodytes",1,0.00258,61.7,1,"panine gammaherpesvirus 1","panine herpesvirus 1",1971,1976,1971,"Publication date from source database (earliest)","pan troglodytes","pan troglodytes","na","Mammalia"
5841,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Lymphocryptovirus","papiine gammaherpesvirus 1","No","No","Yes","Yes","Primates","Primates","Cercopithecidae","Papio hamadryas","Hamadryas baboon","Pathogenic","Isolation","Neubauer et al., 1979",216640,"Voevodin et al., 1985","Herpesvirus papio HVP; Papiine herpesvirus 1; Cercopithecine herpesvirus 12, etc.","","No","No","","No",NA,NA,NA,NA,NA,NA,"PaHV-1","","dsDNA","na","na","na","Papiohamadryas","Papio hamadryas",1,0.021614,59.1,2,"papiine gammaherpesvirus 1","papiine herpesvirus 1",1979,1979,1979,"PubMed publication","papio hamadryas","papio hamadryas","hamadryas aegyptiaca, papio arabicus, papio brockmani, hamadryas chaeropitheus, simia cynamolgus, theropithecus nedjo, cynocephalus wagleri","Mammalia"
5842,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","alcelaphine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bison bison","American bison","Pathogenic","PCR","Flach et al., 2002",12208112,"","AIHV-1; Malignant catarrhal fever virus; Bovine herpesvirus 3, etc.","Bovine malignant catarrhal fever; Wildebeest-associated malignant catarrhal fever","No","Yes","PMID: 23957274","No",NA,NA,NA,NA,NA,NA,"AlHV-1","","dsDNA","0.130608","71","46.2","Bisonbison","Bison bison",1,0.130608,46.2,71,"alcelaphine gammaherpesvirus 1","bovine herpesvirus 3",2002,2002,2002,"PubMed publication","bison bison","bison bison","bison bison bison, bos bison, bison americanus, bison sylvestris, bison americanus pennsylvanicus, bison bison septemtrionalis, bison bison athabasacae, bison bison athabascae","Mammalia"
5843,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","alcelaphine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bos frontalis","Gaur","Pathogenic","Isolation","Zimmer et al., 1981",7327993,"Meteyer et al., 1989","AIHV-1; Malignant catarrhal fever virus; Bovine herpesvirus 3, etc.","Bovine malignant catarrhal fever; Wildebeest-associated malignant catarrhal fever","No","Yes","PMID: 23957274","No",NA,NA,NA,NA,NA,NA,"AlHV-1","","dsDNA","0.130608","71","46.2","Bosfrontalis","Bos frontalis",1,0.130608,46.2,71,"alcelaphine gammaherpesvirus 1","bovine herpesvirus 3",1981,1981,1981,"PubMed publication","bos frontalis","bos frontalis","na","Mammalia"
5844,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","alcelaphine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bos grunniens","Yak","Apathogenic","PCR","Flach et al., 2002",12208112,"","AIHV-1; Malignant catarrhal fever virus; Bovine herpesvirus 3, etc.","","No","Yes","PMID: 23957274","No",NA,NA,NA,NA,NA,NA,"AlHV-1","","dsDNA","0.130608","71","46.2","Bosgrunniens","Bos grunniens",1,0.130608,46.2,71,"alcelaphine gammaherpesvirus 1","bovine herpesvirus 3",2002,2002,2002,"PubMed publication","bos grunniens","bos grunniens","na","Mammalia"
5845,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","alcelaphine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bos taurus","Domestic cattle","Pathogenic","Isolation","",26446889,"","AIHV-1; Malignant catarrhal fever virus; Bovine herpesvirus 3, etc.","Bovine malignant catarrhal fever; Wildebeest-associated malignant catarrhal fever","No","Yes","PMID: 23957274","No",NA,NA,NA,NA,NA,NA,"AlHV-1","","dsDNA","0.130608","71","46.2","Bostaurus","Bos taurus",1,0.130608,46.2,71,"alcelaphine gammaherpesvirus 1","bovine herpesvirus 3",NA,2016,2016,"PubMed publication","bos taurus","bos taurus","na","Mammalia"
5846,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","alcelaphine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Connochaetes gnou","Black wildebeest","Apathogenic","Isolation","Castro et al., 1984",19244822,"6324620","AIHV-1; Malignant catarrhal fever virus; Bovine herpesvirus 3, etc.","","No","Yes","PMID: 23957274","No",NA,NA,NA,NA,NA,NA,"AlHV-1","","dsDNA","0.130608","71","46.2","Connochaetesgnou","Connochaetes gnou",1,0.130608,46.2,71,"alcelaphine gammaherpesvirus 1","bovine herpesvirus 3",1984,2008,1984,"Publication date from source database (earliest)","connochaetes gnou","connochaetes gnou","na","Mammalia"
5847,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","alcelaphine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Hippotragus equinus","Roan antelope","Apathogenic","PCR","Flach et al., 2002",12208112,"Malignant Catarrhal Fever in Wild Ruminants","AIHV-1; Malignant catarrhal fever virus; Bovine herpesvirus 3, etc.","","No","Yes","PMID: 23957274","No",NA,NA,NA,NA,NA,NA,"AlHV-1","","dsDNA","0.130608","71","46.2","Hippotragusequinus","Hippotragus equinus",1,0.130608,46.2,71,"alcelaphine gammaherpesvirus 1","bovine herpesvirus 3",2002,2002,2002,"PubMed publication","hippotragus equinus","hippotragus equinus","na","Mammalia"
5848,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","alcelaphine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Kobus ellipsiprymnus","Waterbuck","Pathogenic","PCR","Flach et al., 2002",12208112,"Malignant Catarrhal Fever in Wild Ruminants","AIHV-1; Malignant catarrhal fever virus; Bovine herpesvirus 3, etc.","Bovine malignant catarrhal fever; Wildebeest-associated malignant catarrhal fever","No","Yes","PMID: 23957274","No",NA,NA,NA,NA,NA,NA,"AlHV-1","","dsDNA","0.130608","71","46.2","Kobusellipsiprymnus","Kobus ellipsiprymnus",1,0.130608,46.2,71,"alcelaphine gammaherpesvirus 1","bovine herpesvirus 3",2002,2002,2002,"PubMed publication","kobus ellipsiprymnus","kobus ellipsiprymnus","na","Mammalia"
