name,exact,type,order,class,family,genus,species,checked_prev,rg_updated,species_updated,class_updated,order_updated,family_updated,genus_updated,unresolved_notes
nodamura,FALSE,viruses,Nodamuvirales,Magsaviricetes,,,,TRUE,TRUE,Nodamura virus,Magsaviricetes,Nodamuvirales,Nodaviridae,Alphanodavirus,
norwalk,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Norovirus,Norwalk virus,TRUE,,,,,,,
ntaya,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Ntaya virus,TRUE,,,,,,,
nyando,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Nyando orthobunyavirus,TRUE,,,,,,,
o'nyong-nyong,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Onyong-nyong virus,TRUE,,,,,,,
oita,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ledantevirus,Oita ledantevirus,TRUE,,,,,,,
okola,FALSE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Zaire ebolavirus,TRUE,TRUE,Okola virus,Ellioviricetes,Bunyavirales,Peribunyaviridae,,
oliveros,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Orivirus,,TRUE,TRUE,Oliveros mammarenavirus,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,
omsk,FALSE,viruses,Algavirales,Megaviricetes,Phycodnaviridae,Prasinovirus,Ostreococcus mediterraneus virus 1,TRUE,TRUE,Omsk hemorrhagic fever virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,
oran,FALSE,viruses,Patatavirales,Stelpaviricetes,Potyviridae,Potyvirus,Ornithogalum mosaic virus,TRUE,TRUE,Andes orthohantavirus,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,
orf,FALSE,viruses,Patatavirales,Stelpaviricetes,Potyviridae,Potyvirus,Ornithogalum mosaic virus,TRUE,TRUE,Orf virus,Pokkesviricetes,Chitovirales,Poxviridae,Parapoxvirus,
oriboca,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Oriboca orthobunyavirus,TRUE,,,,,,,
oropouche,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Oropouche orthobunyavirus,TRUE,,,,,,,
orthohepevirus a,FALSE,viruses,Hepelivirales,Alsuviricetes,Hepeviridae,Orthohepevirus,Orthohepevirus D,TRUE,TRUE,Orthohepevirus A,Alsuviricetes,Hepelivirales,Hepeviridae,Orthohepevirus,
orthohepevirus c,FALSE,viruses,Hepelivirales,Alsuviricetes,Hepeviridae,Orthohepevirus,Orthohepevirus D,TRUE,TRUE,Orthohepevirus C,Alsuviricetes,Hepelivirales,Hepeviridae,Orthohepevirus,
orthohepevirus d,FALSE,viruses,Hepelivirales,Alsuviricetes,Hepeviridae,Orthohepevirus,Orthohepevirus D,TRUE,,,,,,,
orungo,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Orungo virus,TRUE,,,,,,,
ovine adenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Ovine mastadenovirus C,TRUE,TRUE,Ovine mastadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
ovine adenovirus b,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Ovine mastadenovirus C,TRUE,TRUE,Ovine mastadenovirus B,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
ovine adenovirus d,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Ovine mastadenovirus C,TRUE,TRUE,Ovine atadenovirus D,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,
ovine respiratory syncytial,FALSE,viruses,Mononegavirales,Monjiviricetes,Pneumoviridae,,Ovine respiratory syncytial virus,TRUE,,,,,,,
palyam,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Palyam virus,TRUE,,,,,,,
pampa,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,,Pampa virus,TRUE,,,,,,,
parana,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Paraguayan mammarenavirus,TRUE,,,,,,,
pasivirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Pasivirus,Pasivirus A,TRUE,,,,,,,
patois,FALSE,viruses,Imitervirales,Megaviricetes,Mimiviridae,Catovirus,,TRUE,TRUE,Patois orthobunyavirus,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,
peruvian horse sickness,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Peruvian horse sickness virus,TRUE,,,,,,,
phnom penh bat,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Phnom Penh bat virus,TRUE,,,,,,,
phocine distemper,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Morbillivirus,Phocine morbillivirus,TRUE,,,,,,,
pichinde,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Cali mammarenavirus,TRUE,,,,,,,
pirital,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Pirital mammarenavirus,TRUE,,,,,,,
piry,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Piry vesiculovirus,TRUE,,,,,,,
pixuna,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Pixuna virus,TRUE,,,,,,,
porcine adenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Porcine mastadenovirus C,TRUE,TRUE,Porcine mastadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
porcine adenovirus b,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Porcine mastadenovirus C,TRUE,TRUE,Porcine mastadenovirus B,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
porcine adenovirus c,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Porcine mastadenovirus C,TRUE,,,,,,,
porcine enterovirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus G,TRUE,,,,,,,
porcine enterovirus b,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus G,TRUE,,,,,,,
porcine epidemic diarrhea,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Porcine epidemic diarrhea virus,TRUE,,,,,,,
porcine hemagglutinating encephalomyelitis,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Betacoronavirus 1,TRUE,,,,,,,
porcine type-c oncovirus,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Porcine type-C oncovirus,TRUE,,,,,,,
powassan,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Powassan virus,TRUE,,,,,,,
primate t-lymphotropic virus 1,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Deltaretrovirus,Primate T-lymphotropic virus 1,TRUE,,,,,,,
primate t-lymphotropic virus 2,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Deltaretrovirus,Primate T-lymphotropic virus 2,TRUE,,,,,,,
primate t-lymphotropic virus 3,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Deltaretrovirus,Primate T-lymphotropic virus 3,TRUE,,,,,,,
primate t-lymphotropic virus 4,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Deltaretrovirus,Primate T-lymphotropic virus 1,TRUE,TRUE,Human T-lymphotropic virus 4,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,
prospect hill,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Prospect Hill orthohantavirus,TRUE,,,,,,,
pseudocowpox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Parapoxvirus,Pseudocowpox virus,TRUE,,,,,,,
punta toro,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Punta Toro phlebovirus,TRUE,,,,,,,
puumala,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Puumala orthohantavirus,TRUE,,,,,,,
qalyub,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Qalyub orthonairovirus,TRUE,,,,,,,
quaranfil,FALSE,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,Quaranjavirus,Quaranfil quaranjavirus,TRUE,,,,,,,
rabbit fibroma,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Leporipoxvirus,Rabbit fibroma virus,TRUE,,,,,,,
rabbit hemorrhagic disease,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,TRUE,,,,,,,
rabbit kidney vacuolating,FALSE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,,Rabbit kidney vacuolating virus,TRUE,,,,,,,
rabies,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Rabovirus,,TRUE,TRUE,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,
red deer parapoxvirus new zealand,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Parapoxvirus,Parapoxvirus of red deer in New Zealand,TRUE,,,,,,,
rift valley,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Rift Valley fever phlebovirus,TRUE,,,,,,,
rinderpest,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Morbillivirus,Rinderpest morbillivirus,TRUE,,,,,,,
rio bravo,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Rio Bravo virus,TRUE,,,,,,,
rio mamore,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Rio Mamore hantavirus,TRUE,,,,,,,
rio negro,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Rio Negro virus,TRUE,,,,,,,
rio segundo,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Rio Segundo hantavirus,TRUE,,,,,,,
rosavirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Rosavirus,Rosavirus C,TRUE,TRUE,Rosavirus A,Pisoniviricetes,Picornavirales,Picornaviridae,Rosavirus,
ross river,FALSE,viruses,,,,,Ross virus,TRUE,TRUE,Ross River virus,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,
rotavirus a,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Rotavirus,Rotavirus L,TRUE,TRUE,Rotavirus A,Resentoviricetes,Reovirales,Reoviridae,Rotavirus,
rotavirus b,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Rotavirus,Rotavirus L,TRUE,TRUE,Rotavirus B,Resentoviricetes,Reovirales,Reoviridae,Rotavirus,
rotavirus c,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Rotavirus,Rotavirus L,TRUE,TRUE,Rotavirus C,Resentoviricetes,Reovirales,Reoviridae,Rotavirus,
rotavirus e,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Rotavirus,Rotavirus L,TRUE,TRUE,unclassified Rotavirus,Resentoviricetes,Reovirales,Reoviridae,Rotavirus,
rotavirus h,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Rotavirus,Rotavirus L,TRUE,TRUE,Rotavirus H,Resentoviricetes,Reovirales,Reoviridae,Rotavirus,
royal farm,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Royal Farm virus,TRUE,,,,,,,
rubella,FALSE,viruses,Hepelivirales,Alsuviricetes,Matonaviridae,Rubivirus,Rubella virus,TRUE,,,,,,,
rupicapra gammaherpesvirus 1,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Ruminantia gammaherpesvirus 1,TRUE,TRUE,Rupicapra rupicapra gammaherpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,,
saaremaa,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Saaremaa hantavirus,TRUE,,,,,,,
sabia,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Brazilian mammarenavirus,TRUE,,,,,,,
saboya,FALSE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Zaire ebolavirus,TRUE,TRUE,Saboya virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,
sakobuvirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Sakobuvirus,Sakobuvirus A,TRUE,,,,,,,
sal vieja,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Salovirus,,TRUE,TRUE,Sal Vieja virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,
salehabad,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Salehabad phlebovirus,TRUE,,,,,,,
salem,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Salemvirus,,TRUE,TRUE,Salem salemvirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Salemvirus,
salivirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Salivirus,Salivirus A,TRUE,,,,,,,
san perlita,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,San Perlita virus,TRUE,,,,,,,
sandfly fever naples,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Naples phlebovirus,TRUE,,,,,,,
sandfly fever sicilian,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Sicilian phlebovirus,TRUE,,,,,,,
sangassou,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Sangassou orthohantavirus,TRUE,,,,,,,
sapporo,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Sapovirus,Sapporo virus,TRUE,,,,,,,
sathuperi,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Sathuperi orthobunyavirus,TRUE,,,,,,,
sciurid herpesvirus 1,FALSE,viruses,Herpesvirales,Herviviricetes,Alloherpesviridae,Ictalurivirus,Silurid herpesvirus 1,TRUE,,,,,,,
sciurid herpesvirus 2,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Muromegalovirus,Murid betaherpesvirus 2,TRUE,TRUE,Sciurid herpesvirus 2,Herviviricetes,Herpesvirales,Herpesviridae,,unresolved; no clear match in NCBITaxonomy
sealpox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Variola virus,TRUE,TRUE,Seal parapoxvirus,Pokkesviricetes,Chitovirales,Poxviridae,Parapoxvirus,
semliki forest,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Semliki Forest virus,TRUE,,,,,,,
sendai,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Respirovirus,Murine respirovirus,TRUE,,,,,,,
seneca valley,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Senecavirus,Senecavirus A,TRUE,,,,,,,
seoul,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Seoul orthohantavirus,TRUE,,,,,,,
sepik,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Sepik virus,TRUE,,,,,,,
sfts phlebovirus,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,SFTS phlebovirus,TRUE,,,,,,,
shamonda,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Shamonda orthobunyavirus,TRUE,,,,,,,
sheeppox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Capripoxvirus,Sheeppox virus,TRUE,,,,,,,
shuni,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Shuni orthobunyavirus,TRUE,,,,,,,
simbu,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Simbu orthobunyavirus,TRUE,,,,,,,
simian adenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Simian adenovirus 7,TRUE,TRUE,Simian mastadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
simian enterovirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus H,TRUE,,,,,,,
simian foamy,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Spumavirus,Simian foamy virus,TRUE,,,,,,,
simian hemorrhagic fever,FALSE,viruses,Nidovirales,Pisoniviricetes,Arteriviridae,Deltaarterivirus,Deltaarterivirus hemfev,TRUE,,,,,,,
simian immunodeficiency,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Simian immunodeficiency virus,TRUE,,,,,,,
simian virus 10,FALSE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,,Simian virus 12,TRUE,TRUE,Human respirovirus 3,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,
sin nombre,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Sin Nombre orthohantavirus,TRUE,,,,,,,
sindbis,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Sindbis virus,TRUE,,,,,,,
skunkpox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Skunkpox virus,TRUE,,,,,,,
southern elephant seal,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Southern elephant seal virus,TRUE,,,,,,,
squirrel adenovirus,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Squirrel mastadenovirus A,TRUE,,,,,,,
squirrel fibroma,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Leporipoxvirus,Squirrel fibroma virus,TRUE,,,,,,,
st. louis encephalitis,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Saint Louis encephalitis virus,TRUE,,,,,,,
suid herpesvirus 3,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Roseolovirus,Suid betaherpesvirus 2,TRUE,TRUE,Suid gammaherpesvirus 3,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus,
suid herpesvirus 4,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Roseolovirus,Suid betaherpesvirus 2,TRUE,TRUE,Suid gammaherpesvirus 4,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus,
suid herpesvirus 5,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Roseolovirus,Suid betaherpesvirus 2,TRUE,TRUE,Suid gammaherpesvirus 5,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus,
swine vesicular disease,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus B,TRUE,,,,,,,
swinepox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Suipoxvirus,Swinepox virus,TRUE,,,,,,,
tacaiuma,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Tacaiuma orthobunyavirus,TRUE,,,,,,,
tacaribe,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Tacaribe mammarenavirus,TRUE,,,,,,,
tai forest ebolavirus,FALSE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Tai Forest ebolavirus,TRUE,,,,,,,
tamana bat,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Tamana bat virus,TRUE,,,,,,,
tamdy,FALSE,viruses,Patatavirales,Stelpaviricetes,Potyviridae,Potyvirus,Potato virus A,TRUE,TRUE,Tamdy virus,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus,
tamiami,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Tamiami mammarenavirus,TRUE,,,,,,,
tanapox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Yatapoxvirus,Tanapox virus,TRUE,,,,,,,
tataguine,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Tataguine orthobunyavirus,TRUE,,,,,,,
taterapox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Taterapox virus,TRUE,,,,,,,
tembusu,FALSE,viruses,Tolivirales,Tolucaviricetes,Tombusviridae,Tombusvirus,,TRUE,TRUE,Tembusu virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,
thailand,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Thailand orthohantavirus,TRUE,,,,,,,
thiafora,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Thiafora orthonairovirus,TRUE,,,,,,,
thogoto,FALSE,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,Thogotovirus,,TRUE,TRUE,Thogoto thogotovirus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Thogotovirus,
thottapalayam,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Thottimvirus,Thottopalayam thottimvirus,TRUE,,,,,,,
tibrogargan,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Tibrovirus,Tibrogargan tibrovirus,TRUE,,,,,,,
tick-borne encephalitis,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Tick-borne encephalitis virus,TRUE,,,,,,,
timboteua,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Timboteua orthobunyavirus,TRUE,,,,,,,
tioman,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Pararubulavirus,Tioman pararubulavirus,TRUE,,,,,,,
tonate,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Tonate virus,TRUE,,,,,,,
topografov,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Topografov hantavirus,TRUE,,,,,,,
torque teno,FALSE,viruses,,,Anelloviridae,,Torque teno virus,TRUE,,,,,,,
torque teno canis,FALSE,viruses,,,Anelloviridae,,Torque teno virus,TRUE,,,,,,,
torque teno douroucouli,FALSE,viruses,,,Anelloviridae,Zetatorquevirus,Torque teno douroucouli virus,TRUE,,,,,,,
torque teno felis,FALSE,viruses,,,Anelloviridae,,Torque teno virus,TRUE,,,,,,,
torque teno tamarin,FALSE,viruses,,,Anelloviridae,Epsilontorquevirus,Torque teno tamarin virus,TRUE,,,,,,,
torque teno tupaia,FALSE,viruses,,,Anelloviridae,Deltatorquevirus,Torque teno tupaia virus,TRUE,,,,,,,
torque teno zalophus,FALSE,viruses,,,Anelloviridae,Lambdatorquevirus,Torque teno zalophus virus 1,TRUE,,,,,,,
transmissible gastroenteritis,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,TRUE,,,,,,,
trubanaman,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,,Trubanaman virus,TRUE,,,,,,,
tula,FALSE,viruses,Patatavirales,Stelpaviricetes,Potyviridae,Potyvirus,Turnip mosaic virus,TRUE,TRUE,Tula orthohantavirus,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,
tupaia,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Tupavirus,,TRUE,TRUE,Tupaia tupavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Tupavirus,
turlock,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Turlock orthobunyavirus,TRUE,,,,,,,
tyuleniy,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Tyuleniy virus,TRUE,,,,,,,
uganda s,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Uganda S virus,TRUE,,,,,,,
una,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Una virus,TRUE,,,,,,,
upolu,FALSE,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,Thogotovirus,Upolu virus,TRUE,,,,,,,
usutu,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Usutu virus,TRUE,,,,,,,
uukuniemi,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Uukuvirus,Uukuniemi uukuvirus,TRUE,,,,,,,
vaccinia,FALSE,viruses,Ortervirales,Revtraviricetes,Caulimoviridae,Vaccinivirus,,TRUE,TRUE,Vaccinia virus,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,
variola,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Variola virus,TRUE,,,,,,,
venezuelan equine encephalitis,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,TRUE,,,,,,,
vesicular exanthema of swine,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Vesivirus,Vesicular exanthema of swine virus,TRUE,,,,,,,
vesicular stomatitis,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis virus,TRUE,,,,,,,
vesicular stomatitis alagoas,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Alagoas vesiculovirus,TRUE,,,,,,,
vesicular stomatitis indiana,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Indiana vesiculovirus,TRUE,,,,,,,
vesicular stomatitis new jersey,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,New Jersey vesiculovirus,TRUE,,,,,,,
visna/maedi,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Visna-maedi virus,TRUE,,,,,,,
volepox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Ectromelia virus,TRUE,TRUE,Volepox virus,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,
wad medani,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Wad Medani virus,TRUE,,,,,,,
wallal,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Wallal virus,TRUE,,,,,,,
wanowrie,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,,Wanowrie virus,TRUE,,,,,,,
warrego,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Warrego virus,TRUE,,,,,,,
wesselsbron,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Wesselsbron virus,TRUE,,,,,,,
west caucasian bat,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,West Caucasian bat lyssavirus,TRUE,,,,,,,
