"Host","HostClass","HostOrder","HostFamily","Virus","VirusOrder","Year","YearType","Database","DatabaseVersion","DetectionMethod","Detection_NotSpecified","Detection_Serology","Detection_Genetic","Detection_Isolation","Host_Original","Virus_Original","DetectionMethod_Original"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,1999,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline calicivirus","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,2009,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline calicivirus","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,2004,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Feline calicivirus","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,2010,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Feline calicivirus","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,2004,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Feline calicivirus","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline calicivirus",NA,1975,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Acinonyx jubatus","Feline calicivirus","Isolation"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline coronavirus",NA,1996,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Feline coronavirus","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline immunodeficiency","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",1993,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Feline immunodeficiency","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",1996,"Author","GMPD2","Stephens et al. 2017 Ecology","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Acinonyx jubatus","Feline immunodeficiency","DirectBlood"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",2005,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Feline immunodeficiency","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1986,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Feline leukemia","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Influenza A virus","Articulavirales",2012,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Acinonyx jubatus","Influenza a","PCR"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Rabies",NA,2010,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Rabies lyssavirus","Serology"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Rabies",NA,2010,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Rabies","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Rabies",NA,2008,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Rabies lyssavirus","Antibodies"
"Acinonyx jubatus","Mammalia","Carnivora","Felidae","Rift Valley fever phlebovirus","Bunyavirales",1996,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Acinonyx jubatus","Rift valley fever phlebovirus","Antibodies"
"Ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","Alphacoronavirus 1",NA,2003,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailuropoda melanoleuca","Alphacoronavirus 1","PCR"
"Ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","Alphacoronavirus 1",NA,2009,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Ailuropoda melanoleuca","Alphacoronavirus 1","Isolation"
"Ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","Canine morbillivirus","Mononegavirales",1999,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailuropoda melanoleuca","Canine distemper","PCR"
"Ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","Canine morbillivirus","Mononegavirales",1993,"Author","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Ailuropoda melanoleuca","Canine distemper","Isolation"
"Ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","Carnivore protoparvovirus 1",NA,1994,"Author","Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailuropoda melanoleuca","Carnivore protoparvovirus 1","PCR"
"Ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","Rotavirus A","Reovirales",2013,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailuropoda melanoleuca","Rotavirus a","PCR"
"Ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","Rotavirus A","Reovirales",2013,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Ailuropoda melanoleuca","Rotavirus a","Isolation"
"Ailurus fulgens","Mammalia","Carnivora","Ailuridae","Canine morbillivirus","Mononegavirales",1999,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailurus fulgens","Canine distemper","PCR"
"Ailurus fulgens","Mammalia","Carnivora","Ailuridae","Canine morbillivirus","Mononegavirales",NA,NA,"Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailurus fulgens","Canine distemper","PCR"
"Ailurus fulgens","Mammalia","Carnivora","Ailuridae","Carnivore protoparvovirus 1",NA,2006,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Ailurus fulgens","Carnivore protoparvovirus 1","Isolation"
"Ailurus fulgens","Mammalia","Carnivora","Ailuridae","Cowpox virus","Chitovirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailurus fulgens","Cowpox","PCR"
"Ailurus fulgens","Mammalia","Carnivora","Ailuridae","Cowpox virus","Chitovirales",2009,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Ailurus fulgens","Cowpox","Isolation"
"Ailurus fulgens","Mammalia","Carnivora","Ailuridae","Carnivore protoparvovirus 1","Piccovirales",2007,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Ailurus fulgens","Feline panleukopenia","PCR"
"Ailurus fulgens","Mammalia","Carnivora","Ailuridae","West Nile virus","Amarillovirales",2012,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Ailurus fulgens","West nile","Antibodies"
"Arctocephalus australis","Mammalia","Carnivora","Otariidae","Influenza A virus","Articulavirales",2009,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Arctocephalus australis","A influenza a","Serology"
"Arctocephalus australis","Mammalia","Carnivora","Otariidae","Influenza A virus","Articulavirales",2009,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Arctocephalus australis","Influenza a","Antibodies"
"Arctocephalus australis","Mammalia","Carnivora","Otariidae","Influenza A virus","Articulavirales",2009,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Arctocephalus australis","Influenza a","Antibodies"
"Arctocephalus australis","Mammalia","Carnivora","Otariidae","Influenza B virus","Articulavirales",2009,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Arctocephalus australis","B influenza b","Serology"
"Arctocephalus australis","Mammalia","Carnivora","Otariidae","Influenza B virus","Articulavirales",2009,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Arctocephalus australis","Influenza b","Antibodies"
"Arctocephalus australis","Mammalia","Carnivora","Otariidae","Sakobuvirus a",NA,2016,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Arctocephalus australis","Sakobuvirus a","PCR"
"Arctocephalus forsteri","Mammalia","Carnivora","Otariidae","Phocine morbillivirus","Mononegavirales",2014,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Arctocephalus forsteri","Phocine distemper","Antibodies"
"Arctocephalus galapagoensis","Mammalia","Carnivora","Otariidae","Mammalian orthoreovirus",NA,2009,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Arctocephalus galapagoensis","Mammalian orthoreovirus","Serology"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Lagos bat lyssavirus","Mononegavirales",2007,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Atilax paludinosus","Lagos bat","CargoCarrier"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Lagos bat lyssavirus","Mononegavirales",2008,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Atilax paludinosus","Lagos bat","PCR"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Lagos bat lyssavirus","Mononegavirales",2006,"Author","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Atilax paludinosus","Lagos bat lyssavirus","Isolation"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Rabies",NA,2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Atilax paludinosus","Rabies","PCR"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Rabies",NA,2010,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Atilax paludinosus","Rabies","PCR"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Rabies",NA,2013,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Atilax paludinosus","Rabies","PCR"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Rabies",NA,2007,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Atilax paludinosus","Rabies lyssavirus","Serology"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Rabies",NA,2010,"Author","HP3","Olival et al. 2017 Nature","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Atilax paludinosus","Rabies","PCR"
"Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Rabies",NA,NA,NA,"Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Atilax paludinosus","Rabies lyssavirus","Isolation"
"Bassaricyon gabbii","Mammalia","Carnivora","Procyonidae","Indiana vesiculovirus","Mononegavirales",1969,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Bassaricyon gabbii","Vesicular stomatitis indiana","plaque reduction neutralization"
"Bassariscus astutus","Mammalia","Carnivora","Procyonidae","Carnivore protoparvovirus 1",NA,2005,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Bassariscus astutus","Carnivore protoparvovirus 1","Serology"
"Bassariscus astutus","Mammalia","Carnivora","Procyonidae","Rabies",NA,2012,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Bassariscus astutus","Rabies","PCR"
"Bassariscus astutus","Mammalia","Carnivora","Procyonidae","Rabies",NA,2005,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Bassariscus astutus","Rabies lyssavirus","Serology"
"Bassariscus astutus","Mammalia","Carnivora","Procyonidae","Rabies",NA,2003,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Bassariscus astutus","Rabies lyssavirus","Isolation"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Influenza A virus","Articulavirales",1976,NA,"Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Callorhinus ursinus","Influenza a","Antibodies"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Phocid alphaherpesvirus 1","Herpesvirales",1997,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Callorhinus ursinus","Phocid alphaherpesvirus 1","Antibodies"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Phocid gammaherpesvirus 2","Herpesvirales",1997,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Callorhinus ursinus","Phocid gammaherpesvirus 2","Antibodies"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Tyuleniy virus","Amarillovirales",1972,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Callorhinus ursinus","Tyuleniy","Antibodies"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Vesicular exanthema of swine virus","Picornavirales",1998,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Callorhinus ursinus","Vesicular exanthema of swine","CargoCarrier"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Vesicular exanthema of swine virus","Picornavirales",1986,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Callorhinus ursinus","Vesicular exanthema of swine","CargoCarrier"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Vesicular exanthema of swine virus","Picornavirales",1980,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Callorhinus ursinus","Vesicular exanthema of swine","CargoCarrier"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Vesicular exanthema of swine virus","Picornavirales",1978,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Callorhinus ursinus","Vesicular exanthema of swine","CargoCarrier"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Vesicular exanthema of swine virus","Picornavirales",1977,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Callorhinus ursinus","Vesicular exanthema of swine","CargoCarrier"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","Vesicular exanthema of swine virus","Picornavirales",1998,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Callorhinus ursinus","Vesicular exanthema of swine","Isolation"
"Canis adustus","Mammalia","Carnivora","Canidae","African horse sickness virus","Reovirales",1995,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis adustus","African horse sickness","bcELISA"
"Canis adustus","Mammalia","Carnivora","Canidae","Aichivirus A","Picornavirales",2015,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Canis adustus","Aichivirus a","PCR"
"Canis adustus","Mammalia","Carnivora","Canidae","Bluetongue virus","Reovirales",1995,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis adustus","Bluetongue","ELISA, SNT"
"Canis adustus","Mammalia","Carnivora","Canidae","Canine morbillivirus","Mononegavirales",1994,"Author","GMPD2","Stephens et al. 2017 Ecology","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Canis adustus","Canine distemper","DirectBlood"
"Canis adustus","Mammalia","Carnivora","Canidae","Canine morbillivirus","Mononegavirales",1994,"Author","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis adustus","Canine distemper","Antibodies"
"Canis adustus","Mammalia","Carnivora","Canidae","Canine mastadenovirus a",NA,1999,"Author","GMPD2","Stephens et al. 2017 Ecology","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Canis adustus","Canine mastadenovirus a","DirectBlood"
"Canis adustus","Mammalia","Carnivora","Canidae","Canine mastadenovirus a",NA,2000,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis adustus","Canine mastadenovirus a","Antibodies"
"Canis adustus","Mammalia","Carnivora","Canidae","Carnivore protoparvovirus 1",NA,1994,"Author","GMPD2","Stephens et al. 2017 Ecology","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Canis adustus","Carnivore protoparvovirus 1","DirectBlood"
"Canis adustus","Mammalia","Carnivora","Canidae","Carnivore protoparvovirus 1",NA,1999,"Author","GMPD2","Stephens et al. 2017 Ecology","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Canis adustus","Carnivore protoparvovirus 1","DirectBlood"
"Canis adustus","Mammalia","Carnivora","Canidae","Carnivore protoparvovirus 1",NA,1980,"Author","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis adustus","Carnivore protoparvovirus 1","Antibodies"
"Canis adustus","Mammalia","Carnivora","Canidae","Rabies",NA,2009,"Author","GMPD2","Stephens et al. 2017 Ecology","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis adustus","Rabies lyssavirus","Serology"
"Canis adustus","Mammalia","Carnivora","Canidae","Rabies",NA,2003,"Author","HP3","Olival et al. 2017 Nature","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Canis adustus","Rabies","Isolation"
"Canis adustus","Mammalia","Carnivora","Canidae","Rabies",NA,2008,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis adustus","Rabies lyssavirus","Antibodies"
"Canis aureus","Mammalia","Carnivora","Canidae","Aichivirus A","Picornavirales",2015,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Canis aureus","Aichivirus a","PCR"
"Canis aureus","Mammalia","Carnivora","Canidae","Bluetongue virus","Reovirales",1995,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Canis aureus","Bluetongue","ELISA, SNT"
"Canis aureus","Mammalia","Carnivora","Canidae","Canine morbillivirus","Mononegavirales",2001,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Canis aureus","Canine distemper","PCR"
"Canis aureus","Mammalia","Carnivora","Canidae","Carnivore protoparvovirus 1",NA,1994,"Author","GMPD2","Stephens et al. 2017 Ecology","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Canis aureus","Carnivore protoparvovirus 1","DirectBlood"
