 ,,
28-Dec-20,,
,,
Tabs,Columns,Explanation
,authoritySpeciesYear,species authority: year that author first described the species
,authorityParentheses,0 for no parentheses around authority; 1 for parentheses around authority
,originalNameCombination,the name combination for each species as it appears in the original description
,authoritySpeciesCitation,"full literature citation of the authority publication as well as the page in which the name either first appears (in older publications, or when an obvious description is unavailable) or where the obvious description of the species begins; citations for papers written in languages other than English are writen in the language in which they appear with the exception of non-latanic lettering (e.g., Chinese, Japanese, Vietnamese), in which case the citation is translated to English and a disclaimer is added in brackets after the citations page number (e.g., [original in Chinese]); the citation is in APA format in concordance with the following examples; journal publication - García, F. J., Sánchez-Hernández, J., & Semedo, T. B. (2014). Descripción de una nueva especie de comadrejita ratona del género Marmosops Matschie, 1916 (Didelphimorphia, Didelphidae). Therya, 5(3), 704. doi: 10.12933/therya-14-209 (DOI when available for recent papers); book - Linneaus, C. von. (1758). Systema Naturae. Regnum Animale. 10th Ed. Laurentius Salvius, Stockholm, Sweden, 1, 54.; chapter/designated authorship within a book/journal - Handley Jr., C. O. & Gordon, L. K. (1979). New species of mammals from northern South America: mouse opossum, genus Marmosa Gray. In J. F. Eisenberg (ed.). Vertebrate ecology in the Northern Neotropics. Smithsonian Institution Press, Washington, DC, USA, 68."
,authoritySpeciesLink,hyperlink to that publication listed under the 'authoritySpeciesCitation' column or the journals page for the abstract for publications without open access
,holotypeVoucher,"museum number of the holotype, as gleaned from museum databases or original publication"
,typeLocality,"geographic locality of where the holotype was collected or observed; as published with edited place names in CMW 2020 and matched to MDD species, then updated to the currently recognized taxonomy"
,nominalNames,"all nominal specific epithets included under the current definition of the pertinent species including the authority and year with a comma and in parentheses when originally named in a different genus (O. Thomas, 1900); this includes the current name of the species and all nominal senior and junior synonyms, but not subsequent misspelling, earlier spellings under different genera, or name combinations; listed in the style of MSW3 with authorities formated in the same way as the 'authoritySpeciesAuthor' column; if a name is a nomen nudum, nomen dubium, nomen oblitum, or nomen inquirendum, it is listed after the authority in brackets ([nomen nudum]); if a name was preoccupied, the name that preoccupies it is mentioned in brackets after the authority ([preoccupied by pallidus, Thomas, 1899, a synonym of Caluromys derbianus]]); also noted are changes to gender if the gender of the name is changed to match the genus in which the species occurs."
,taxonomyNotes,notes by MDD staff upon making taxonomic changes -- separated by semicolons (;)
,taxonomyNotesCitation,evidence citation backing up the changes made by MDD staff; separated by pipies (|)
,biogeographicRealm,biogeographic realm(s) where the species is present (refer to: https://en.wikipedia.org/wiki/Biogeographic_realm#/media/File:Ecozones.svg)
,countryDistribution,"each country in which the species is extant or reintroduced into its native distribution is listed and separated by pipes (|); only the species native distribution or ancient introductions are included, whereas subjectively recently introduced populations in different countries are not included; countries in which the species is uncertainly present or possibly extinct are listed with a question mark (?) following the country; domestic species are listed as ""Domesticated""; for fully extinct species, the distribution reflects the species distribution in the last 500 years (although this is somewhat subjective as well); for marine species, the countries in which the species is found along the coastline or in inland rivers are listed; when an 'and' is present within the countries name, it is listed using the ampersand (&); dependencies are listed when geographically distant from there dependent country (see list below for specific examples); there are a number of city states and minor territories that are not included separately since most distributional data does not account for these regions, these include Andorra, Monaco, San Marino, the Vatican, Gibralter, Saint Pierre & Miquelon, and any nearby islands or exclaves that are geographically close to the primary country or territory; the follwing is a list of the countries, denpendencies, and territories listed as well as the spelling used for each: Greenland|Alaska|Canada|United States|Bermuda|Mexico|Guatemala|Belize|El Salvador|Honduras|Nicaragua|Costa Rico|Panama|Bahamas|Cuba|Jamaica|Haiti|Dominican Republic|Cayman Islands|Puerto Rica|United States Virgin Islands|British Virgin Islands|Turks & Caicos|Anguilla|Saint Martin|Saba|Saint Barthélemy|Montserrat|Martinique|Guadeloupe|Sint Eustatius|Saint Lucia|Saint Vincent & the Grenadines|Saint Kitts & Nevis|Saint Lucia|Grenada|Barbados|Antigua & Barbuda|Dominica|Aruba|Bonaire|Curaçao|Trinidad & Tobago|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Galapagos|Peru|Brazil|Bolivia|Chile|Argentina|Falkland Islands|Kerguelen Islands|Prince Edward Islands|South Georgia & the South Sandwich Islands|Saint Helena|Iceland|Norway|Sweden|Finland|Ireland|United Kingdom|Portugal|Spain|France|Belgium|Netherlands|Luxembourg|Germany|Denmark|Switzerland|Liechtenstein|Italy|Malta|Austria|Hungary|Slovakia|Czech Republic|Slovenia|Croatia|Bosnia & Herzegovina|Serbia|Kosovo|Montenegro|Albania|North Macedonia|Greece|Cyprus|Bulgaria|Romania|Poland|Moldova|Romania|Belarus|Lithuania|Latvia|Estonia|Russia|Georgia|Armenia|Azerbaijan|Turkey|Syria|Lebanon|Israel|Palestine|Jordan|Saudi Arabia|Qatar|Bahrain|Oman|Yemen|Kuwait|Iraq|Iran|Turkmenistan|Uzbekistan|Kazakhstan|Tajikistan|Kyrgyzstan|Afghanistan|Pakistan|Mongolia|China|India|Nepal|Bhutan|Bangladesh|Sri Lanka|Maldives|North Korea|South Korea|Japan|Taiwan|Vietnam|Laos|Cambodia|Myanmar|Thailand|Malaysia|Singapore|Andaman Islands|Nicobar Islands|Christmas Island|Indonesia|Brunei|Philippines|East Timor|Papua New Guinea|Solomon Islands|Australia|New Zealand|Micronesia|Fiji|Kiribati|Marshall Islands|Nauru|Palau|Samoa|Tonga|Tuvalu|Vanuatu|Cook Islands|Niue|American Samoa|Easter Island|French Polynesia|Guam|Hawai'i|New Caledonia|Norfolk Island|Northern Mariana Islands|Pitcairn|Tokelau|Wallis & Futuna|Canary Islands|Azores|Madeira|Cabo Verde|Morocco|Algeria|Tunisia|Libya|Egypt|Mali|Mauritania|Senegal|Gambia|Guinea-Bissau|Guinea|Sierra Leone|Liberia|Burkina Faso|Ivory Coast|Ghana|Togo|Benin|Niger|Nigeria|Chad|Central African Republic|Cameroon|Equatorial Guinea|Sao Tome & Principe|Gabon|Republic of the Congo|Democratic Republic of the Congo|Sudan|South Sudan|Eritrea|Djibouti|Ethiopia|Somalia|Kenya|Uganda|Tanzania|Rwanda|Burundi|Angola|Namibia|Zambia|Malawi|Mozambique|Zimbabwe|Botswana|South Africa|Eswatini|Lesotho|Seychelles|Comoros|Mauritius|Mayotte|Reunion|Madagascar|Antarctica"
,iucnStatus,"IUCN conservation statuses as given in CMW 2020 (from IUCN 2020-2) and matched to MDD species, then updated to the currently recognized taxonomy ('NA' means not yet assessed by the IUCN; 19 domestic species are also not evaluated; otherwise the standard IUCN status acronyms are used)"
,extinct,"0 = extant, 1 = extinct; species has gone entirely extinct or is expected to have become extinct in the last ~500 years (similar criterion as used by IUCN)"
,domestic,"0 = species is wild; 1 = species is domesticated; domestic species are treated as distinct entities for politicaly/conservation purposes here for species with ancient domestication history (19 species in total, including Homo sapiens); this arrangement follows guidelines from the following publication - Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
,flagged,"0 = valid, not flagged; 1 = flagged as taxonomically questionable"
,CMW_sciName,unique combination of taxonomic genus and specific epithet with an underscore connecting them -- from the Illustrated Checklist of the Mammals of the World (CMW)
,diffSinceCMW,0 = species present in CMW taxonomy; 1 = species new since CMW 2020
,MSW3_matchtype,category of automated or manual matching to the third edition of Mammals Species of the World (MSW3) scientific names
,MSW3_sciName,scientific name as matched to the MSW3 taxonomy
,diffSinceMSW3,0 = species present in MSW3 taxonomy; 1 = species is new since MSW3 cutoff of ~2004
