VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,PathogenType
bronchonema magna,,FALSE,bronchonema magna,,,,,helminth
brugia beaveri,,FALSE,brugia beaveri,,,,,helminth
buckleyenterobius sp.,,FALSE,buckleyenterobius sp.,,,,,helminth
bunostomum sp.,,FALSE,bunostomum sp.,,,,,helminth
calicophoron sp.,,FALSE,calicophoron sp.,,,,,helminth
callistoura blanci,,FALSE,callistoura blanci,,,,,helminth
callistoura brygooi,,FALSE,callistoura brygooi,,,,,helminth
callistoura sp.,,FALSE,callistoura sp.,,,,,helminth
camelostrongylus harrisi,,FALSE,camelostrongylus harrisi,,,,,helminth
camelostrongylus sp.,,FALSE,camelostrongylus sp.,,,,,helminth
capillaria bilobata,,FALSE,capillaria bilobata,,,,,helminth
capillaria bovis,,FALSE,capillaria bovis,,,,,helminth
capillaria brochieri,,FALSE,capillaria brochieri,,,,,helminth
capillaria garfiai,,FALSE,capillaria garfiai,,,,,helminth
capillaria mucronata,,FALSE,capillaria mucronata,,,,,helminth
capillaria mustelorum,,FALSE,capillaria mustelorum,,,,,helminth
capillaria myoxinitelae,,FALSE,capillaria myoxinitelae,,,,,helminth
capillaria procyonis,,FALSE,capillaria procyonis,,,,,helminth
capillaria sp.,,FALSE,capillaria sp.,,,,,helminth
capreocaulus capreoli,,FALSE,capreocaulus capreoli,,,,,helminth
cardiofilaria darwisi,,FALSE,cardiofilaria darwisi,,,,,helminth
cardiofilaria sp.,,FALSE,cardiofilaria sp.,,,,,helminth
centrocestus armatus,,FALSE,centrocestus armatus,,,,,helminth
centrorhynchus bazaleticus,,FALSE,centrorhynchus bazaleticus,,,,,helminth
centrorhynchus elongatus,,FALSE,centrorhynchus elongatus,,,,,helminth
centrorhynchus sp.,,FALSE,centrorhynchus sp.,,,,,helminth
centrorhynchus teres,,FALSE,centrorhynchus teres,,,,,helminth
centrorhynchus undulatus,,FALSE,centrorhynchus undulatus,,,,,helminth
ceratospira opthalmica,,FALSE,ceratospira opthalmica,,,,,helminth
cercogylus africanus,,FALSE,cercogylus africanus,,,,,helminth
cercopithifilaria degraaffi,,FALSE,cercopithifilaria degraaffi,,,,,helminth
cercopithifilaria eberhardi,,FALSE,cercopithifilaria eberhardi,,,,,helminth
cercopithifilaria kenyensis,,FALSE,cercopithifilaria kenyensis,,,,,helminth
cercopithifilaria narokensis,,FALSE,cercopithifilaria narokensis,,,,,helminth
cercopithifilaria verveti,,FALSE,cercopithifilaria verveti,,,,,helminth
chabertia sp.,,FALSE,chabertia sp.,,,,,helminth
chitwoodspirura sp.,,FALSE,chitwoodspirura sp.,,,,,helminth
chitwoodspirura wehri,,FALSE,chitwoodspirura wehri,,,,,helminth
chlamydonema tumefaciens,,FALSE,chlamydonema tumefaciens,,,,,helminth
citellinema sp.,,FALSE,citellinema sp.,,,,,helminth
colobenterobius colobis,,FALSE,colobenterobius colobis,,,,,helminth
colobenterobius entellus,,FALSE,colobenterobius entellus,,,,,helminth
colobenterobius guerezae,,FALSE,colobenterobius guerezae,,,,,helminth
colobenterobius inglisi,,FALSE,colobenterobius inglisi,,,,,helminth
colobenterobius longispiculum,,FALSE,colobenterobius longispiculum,,,,,helminth
colobenterobius paraguerezae,,FALSE,colobenterobius paraguerezae,,,,,helminth
colobenterobius pesteri,,FALSE,colobenterobius pesteri,,,,,helminth
colobenterobius presbytis,,FALSE,colobenterobius presbytis,,,,,helminth
colobenterobius sp.,,FALSE,colobenterobius sp.,,,,,helminth
colobenterobius zakiri,,FALSE,colobenterobius zakiri,,,,,helminth
colobostrongylus strongi,,FALSE,colobostrongylus strongi,,,,,helminth
contracaecum rodhaini,,FALSE,contracaecum rodhaini,,,,,helminth
controrchis sp.,,FALSE,controrchis sp.,,,,,helminth
cooperia acutispiculum,,FALSE,cooperia acutispiculum,,,,,helminth
cooperia connochaeti,,FALSE,cooperia connochaeti,,,,,helminth
cooperia hungi,,FALSE,cooperia hungi,,,,,helminth
cooperia neitzi,,FALSE,cooperia neitzi,,,,,helminth
cooperia pigachei,,FALSE,cooperia pigachei,,,,,helminth
cooperia rotundispiculum,,FALSE,cooperia rotundispiculum,,,,,helminth
cooperia sp.,,FALSE,cooperia sp.,,,,,helminth
cooperia verrucosa,,FALSE,cooperia verrucosa,,,,,helminth
cooperia yoshidai,,FALSE,cooperia yoshidai,,,,,helminth
cooperioides antidorca,,FALSE,cooperioides antidorca,,,,,helminth
cooperioides hamiltoni,,FALSE,cooperioides hamiltoni,,,,,helminth
cooperioides hepaticae,,FALSE,cooperioides hepaticae,,,,,helminth
cooperoides sp.,,FALSE,cooperoides sp.,,,,,helminth
cordophilus sagittus,,FALSE,cordophilus sagittus,,,,,helminth
corynosoma hadweni,,FALSE,corynosoma hadweni,,,,,helminth
corynosoma reductum,,FALSE,corynosoma reductum,,,,,helminth
corynosoma sp.,,FALSE,corynosoma sp.,,,,,helminth
cosmocephalus sp.,,FALSE,cosmocephalus sp.,,,,,helminth
cotylophoron indicum,,FALSE,cotylophoron indicum,,,,,helminth
cotylophoron jacksoni,,FALSE,cotylophoron jacksoni,,,,,helminth
cotylophoron macrosphinctris,,FALSE,cotylophoron macrosphinctris,,,,,helminth
cotylophoron sp.,,FALSE,cotylophoron sp.,,,,,helminth
courduriella courduriera,,FALSE,courduriella courduriera,,,,,helminth
crenosoma melesi,,FALSE,crenosoma melesi,,,,,helminth
crenosoma petrowi,,FALSE,crenosoma petrowi,,,,,helminth
crenosoma sp.,,FALSE,crenosoma sp.,,,,,helminth
crenosoma taiga,,FALSE,crenosoma taiga,,,,,helminth
crenosoma zederi,,FALSE,crenosoma zederi,,,,,helminth
crossocephalus viviparus,,FALSE,crossocephalus viviparus,,,,,helminth
cryptocotyle jejunum,,FALSE,cryptocotyle jejunum,,,,,helminth
cryptocotyle sp.,,FALSE,cryptocotyle sp.,,,,,helminth
cyathospirura chevreuxi,,FALSE,cyathospirura chevreuxi,,,,,helminth
cyathospirura sp.,,FALSE,cyathospirura sp.,,,,,helminth
cyathostomum alveatum,,FALSE,cyathostomum alveatum,,,,,helminth
cyathostomum montgomeryi,,FALSE,cyathostomum montgomeryi,,,,,helminth
cyathostomum sp.,,FALSE,cyathostomum sp.,,,,,helminth
cylicocyclus asini,,FALSE,cylicocyclus asini,,,,,helminth
cylicocyclus gyalocephaloides,,FALSE,cylicocyclus gyalocephaloides,,,,,helminth
cylicocyclus sp.,,FALSE,cylicocyclus sp.,,,,,helminth
cylicocyclus triramosus,,FALSE,cylicocyclus triramosus,,,,,helminth
cylicodontophorus reineckei,,FALSE,cylicodontophorus reineckei,,,,,helminth
cylicostephanus asymetricus,,FALSE,cylicostephanus asymetricus,,,,,helminth
cylicostephanus longiconus,,FALSE,cylicostephanus longiconus,,,,,helminth
cylindropharynx intermedia,,FALSE,cylindropharynx intermedia,,,,,helminth
cylindropharynx sp.,,FALSE,cylindropharynx sp.,,,,,helminth
cyrnea sp.,,FALSE,cyrnea sp.,,,,,helminth
cystocaulus sp.,,FALSE,cystocaulus sp.,,,,,helminth
daubneya oldi,,FALSE,daubneya oldi,,,,,helminth
dermatoxys veligera,,FALSE,dermatoxys veligera,,,,,helminth
diceronema versterae,,FALSE,diceronema versterae,,,,,helminth
dicrocoelium colobusicola,,FALSE,dicrocoelium colobusicola,,,,,helminth
dicrocoelium sp.,,FALSE,dicrocoelium sp.,,,,,helminth
didelphonema longispiculata,,FALSE,didelphonema longispiculata,,,,,helminth
dioctophyma renale,,FALSE,dioctophyma renale,,,,,helminth
dipetalonema barbascalensis,,FALSE,dipetalonema barbascalensis,,,,,helminth
dipetalonema elegans,,FALSE,dipetalonema elegans,,,,,helminth
dipetalonema mephitis,,FALSE,dipetalonema mephitis,,,,,helminth
dipetalonema obtusa,,FALSE,dipetalonema obtusa,,,,,helminth
dipetalonema parvum,,FALSE,dipetalonema parvum,,,,,helminth
dipetalonema petteri,,FALSE,dipetalonema petteri,,,,,helminth
dipetalonema rodhaini,,FALSE,dipetalonema rodhaini,,,,,helminth
dipetalonema sp.,,FALSE,dipetalonema sp.,,,,,helminth
dipetalonema witei,,FALSE,dipetalonema witei,,,,,helminth
diphyllobothrium fayi,,FALSE,diphyllobothrium fayi,,,,,helminth
diphyllobothrium medium,,FALSE,diphyllobothrium medium,,,,,helminth
diphyllobothrium sp.,,FALSE,diphyllobothrium sp.,,,,,helminth
diplopylidium monoophorum,,FALSE,diplopylidium monoophorum,,,,,helminth
diplopylidium sp.,,FALSE,diplopylidium sp.,,,,,helminth
dipylidium sp.,,FALSE,dipylidium sp.,,,,,helminth
dirofilaria aethiops,,FALSE,dirofilaria aethiops,,,,,helminth
dirofilaria corynodes,,FALSE,dirofilaria corynodes,,,,,helminth
dirofilaria macacae,,FALSE,dirofilaria macacae,,,,,helminth
dirofilaria magnilarvatum,,FALSE,dirofilaria magnilarvatum,,,,,helminth
dirofilaria schoutedeni,,FALSE,dirofilaria schoutedeni,,,,,helminth
dirofilaria tenuis,,FALSE,dirofilaria tenuis,,,,,helminth
dracunculus sp.,,FALSE,dracunculus sp.,,,,,helminth
draschia megastoma,,FALSE,draschia megastoma,,,,,helminth
draschia sp.,,FALSE,draschia sp.,,,,,helminth
echinochasmus perfoliatus,,FALSE,echinochasmus perfoliatus,,,,,helminth
echinochasmus sp.,,FALSE,echinochasmus sp.,,,,,helminth
echinococcus sibiricensis,,FALSE,echinococcus sibiricensis,,,,,helminth
echinococcus sp.,,FALSE,echinococcus sp.,,,,,helminth
elaeophora sagitta,,FALSE,elaeophora sagitta,,,,,helminth
elaeophora sp.,,FALSE,elaeophora sp.,,,,,helminth
elaphostrongylus sp.,,FALSE,elaphostrongylus sp.,,,,,helminth
enterobius bipapillatus,,FALSE,enterobius bipapillatus,,,,,helminth
enterobius brevicauda,,FALSE,enterobius brevicauda,,,,,helminth
enterobius callithricis,,FALSE,enterobius callithricis,,,,,helminth
enterobius gregorii,,FALSE,enterobius gregorii,,,,,helminth
enterobius lerouxi,,FALSE,enterobius lerouxi,,,,,helminth
enterobius sp.,,FALSE,enterobius sp.,,,,,helminth
eucoleus schvalovoj,,FALSE,eucoleus schvalovoj,,,,,helminth
eucyathostomum sp.,,FALSE,eucyathostomum sp.,,,,,helminth
eucyathostomum webbi,,FALSE,eucyathostomum webbi,,,,,helminth
euparadistomum cercopitheci,,FALSE,euparadistomum cercopitheci,,,,,helminth
euparyphium beaveri,,FALSE,euparyphium beaveri,,,,,helminth
euparyphium inermo,,FALSE,euparyphium inermo,,,,,helminth
euparyphium sp.,,FALSE,euparyphium sp.,,,,,helminth
euryhelmis pacifica,,FALSE,euryhelmis pacifica,,,,,helminth
euryhelmis squamula,,FALSE,euryhelmis squamula,,,,,helminth
eurytrema procyonis,,FALSE,eurytrema procyonis,,,,,helminth
eurytrema sp.,,FALSE,eurytrema sp.,,,,,helminth
eustrongylides sp.,,FALSE,eustrongylides sp.,,,,,helminth
fasciolopsis sp.,,FALSE,fasciolopsis sp.,,,,,helminth
fibricola cartera,,FALSE,fibricola cartera,,,,,helminth
fibricola cratera,,FALSE,fibricola cratera,,,,,helminth
fibricola seoulensis,,FALSE,fibricola seoulensis,,,,,helminth
fibricola texensis,,FALSE,fibricola texensis,,,,,helminth
filaria sp.,,FALSE,filaria sp.,,,,,helminth
filariopsis arator,,FALSE,filariopsis arator,,,,,helminth
filariopsis barretoi,,FALSE,filariopsis barretoi,,,,,helminth
filariopsis cebuellaa,,FALSE,filariopsis cebuellaa,,,,,helminth
filariopsis gordius,,FALSE,filariopsis gordius,,,,,helminth
filariopsis usper,,FALSE,filariopsis usper,,,,,helminth
filaroides barretoi,,FALSE,filaroides barretoi,,,,,helminth
filaroides bronchialis,,FALSE,filaroides bronchialis,,,,,helminth
filaroides gordius,,FALSE,filaroides gordius,,,,,helminth
filaroides hirthi,,FALSE,filaroides hirthi,,,,,helminth
filaroides hispidus,,FALSE,filaroides hispidus,,,,,helminth
filaroides krascheninnikovi,,FALSE,filaroides krascheninnikovi,,,,,helminth
filaroides milksi,,FALSE,filaroides milksi,,,,,helminth
filaroides osleri,,FALSE,filaroides osleri,,,,,helminth
filaroides sp.,,FALSE,filaroides sp.,,,,,helminth
gaigeria pachyscelis,,FALSE,gaigeria pachyscelis,,,,,helminth
gaigeria sp.,,FALSE,gaigeria sp.,,,,,helminth
galactosomum stelleri,,FALSE,galactosomum stelleri,,,,,helminth
gastrodiscoides sp.,,FALSE,gastrodiscoides sp.,,,,,helminth
gastrodiscus aegyptiacus,,FALSE,gastrodiscus aegyptiacus,,,,,helminth
gazellostrongylus lerouxi,,FALSE,gazellostrongylus lerouxi,,,,,helminth
gigantorhynchus sp.,,FALSE,gigantorhynchus sp.,,,,,helminth
globocephalus samoensis,,FALSE,globocephalus samoensis,,,,,helminth
globocephalus sp.,,FALSE,globocephalus sp.,,,,,helminth
globocephalus urosubulatus,,FALSE,globocephalus urosubulatus,,,,,helminth
gnathastoma sp.,,FALSE,gnathastoma sp.,,,,,helminth
gnathostoma procyonis,,FALSE,gnathostoma procyonis,,,,,helminth
gongylonema macrogubernaculum,,FALSE,gongylonema macrogubernaculum,,,,,helminth
gongylonema sp.,,FALSE,gongylonema sp.,,,,,helminth
gongylonema verrucosum,,FALSE,gongylonema verrucosum,,,,,helminth
gongylonemoides saimirisi,,FALSE,gongylonemoides saimirisi,,,,,helminth
graphidiodes berlai,,FALSE,graphidiodes berlai,,,,,helminth
gyrosoma singularis,,FALSE,gyrosoma singularis,,,,,helminth
habronema malani,,FALSE,habronema malani,,,,,helminth
habronema sp.,,FALSE,habronema sp.,,,,,helminth
habronema tomasi,,FALSE,habronema tomasi,,,,,helminth
habronema zebrae,,FALSE,habronema zebrae,,,,,helminth
haemonchus horaki,,FALSE,haemonchus horaki,,,,,helminth
haemonchus krugeri,,FALSE,haemonchus krugeri,,,,,helminth
haemonchus mitchelli,,FALSE,haemonchus mitchelli,,,,,helminth
haemonchus sp.,,FALSE,haemonchus sp.,,,,,helminth
haemonchus vegliai,,FALSE,haemonchus vegliai,,,,,helminth
hapaloxyuris tamarini,,FALSE,hapaloxyuris tamarini,,,,,helminth
hedruris sp.,,FALSE,hedruris sp.,,,,,helminth
hemiechinosoma sp.,,FALSE,hemiechinosoma sp.,,,,,helminth
hymenolepis cebidarum,,FALSE,hymenolepis cebidarum,,,,,helminth
hymenolepis sp.,,FALSE,hymenolepis sp.,,,,,helminth
hyostrongylus kigeziensis,,FALSE,hyostrongylus kigeziensis,,,,,helminth
hyostrongylus sp.,,FALSE,hyostrongylus sp.,,,,,helminth
impalaia nudicollis,,FALSE,impalaia nudicollis,,,,,helminth
impalaia sp.,,FALSE,impalaia sp.,,,,,helminth
impalaia tuberculata,,FALSE,impalaia tuberculata,,,,,helminth
joyeuxiella echinorhynchoides,,FALSE,joyeuxiella echinorhynchoides,,,,,helminth
joyeuxiella sp.,,FALSE,joyeuxiella sp.,,,,,helminth
kiluluma goodeyi,,FALSE,kiluluma goodeyi,,,,,helminth
kiluluma magna,,FALSE,kiluluma magna,,,,,helminth
kiluluma rhinocerotis,,FALSE,kiluluma rhinocerotis,,,,,helminth
lagochilascaris sp.,,FALSE,lagochilascaris sp.,,,,,helminth
leipertrema foxi,,FALSE,leipertrema foxi,,,,,helminth
leipertrema rewelli,,FALSE,leipertrema rewelli,,,,,helminth
lemuricola baltazardi,,FALSE,lemuricola baltazardi,,,,,helminth
lemuricola contagiosus,,FALSE,lemuricola contagiosus,,,,,helminth
lemuricola daubentoniae,,FALSE,lemuricola daubentoniae,,,,,helminth
lemuricola inglisi,,FALSE,lemuricola inglisi,,,,,helminth
lemuricola lemuris,,FALSE,lemuricola lemuris,,,,,helminth
lemuricola microcebi,,FALSE,lemuricola microcebi,,,,,helminth
lemuricola nana,,FALSE,lemuricola nana,,,,,helminth
lemuricola sp.,,FALSE,lemuricola sp.,,,,,helminth
lemuricola trichuroides,,FALSE,lemuricola trichuroides,,,,,helminth
lemurostrongylus residuus,,FALSE,lemurostrongylus residuus,,,,,helminth
lemurostrongylus sp.,,FALSE,lemurostrongylus sp.,,,,,helminth
liorchis scotiae,,FALSE,liorchis scotiae,,,,,helminth
loa papionis,,FALSE,loa papionis,,,,,helminth
loa ugandis,,FALSE,loa ugandis,,,,,helminth
lobatorobius sceleratus,,FALSE,lobatorobius sceleratus,,,,,helminth
longistriata dubia,,FALSE,longistriata dubia,,,,,helminth
longistrongylus albifrontis,,FALSE,longistrongylus albifrontis,,,,,helminth
longistrongylus curvispiculum,,FALSE,longistrongylus curvispiculum,,,,,helminth
longistrongylus meyeri,,FALSE,longistrongylus meyeri,,,,,helminth
longistrongylus namaquensis,,FALSE,longistrongylus namaquensis,,,,,helminth
longistrongylus sabie,,FALSE,longistrongylus sabie,,,,,helminth
longistrongylus schrenki,,FALSE,longistrongylus schrenki,,,,,helminth
longistrongylus sp.,,FALSE,longistrongylus sp.,,,,,helminth
lyperosomum sinuosum,,FALSE,lyperosomum sinuosum,,,,,helminth
macacanema formosana,,FALSE,macacanema formosana,,,,,helminth
macracanthorhynchus catulinus,,FALSE,macracanthorhynchus catulinus,,,,,helminth
macracanthorhynchus sp.,,FALSE,macracanthorhynchus sp.,,,,,helminth
mammomonogamus sp.,,FALSE,mammomonogamus sp.,,,,,helminth
mansonella colombiensis,,FALSE,mansonella colombiensis,,,,,helminth
mansonella gorillae,,FALSE,mansonella gorillae,,,,,helminth
mansonella leopoldi,,FALSE,mansonella leopoldi,,,,,helminth
mansonella llewellyni,,FALSE,mansonella llewellyni,,,,,helminth
mansonella lopeensis,,FALSE,mansonella lopeensis,,,,,helminth
mansonella marmosetae,,FALSE,mansonella marmosetae,,,,,helminth
mansonella mystaxi,,FALSE,mansonella mystaxi,,,,,helminth
mansonella papionis,,FALSE,mansonella papionis,,,,,helminth
mansonella peruviana,,FALSE,mansonella peruviana,,,,,helminth
mansonella saimiri,,FALSE,mansonella saimiri,,,,,helminth
mansonella streptocercum,,FALSE,mansonella streptocercum,,,,,helminth
mansonella tamarinae,,FALSE,mansonella tamarinae,,,,,helminth
mansonella vanhoofi,,FALSE,mansonella vanhoofi,,,,,helminth
mansonella wenki,,FALSE,mansonella wenki,,,,,helminth
maritreminoides nettae,,FALSE,maritreminoides nettae,,,,,helminth
maritreminoides sp.,,FALSE,maritreminoides sp.,,,,,helminth
marshallagia sp.,,FALSE,marshallagia sp.,,,,,helminth
mathevotaenia megastoma,,FALSE,mathevotaenia megastoma,,,,,helminth
mathevotaenia mephitis,,FALSE,mathevotaenia mephitis,,,,,helminth
mazamastrongylus pursglovei,,FALSE,mazamastrongylus pursglovei,,,,,helminth
mazamastrongylus sp.,,FALSE,mazamastrongylus sp.,,,,,helminth
mecistocirrus sp.,,FALSE,mecistocirrus sp.,,,,,helminth
mediorhynchus robustus,,FALSE,mediorhynchus robustus,,,,,helminth
megacooperia woodfordi,,FALSE,megacooperia woodfordi,,,,,helminth
meningonema peruzzii,,FALSE,meningonema peruzzii,,,,,helminth
mesocestoides kirbyi,,FALSE,mesocestoides kirbyi,,,,,helminth
mesocestoides paucitesticulus,,FALSE,mesocestoides paucitesticulus,,,,,helminth
mesocestoides sp.,,FALSE,mesocestoides sp.,,,,,helminth
mesocestoides variabilis,,FALSE,mesocestoides variabilis,,,,,helminth
mesostephanus appendiculatoides,,FALSE,mesostephanus appendiculatoides,,,,,helminth
metabronema sp.,,FALSE,metabronema sp.,,,,,helminth
metagonimus sp.,,FALSE,metagonimus sp.,,,,,helminth
metastrongylus sp.,,FALSE,metastrongylus sp.,,,,,helminth
metathelazia californica,,FALSE,metathelazia californica,,,,,helminth
metathelazia sp.,,FALSE,metathelazia sp.,,,,,helminth
metorchis conjunctus,,FALSE,metorchis conjunctus,,,,,helminth
metorchis vulpis,,FALSE,metorchis vulpis,,,,,helminth
microfilaria binucleata,,FALSE,microfilaria binucleata,,,,,helminth
microfilaria panamensis,,FALSE,microfilaria panamensis,,,,,helminth
microfilaria sp.,,FALSE,microfilaria sp.,,,,,helminth
microphallus nicolli,,FALSE,microphallus nicolli,,,,,helminth
microphallus pirum,,FALSE,microphallus pirum,,,,,helminth
molineus barbatus,,FALSE,molineus barbatus,,,,,helminth
molineus elegans,,FALSE,molineus elegans,,,,,helminth
molineus legerae,,FALSE,molineus legerae,,,,,helminth
molineus midas,,FALSE,molineus midas,,,,,helminth
molineus mustelae,,FALSE,molineus mustelae,,,,,helminth
molineus sp.,,FALSE,molineus sp.,,,,,helminth
molineus torulosus,,FALSE,molineus torulosus,,,,,helminth
molineus vexillarius,,FALSE,molineus vexillarius,,,,,helminth
moniezia rugosa,,FALSE,moniezia rugosa,,,,,helminth
