VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
aeromonas hydrophila,644,TRUE,Aeromonas hydrophila,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
tritrichomonas augusta,5725,TRUE,Tritrichomonas augusta,Tritrichomonas,Tritrichomonadidae,Tritrichomonadida,NA
polystoma gallieni,117897,TRUE,Polystoma gallieni,Polystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma nearcticum,140310,TRUE,Polystoma nearcticum,Polystoma,Polystomatidae,Polystomatidea,Monogenea
euryhelmis costaricensis,676601,TRUE,Euryhelmis costaricensis,Euryhelmis,Heterophyidae,Opisthorchiida,Trematoda
polystoma marmorati,152032,TRUE,Polystoma marmorati,Polystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma australis,140307,TRUE,Polystoma australis,Polystoma,Polystomatidae,Polystomatidea,Monogenea
glypthelmins poncedeleoni,317609,TRUE,Glypthelmins poncedeleoni,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
rauschiella tineri,317608,TRUE,Rauschiella tineri,Rauschiella,Plagiorchiidae,Plagiorchiida,Trematoda
bohle iridovirus,10493,TRUE,Frog virus 3,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes
spirometra erinaceieuropaei,99802,TRUE,Spirometra erinaceieuropaei,Spirometra,Diphyllobothriidae,Diphyllobothriidea,Cestoda
parapolystoma bulliense,355640,TRUE,Parapolystoma bulliense,Parapolystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma umthakathi,140305,TRUE,Polystoma umthakathi,Polystoma,Polystomatidae,Polystomatidea,Monogenea
sphyranura oligorchis,117907,TRUE,Sphyranura oligorchis,Sphyranura,Sphyranuridae,Polystomatidea,Monogenea
pseudopolystoma dendriticum,593113,TRUE,Pseudopolystoma dendriticum,Pseudopolystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma pelobatis,152037,TRUE,Polystoma pelobatis,Polystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma fuscus,152034,TRUE,Polystoma fuscus,Polystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma cuvieri,140309,TRUE,Polystoma cuvieri,Polystoma,Polystomatidae,Polystomatidea,Monogenea
glypthelmins pennsylvaniensis,177583,TRUE,Glypthelmins pennsylvaniensis,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
polystoma dawiekoki,338081,TRUE,Polystoma dawiekoki,Polystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma baeri,152042,TRUE,Polystoma baeri,Polystoma,Polystomatidae,Polystomatidea,Monogenea
metapolystoma cachani,581045,TRUE,Metapolystoma cachani,Metapolystoma,Polystomatidae,Polystomatidea,Monogenea
metapolystoma brygoonis,140301,TRUE,Metapolystoma brygoonis,Metapolystoma,Polystomatidae,Polystomatidea,Monogenea
haematoloechus variegatus,99674,TRUE,Haematoloechus variegatus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
opisthioglyphe ranae,99720,TRUE,Opisthioglyphe ranae,Opisthioglyphe,Telorchiidae,Plagiorchiida,Trematoda
haematoloechus complexus,108531,TRUE,Haematoloechus complexus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
haematoloechus varioplexus,168654,TRUE,Haematoloechus varioplexus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
glypthelmins brownorumae,241481,TRUE,Glypthelmins brownorumae,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
elizabethkingia meningoseptica,238,TRUE,Elizabethkingia meningoseptica,Elizabethkingia,Weeksellaceae,Flavobacteriales,Flavobacteriia
glypthelmins quieta,116858,TRUE,Glypthelmins quieta,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
gorgodera amplicava,651028,TRUE,Gorgodera amplicava,Gorgodera,Gorgoderidae,Plagiorchiida,Trematoda
gyrodactylus jennyae,552510,TRUE,Gyrodactylus jennyae,Gyrodactylus,Gyrodactylidae,Gyrodactylidea,Monogenea
haematoloechus breviplexus,183129,TRUE,Haematoloechus breviplexus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
haematoloechus floedae,212222,TRUE,Haematoloechus floedae,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
haematoloechus longiplexus,108529,TRUE,Haematoloechus longiplexus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
haematoloechus parviplexus,201295,TRUE,Haematoloechus parviplexus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
lactococcus lactis,1358,TRUE,Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli
streptococcus iniae,1346,TRUE,Streptococcus iniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
trypanosoma rotatorium,43999,TRUE,Trypanosoma rotatorium,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
sundapolystoma chalconotae,198344,TRUE,Sundapolystoma chalconotae,Sundapolystoma,Polystomatidae,Polystomatidea,Monogenea
gorgoderina simplex,651030,TRUE,Gorgoderina simplex,Gorgoderina,Gorgoderidae,Plagiorchiida,Trematoda
goussia noelleri,586549,TRUE,Goussia noelleri,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
haematoloechus coloradensis,108530,TRUE,Haematoloechus coloradensis,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
amphibiocystidium ranae,265895,TRUE,Amphibiocystidium ranae,Amphibiocystidium,NA,Dermocystida,Ichthyosporea
goussia neglecta,586548,TRUE,Goussia neglecta,Goussia,Eimeriidae,Eucoccidiorida,Conoidasida
hyaloklossia lieberkuehni,162052,TRUE,Hyaloklossia lieberkuehni,Hyaloklossia,Sarcocystidae,Eucoccidiorida,Conoidasida
polystoma combesi,152036,TRUE,Polystoma combesi,Polystoma,Polystomatidae,Polystomatidea,Monogenea
brandesia turgida,232400,TRUE,Brandesia turgida,Brandesia,Pleurogenidae,Plagiorchiida,Trematoda
pleurogenoides medians,177592,TRUE,Pleurogenoides medians,Pleurogenoides,Pleurogenidae,Plagiorchiida,Trematoda
prosotocus confusus,232402,TRUE,Prosotocus confusus,Prosotocus,Pleurogenidae,Plagiorchiida,Trematoda
haplometrana intestinalis,317606,TRUE,Haplometrana intestinalis,Haplometrana,Plagiorchiidae,Plagiorchiida,Trematoda
glypthelmins californiensis,241484,TRUE,Glypthelmins californiensis,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
haematoloechus illimis,108592,TRUE,Haematoloechus illimis,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
haematoloechus macrorchis,212223,TRUE,Haematoloechus macrorchis,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
protoopalina japonica,224198,TRUE,Protoopalina japonica,Protoopalina,Opalinidae,Opalinata,Bigyra
alaria mustelae,669500,TRUE,Alaria mustelae,Alaria,Diplostomidae,Diplostomida,Trematoda
haematoloechus medioplexus,108532,TRUE,Haematoloechus medioplexus,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
ranid herpesvirus 1,85655,TRUE,Ranid herpesvirus 1,Batrachovirus,Alloherpesviridae,Herpesvirales,Herviviricetes
ranid herpesvirus 2,389214,TRUE,Ranid herpesvirus 2,Batrachovirus,Alloherpesviridae,Herpesvirales,Herviviricetes
rhabdias bakeri,357928,TRUE,Rhabdias bakeri,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
rhabdias ranae,357927,TRUE,Rhabdias ranae,Rhabdias,Rhabdiasidae,Rhabditida,Chromadorea
tylodelphys scheuringi,576520,TRUE,Tylodelphys scheuringi,Tylodelphys,Diplostomidae,Diplostomida,Trematoda
diplorchis shilinensis,556882,TRUE,Diplorchis shilinensis,Diplorchis,Polystomatidae,Polystomatidea,Monogenea
candidotrema loossi,232416,TRUE,Candidotrema loossi,Candidotrema,Microphallidae,Plagiorchiida,Trematoda
cephalogonimus retusus,116774,TRUE,Cephalogonimus retusus,Cephalogonimus,Cephalogonimidae,Plagiorchiida,Trematoda
diplodiscus subclavatus,116843,TRUE,Diplodiscus subclavatus,Diplodiscus,Diplodiscidae,Plagiorchiida,Trematoda
gorgodera cygnoides,99733,TRUE,Gorgodera cygnoides,Gorgodera,Gorgoderidae,Plagiorchiida,Trematoda
haematoloechus asper,99743,TRUE,Haematoloechus asper,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
skrjabinoeces similis,116948,TRUE,Skrjabinoeces similis,Skrjabinoeces,Plagiorchiidae,Plagiorchiida,Trematoda
west nile virus,11082,TRUE,West Nile virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
diplorchis ranae,355638,TRUE,Diplorchis ranae,Diplorchis,Polystomatidae,Polystomatidea,Monogenea
apharyngostrigea pipientis,234879,TRUE,Apharyngostrigea pipientis,Apharyngostrigea,Strigeidae,Diplostomida,Trematoda
eimeria ranae,556924,TRUE,Eimeria ranae,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
pleurogenes claviger,99692,TRUE,Pleurogenes claviger,Pleurogenes,Pleurogenidae,Plagiorchiida,Trematoda
polystoma integerrimum,92217,TRUE,Polystoma integerrimum,Polystoma,Polystomatidae,Polystomatidea,Monogenea
glypthelmins tuxtlasensis,241480,TRUE,Glypthelmins tuxtlasensis,Glypthelmins,Plagiorchiidae,Plagiorchiida,Trematoda
haematoloechus danbrooksi,201296,TRUE,Haematoloechus danbrooksi,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
haematoloechus meridionalis,152300,TRUE,Haematoloechus meridionalis,Haematoloechus,Haematoloechidae,Plagiorchiida,Trematoda
pseudosonsinotrema chabaudi,881015,TRUE,Pseudosonsinotrema chabaudi,Pseudosonsinotrema,Pleurogenidae,Plagiorchiida,Trematoda
polystoma indicum,355643,TRUE,Polystoma indicum,Polystoma,Polystomatidae,Polystomatidea,Monogenea
brachycoelium salamandrae,99727,TRUE,Brachycoelium salamandrae,Brachycoelium,Brachycoeliidae,Plagiorchiida,Trematoda
pseudodiplorchis americanus,117901,TRUE,Pseudodiplorchis americanus,Pseudodiplorchis,Polystomatidae,Polystomatidea,Monogenea
eupolystoma vanasi,355639,TRUE,Eupolystoma vanasi,Eupolystoma,Polystomatidae,Polystomatidea,Monogenea
neodiplorchis scaphiopi,198345,TRUE,Neodiplorchis scaphiopi,Neodiplorchis,Polystomatidae,Polystomatidea,Monogenea
polystoma testimagna,140306,TRUE,Polystoma testimagna,Polystoma,Polystomatidae,Polystomatidea,Monogenea
polystoma lopezromani,140308,TRUE,Polystoma lopezromani,Polystoma,Polystomatidae,Polystomatidea,Monogenea
protopolystoma xenopodis,117903,TRUE,Protopolystoma xenopodis,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
cephalochlamys namaquensis,406060,TRUE,Cephalochlamys namaquensis,Cephalochlamys,Cephalochlamydidae,Pseudophyllidea,Cestoda
mycobacterium liflandii,261524,TRUE,Mycobacterium liflandii,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
protopolystoma occidentalis,338083,TRUE,Protopolystoma occidentalis,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
protopolystoma orientalis,444298,TRUE,Protopolystoma orientalis,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
protopolystoma simplicis,444295,TRUE,Protopolystoma simplicis,Protopolystoma,Polystomatidae,Polystomatidea,Monogenea
columbid herpesvirus 1,93386,TRUE,Columbid alphaherpesvirus 1,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
haemoproteus elani,702360,TRUE,Haemoproteus elani,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
leucocytozoon toddi,289426,TRUE,Leucocytozoon toddi,Leucocytozoon,Leucocytozoidae,Haemosporida,Aconoidasida
newcastle disease virus,2560319,TRUE,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
trypanosoma avium,43998,TRUE,Trypanosoma avium,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
influenza a virus,11320,TRUE,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,Articulavirales,Insthoviricetes
haemoproteus sylvae,131376,TRUE,Haemoproteus sylvae,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
plasmodium nucleophilum,131381,TRUE,Plasmodium nucleophilum,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
haemoproteus belopolskyi,379405,TRUE,Haemoproteus belopolskyi,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
haemoproteus payevskyi,379420,TRUE,Haemoproteus payevskyi,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
beak and feather disease virus,77856,TRUE,Beak and feather disease virus,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
gigantobilharzia huronensis,100594,TRUE,Gigantobilharzia huronensis,Gigantobilharzia,Schistosomatidae,Strigeidida,Trematoda
haemoproteus tartakovskyi,707206,TRUE,Haemoproteus tartakovskyi,Parahaemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
haemoproteus enucleator,337236,TRUE,Haemoproteus enucleator,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
choanotaenia infundibulum,227339,TRUE,Choanotaenia infundibulum,Choanotaenia,Dilepididae,Cyclophyllidea,Cestoda
lyruterina nigropunctata,227342,TRUE,Lyruterina nigropunctata,Lyruterina,Paruterinidae,Cyclophyllidea,Cestoda
bagaza virus,64290,TRUE,Bagaza virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
plasmodium parahexamerium,587364,TRUE,Plasmodium parahexamerium,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
avian paramyxovirus 4,2560328,TRUE,Avian paraavulavirus 4,Paraavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
borna disease virus,12455,TRUE,Borna disease virus,NA,Bornaviridae,Mononegavirales,Monjiviricetes
chlamydia psittaci,83554,TRUE,Chlamydia psittaci,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
psittacid herpesvirus 1,50294,TRUE,Psittacid alphaherpesvirus 1,Iltovirus,Herpesviridae,Herpesvirales,Herviviricetes
budgerigar fledgling disease polyomavirus,1891747,TRUE,Aves polyomavirus 1,Gammapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
mycobacterium genavense,36812,TRUE,Mycobacterium genavense,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
avian coronavirus,694014,TRUE,Avian coronavirus,Gammacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
avian paramyxovirus 9,2560326,TRUE,Avian orthoavulavirus 9,Orthoavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
avian metapneumovirus,38525,TRUE,Avian metapneumovirus,Metapneumovirus,Pneumoviridae,Mononegavirales,Monjiviricetes
pseudocorynosoma constrictum,500319,TRUE,Pseudocorynosoma constrictum,Pseudocorynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala
trichobilharzia querquedulae,596247,TRUE,Trichobilharzia querquedulae,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
trichobilharzia regenti,157069,TRUE,Trichobilharzia regenti,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
trichobilharzia szidati,157070,TRUE,Trichobilharzia szidati,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
bilharziella polonica,100590,TRUE,Bilharziella polonica,Bilharziella,Schistosomatidae,Strigeidida,Trematoda
trichobilharzia franki,178317,TRUE,Trichobilharzia franki,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
tetratrichomonas gallinarum,5730,TRUE,Tetratrichomonas gallinarum,Tetratrichomonas,Trichomonadidae,Trichomonadida,NA
escherichia coli,562,TRUE,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
schistogonimus rarus,197550,TRUE,Schistogonimus rarus,Schistogonimus,Prosthogonimidae,Plagiorchiida,Trematoda
giardia intestinalis,5741,TRUE,Giardia intestinalis,Giardia,Hexamitidae,Diplomonadida,NA
haemoproteus vacuolatus,543284,TRUE,Haemoproteus vacuolatus,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
plasmodium globularis,543276,TRUE,Plasmodium globularis,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium multivacuolaris,587366,TRUE,Plasmodium multivacuolaris,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
trypanosoma everetti,158802,TRUE,Trypanosoma everetti,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
southwellina hispida,449650,TRUE,Southwellina hispida,Southwellina,Polymorphidae,Polymorphida,Palaeacanthocephala
lactobacillus psittaci,116089,TRUE,Lactobacillus psittaci,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli
moraxella cuniculi,34061,TRUE,Moraxella cuniculi,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
trichobilharzia brantae,1386343,TRUE,Anserobilharzia brantae,Anserobilharzia,Schistosomatidae,Strigeidida,Trematoda
goose parvovirus,1511895,TRUE,Anseriform dependoparvovirus 1,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
babesia kiwiensis,460163,TRUE,Babesia kiwiensis,Babesia,Babesiidae,Piroplasmida,Aconoidasida
sarcocystis falcatula,32593,TRUE,Sarcocystis falcatula,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
trypanosoma bennetti,71803,TRUE,Trypanosoma bennetti,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
apharyngostrigea cornu,138592,TRUE,Apharyngostrigea cornu,Apharyngostrigea,Strigeidae,Diplostomida,Trematoda
clinostomum phalacrocoracis,593574,TRUE,Clinostomum phalacrocoracis,Clinostomum,Clinostomidae,Strigeidida,Trematoda
plasmodium elongatum,77517,TRUE,Plasmodium elongatum,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
trichobilharzia physellae,596246,TRUE,Trichobilharzia physellae,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
hepatitis e virus,1678143,TRUE,Orthohepevirus A,Orthohepevirus,Hepeviridae,Hepelivirales,Alsuviricetes
giardia psittaci,187323,TRUE,Giardia psittaci,Giardia,Hexamitidae,Diplomonadida,NA
avian paramyxovirus 8,2560318,TRUE,Avian metaavulavirus 8,Metaavulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
helicobacter anseris,375926,TRUE,Helicobacter anseris,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
helicobacter brantae,375927,TRUE,Helicobacter brantae,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
lactobacillus sakei,NA,FALSE,lactobacillus sakei,NA,NA,NA,NA
leucocytozoon ziemanni,195945,TRUE,Leucocytozoon ziemanni,Leucocytozoon,Leucocytozoidae,Haemosporida,Aconoidasida
pseudocorynosoma anatarium,500318,TRUE,Pseudocorynosoma anatarium,Pseudocorynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala
highlands j virus,11024,TRUE,Highlands J virus,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
st. louis encephalitis virus,11080,TRUE,Saint Louis encephalitis virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
encephalitozoon hellem,27973,TRUE,Encephalitozoon hellem,Encephalitozoon,Unikaryonidae,NA,NA
avian orthoreovirus,38170,TRUE,Avian orthoreovirus,Orthoreovirus,Reoviridae,Reovirales,Resentoviricetes
duck adenovirus a,130328,TRUE,Duck atadenovirus A,Atadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
duck circovirus,324685,TRUE,Duck circovirus,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
duck parvovirus,1511895,TRUE,Anseriform dependoparvovirus 1,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
riemerella anatipestifer,34085,TRUE,Riemerella anatipestifer,Riemerella,Weeksellaceae,Flavobacteriales,Flavobacteriia
cyclocoelum mutabile,116783,TRUE,Cyclocoelum mutabile,Cyclocoelum,Cyclocoelidae,Plagiorchiida,Trematoda
borrelia garinii,29519,TRUE,Borreliella garinii,Borreliella,Borreliaceae,Spirochaetales,Spirochaetia
francisella tularensis,263,TRUE,Francisella tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria
plasmodium relictum,85471,TRUE,Plasmodium relictum,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
mycoplasma gallisepticum,2096,TRUE,Mycoplasma gallisepticum,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
bacillus sonorensis,119858,TRUE,Bacillus sonorensis,Bacillus,Bacillaceae,Bacillales,Bacilli
leucocytozoon dubreuili,195947,TRUE,Leucocytozoon dubreuili,Leucocytozoon,Leucocytozoidae,Haemosporida,Aconoidasida
fowlpox virus,10261,TRUE,Fowlpox virus,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
chlamydophila abortus,83555,TRUE,Chlamydia abortus,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
heron hepatitis b virus,28300,TRUE,Heron hepatitis B virus,Avihepadnavirus,Hepadnaviridae,Blubervirales,Revtraviricetes
rhizopus oryzae,64495,TRUE,Rhizopus oryzae,Rhizopus,Rhizopodaceae,Mucorales,Mucoromycetes
cryptosporidium baileyi,27987,TRUE,Cryptosporidium baileyi,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
mycoplasma corogypsi,2106,TRUE,Mycoplasma corogypsi,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
eastern equine encephalitis virus,11021,TRUE,Eastern equine encephalitis virus,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
sarcocystis cornixi,674456,TRUE,Sarcocystis cornixi,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
avibacterium endocarditidis,380674,TRUE,Avibacterium endocarditidis,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
brachylecithum lobatum,232701,TRUE,Brachylecithum lobatum,Brachylecithum,Dicrocoeliidae,Plagiorchiida,Trematoda
haemoproteus danilewskyii,379419,TRUE,Haemoproteus danilewskyii,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
trypanosoma corvi,263005,TRUE,Trypanosoma corvi,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
brachyspira pilosicoli,52584,TRUE,Brachyspira pilosicoli,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
fuhrmannetta malakartis,545389,TRUE,Fuhrmannetta malakartis,Fuhrmannetta,Davaineidae,Cyclophyllidea,Cestoda
gallid herpesvirus 2,10390,TRUE,Gallid alphaherpesvirus 2,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
cryptosporidium parvum,5807,TRUE,Cryptosporidium parvum,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
escherichia albertii,208962,TRUE,Escherichia albertii,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
porrocaecum streperae,62082,TRUE,Porrocaecum streperae,Porrocaecum,Ascarididae,Rhabditida,Chromadorea
syngamus trachea,70241,TRUE,Syngamus trachea,Syngamus,Syngamidae,Strongylida,Chromadorea
plasmodium juxtanucleare,111598,TRUE,Plasmodium juxtanucleare,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium cuculus,215541,TRUE,Plasmodium cuculus,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
haemoproteus majoris,131374,TRUE,Haemoproteus majoris,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
lankesterella valsainensis,373075,TRUE,Lankesterella valsainensis,Lankesterella,Lankesterellidae,Eucoccidiorida,Conoidasida
canarypox virus,44088,TRUE,Canarypox virus,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
chlamydophila pecorum,85991,TRUE,Chlamydia pecorum,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
plasmodium lucens,587365,TRUE,Plasmodium lucens,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium megaglobularis,543282,TRUE,Plasmodium megaglobularis,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
