Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
bartonella vinsonii,bartonella vinsonii,bacteria/rickettsia,1,1,1,1,1,1,bartonellosis,"vector, direct",1,1,louse (pediculus),0,NA,0,NA,NA
baylisascaris procyonis,baylisascaris procyonis,helminth,1,1,1,1,1,1,baylisascariasis,environment,1,0,NA,1,raccoon roundworm infection,1,NA,NA
bertiella mucronata,bertiella mucronata,helminth,1,0,1,1,1,1,bertiella,food,1,0,NA,0,NA,1,,
bertiella studeri,bertiella studeri,helminth,1,0,1,1,1,1,bertiella,food,1,0,NA,0,NA,1,NA,NA
betacoronavirus 1,betacoronavirus 1,virus,1,1,1,1,1,1,middle east respiratory syndrome,"direct, respiratory",1,0,NA,1,middle east respiratory syndrome,0,NA,NA
bhanja,bhanja,virus,1,1,1,1,1,1,bunyaviridae misc,tick,1,0,NA,0,NA,1,NA,NA
blastocystis hominis,blastocystis hominis,protozoa,1,1,1,1,1,1,blastocystis hominis infection,"environment, fecal-oral",0,0,NA,0,NA,1,NA,NA
bolbosoma sp.,bolbosoma sp.,helminth,1,0,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,,
bordetella bronchiseptica,bordetella bronchiseptica,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, South America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe","SE,MX,DE,GB,RU,CN,FR,DK,AR"
borrelia afzelii,borrelia afzelii,bacteria/rickettsia,1,1,1,1,1,1,lyme disease,vector,1,1,"tick (ixodes, amblyomma)",1,lyme disease,0,NA,NA
borrelia burgdorferi,borrelia burgdorferi,bacteria/rickettsia,1,1,1,1,1,1,lyme disease,vector,1,1,"tick (ixodes, amblyomma)",1,lyme disease,1,NA,NA
borrelia garinii,borrelia garinii,bacteria/rickettsia,1,1,1,1,1,1,lyme disease,vector,1,1,"tick (ixodes, amblyomma)",1,lyme disease,0,"Eastern Europe, Northern Europe, Southern Europe, Western Europe, Northern Africa, Central Asia, Eastern Asia, Western Asia","PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,CN,DE,TN,RU,LV,JP,TR,TW,BY,KR,DK,KZ"
borrelia recurrentis,borrelia recurrentis,bacteria/rickettsia,1,0,1,1,1,1,relapsing fever,vector,1,1,"tick (ornithodoros), louse (pediculus)",1,relapsing fever,0,,
brevibacillus brevis,brevibacillus brevis,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, South-eastern Asia, Southern Asia","CN,KR,ID,MY,IN"
brucella abortus,brucella abortus,bacteria/rickettsia,1,1,1,1,1,1,brucellosis ,"food, direct, airborne",1,0,NA,1,brucellosis ,0,NA,NA
brucella melitensis,brucella melitensis,bacteria/rickettsia,1,1,1,1,1,1,brucellosis ,"food, direct, airborne",1,0,NA,0,NA,1,NA,NA
brucella suis,brucella suis,bacteria/rickettsia,1,1,1,1,1,1,brucellosis ,"food, direct, airborne",1,0,NA,1,brucellosis,0,NA,NA
brugia beaveri,brugia beaveri,helminth,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
brugia malayi,brugia malayi,helminth,1,1,1,1,1,1,filariasis,vector,1,1,"moquito (mansonia, aedes, anopheles)",1,filariasis,1,NA,NA
brugia pahangi,brugia pahangi,helminth,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,Western Asia,TR
brugia sp.,brugia sp.,helminth,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bunostomum sp.,bunostomum sp.,helminth,1,1,1,1,1,1,cutaneous larva migrans,"direct, environment",1,0,NA,0,NA,0,NA,NA
bunostomum trigonocephalum,bunostomum trigonocephalum,helminth,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, Northern Europe, Western Europe, Australia and New Zealand","CN,AU,FR,GB"
bunyamwera orthobunyavirus,bunyamwera,virus,1,0,1,1,1,1,bunyaviridae misc,vector,1,1,mosquito,1,viral hemorrhagic fever,1,NA,NA
burkholderia cepacia,burkholderia cepacia,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
bwamba orthobunyavirus,bwamba,virus,1,1,1,1,1,1,bunyavirus infection,,1,1,mosquito,1,bwamba,1,Eastern Africa,
california encephalitis orthobunyavirus,california encephalitis,virus,1,1,1,1,1,1,california encephalitis,vector,1,1,mosquito,0,NA,1,NA,NA
campylobacter jejuni,campylobacter jejuni,bacteria/rickettsia,1,1,1,1,1,1,campylobacteriosis,"water, food",1,0,NA,0,NA,1,"Northern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Australia and New Zealand","FI,SE,IN,NZ,CN,JP,PL,PR,GB,TH,SG,TW,US,ES,EG,BD,IT,AU,CL,GR,NO,CA,ID,NG"
campylobacter sp.,campylobacter sp.,bacteria/rickettsia,1,0,1,1,1,1,campylobacteriosis,"food, water",1,0,NA,0,NA,1,NA,NA
capillaria aerophila,capillaria aerophila,helminth,1,0,1,1,1,1,capillariasis (extraintestinal),environment,1,0,NA,0,NA,0,NA,NA
capillaria hepatica,capillaria hepatica,helminth,1,0,1,1,1,1,capillariasis (extraintestinal),environment,1,0,NA,0,NA,0,NA,NA
capillaria sp.,capillaria sp.,helminth,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
cercopithecine herpesvirus 1,cercopithecine herpesvirus 1,virus,1,0,1,1,1,1,herpes b infection,"direct, respiratory",1,0,NA,1,herpes b infection,1,NA,NA
chandipura vesiculovirus,chandipura,virus,1,0,1,1,1,1,chandipura,"direct, respiratory",1,0,NA,0,NA,1,,
chikungunya,chikungunya,virus,1,1,1,1,1,1,chikungunya fever,vector,1,1,mosquito (aedes spp.),1,chikungunya fever,1,NA,NA
chlamydia psittaci,chlamydia psittaci,bacteria/rickettsia,1,1,1,1,1,1,ornithosis,"direct, respiratory",1,0,NA,0,NA,1,NA,NA
chlamydia sp.,chlamydia sp.,bacteria/rickettsia,1,1,1,1,0,1,chlamydia infections misc,sexual,0,0,NA,0,NA,0,NA,NA
chlamydophila abortus,chlamydophila abortus,bacteria/rickettsia,1,1,1,1,1,1,chlamydiophila infection,respiratory,1,0,NA,0,NA,0,NA,NA
chlamydophila felis,chlamydophila felis,bacteria/rickettsia,1,1,1,1,0,1,chlamydia infections misc.,"sexual, environment",0,0,NA,0,NA,0,"Northern America, Southern Europe","US,IT"
chlamydophila sp.,chlamydophila sp.,bacteria/rickettsia,1,1,1,1,1,1,chlamydiophila infection,respiratory,1,0,NA,0,NA,0,NA,NA
chryseobacterium sp.,chryseobacterium sp.,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
citrobacter freundii,citrobacter freundii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"South America, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","AR,DE,BD,AU,BO,RU,CN,IT,CZ,FR,PT,DK,ES,BR,IN,AT,JP,NP,GB,KR,TW"
citrobacter koseri,citrobacter koseri,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
citrobacter sp.,citrobacter sp.,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
clostridioides difficile,clostridium difficile,bacteria/rickettsia,1,1,1,1,1,1,clostridium difficile colitis,environment,0,0,NA,0,NA,1,"South America, Northern America, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","US,BE,GB,IR,IE,IT,CA,SE,AU,SI,BR,PL,FR,TW,SG"
clostridium botulinum,clostridium botulinum,bacteria/rickettsia,1,1,1,1,1,1,botulism,"food, soil",1,0,NA,0,NA,1,"Middle Africa, South America, Northern America, Eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","TD,GL,CA,FR,CN,US,DK,JP,AR,FI,HU,IT,GB"
clostridium hiranonis,clostridium hiranonis,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,Northern Europe,SE
clostridium perfringens,clostridium perfringens,bacteria/rickettsia,1,1,1,1,1,1,"clostridial food poisoning, clostridial myonecrosis, enteritis necroticans","food, environment",1,0,NA,0,NA,1,NA,NA
clostridium sordellii,clostridium sordellii,bacteria/rickettsia,1,1,1,1,1,1,neutropenic typhlitis,NA,0,0,NA,0,NA,1,Southern Europe,IT
colorado tick fever,colorado tick fever,virus,1,1,1,1,1,1,colorado tick fever,vector,1,1,tick (dermacentor andersoni),1,colorado tick fever,1,Northern America,"CA, US"
contracaecum osculatum,contracaecum osculatum,helminth,1,0,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,,
corynebacterium bovis,corynebacterium bovis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,Eastern Asia,CN
corynebacterium pseudotuberculosis,corynebacterium pseudotuberculosis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Africa, South America, Northern America, Southern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe","CL,IL,GB,DE,IT,IN,KE,US"
corynebacterium ulcerans,corynebacterium ulcerans,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"South America, Eastern Asia, Western Europe","JP,BR,DE"
corynebacterium xerosis,corynebacterium xerosis,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,Southern Europe,ES
corynosoma strumosum,corynosoma strumosum,helminth,1,0,1,1,1,1,acanthocephalan infection,food,1,0,NA,0,NA,1,NA,NA
coxiella burnetii,coxiella burnetii,bacteria/rickettsia,1,1,1,1,1,1,q fever,"environment, respiratory, food",1,1,NA,1,q fever,1,NA,NA
crimean-congo hemorrhagic fever nairovirus,crimean-congo hemorrhagic fever,virus,1,1,1,1,1,1,crimean-congo hemorrhagic fever,"vector, direct",1,1,tick (hyalomma),1,crimean-congo hemorrhagic fever,1,NA,NA
cryptosporidium parvum,cryptosporidium parvum,protozoa,1,1,1,1,1,1,cryptosporidiosis,"water, food, environment",1,0,NA,0,NA,1,NA,NA
cryptosporidium sp.,cryptosporidium sp.,protozoa,1,0,1,1,1,1,cryptosporidiosis,"water, food, environment",1,0,NA,0,NA,0,NA,NA
cyclospora cayetanensis,cyclospora cayetanensis,protozoa,1,0,1,1,1,1,cyclosporiasis,"food, water",1,0,NA,0,NA,1,Worldwide,
dengue,dengue,virus,1,1,1,1,1,1,dengue,"vector, direct",1,1,aedes spp.,1,dengue,1,NA,NA
dermatophilus congolensis,dermatophilus congolensis,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Europe, Australia and New Zealand","AU,GB"
dichelobacter nodosus,dichelobacter nodosus,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
dicrocoelium dendriticum,dicrocoelium dendriticum,helminth,1,1,1,1,1,1,dicrocoeliasis,food,1,0,NA,0,NA,1,NA,NA
dientamoeba fragilis,dientamoeba fragilis,protozoa,1,0,1,1,1,1,dientamoeba fragilis infection,fecal-oral,1,0,NA,0,NA,1,NA,NA
dioctophyma renale,dioctophyma renale,helminth,1,1,0,1,1,1,dioctophyma renale,food,1,0,NA,0,NA,1,,
dipetalonema sp.,dipetalonema sp.,helminth,1,0,1,1,1,1,mansonelliasis,vector,1,1,midge (Culicoides spp.),0,NA,0,NA,NA
diphyllobothrium cordatum,diphyllobothrium cordatum,helminth,1,0,1,1,1,1,diphyllobothriasis,"food, fish",1,0,NA,0,NA,1,Worldwide,
diphyllobothrium dendriticum,diphyllobothrium dendriticum,helminth,1,1,1,1,1,1,diphyllobothriasis,"food, fish",1,0,NA,0,NA,1,"Northern Europe, Western Europe","EE,GB,CH"
diphyllobothrium lanceolatum,diphyllobothrium lanceolatum,helminth,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
diphyllobothrium latum,diphyllobothrium latum,helminth,1,1,1,1,1,1,diphyllobothriasis (fish tapeworm),food,1,0,NA,0,NA,1,NA,NA
diphyllobothrium pacificum,diphyllobothrium pacificum,helminth,1,0,1,1,1,1,diphyllobothriasis,"food, fish",1,0,NA,0,NA,0,Southern America,
dipylidium caninum,dipylidium caninum,helminth,1,1,1,1,1,1,dipylidiasis,food,1,0,NA,0,NA,1,NA,NA
dirofilaria immitis,dirofilaria immitis,helminth,1,1,1,1,1,1,dirofilariasis,vector,1,1,mosquito,0,NA,1,NA,NA
dirofilaria repens,dirofilaria repens,helminth,1,1,1,1,1,1,dirofilariasis,vector,1,1,mosquito,0,NA,1,NA,NA
dirofilaria striata,dirofilaria striata,helminth,1,0,1,1,1,1,dirofilariasis,vector,1,1,mosquito,0,NA,1,NA,NA
dirofilaria tenuis,dirofilaria tenuis,helminth,1,0,1,1,1,1,dirofilariasis,vector,1,1,mosquito,0,NA,1,NA,NA
dirofilaria ursi,dirofilaria ursi,helminth,1,0,1,1,1,1,dirofilariasis,vector,1,1,mosquito,0,NA,1,Northern America,US
dracunculus insignis,dracunculus insignis,helminth,1,0,1,1,1,1,dracunculiasis,water,1,0,0,0,NA,1,NA,NA
eastern equine encephalitis,eastern equine encephalitis,virus,1,1,1,1,1,1,eastern equine encephalitis,vector,1,1,"mosquito (aedes, culiseta)",1,eastern equine encephalitis,1,NA,NA
echinochasmus perfoliatus,echinochasmus perfoliatus,helminth,1,0,1,1,1,1,echinostomiasis,"food, water",1,0,NA,0,NA,1,NA,NA
echinococcus granulosus,echinococcus granulosus,helminth,1,1,1,1,1,1,"echinococcosis, unilocular","food, environment",1,0,NA,0,NA,1,NA,NA
echinococcus multilocularis,echinococcus multilocularis,helminth,1,1,1,1,1,1,"echinococcosis, multilocular","food, environment",1,0,NA,1,alveolar echinococcosis,1,NA,NA
echinococcus oligarthrus,echinococcus oligarthrus,helminth,1,0,1,1,1,1,echinococcosis (american polycystic),,1,0,NA,0,NA,0,,
echinoparyphium recurvatum,echinoparyphium recurvatum,helminth,1,0,1,1,1,1,echinostomiasis,"food, water, environment",1,0,NA,0,NA,1,Northern Europe,GB
echinostoma cinetorchis,echinostoma cinetorchis,helminth,1,0,1,1,1,1,echinostomiasis,"food, water, environment",1,0,NA,0,NA,1,,
echinostoma hortense,echinostoma cinetorchis,helminth,1,0,1,1,1,1,echinostomiasis,"food, water, environment",1,0,NA,0,NA,1,,
edwardsiella sp.,edwardsiella sp.,,1,1,0,0,1,0,NA,NA,0,0,NA,0,NA,1,,
edwardsiella tarda,edwardsiella tarda,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, Northern America, Eastern Asia, Southern Asia, Northern Europe","IN,MX,CN,LT,US"
ehrlichia canis,ehrlichia canis,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis - human monocytic,vector,1,1,"tick (dermacentor variabilis, amblyomma americanum)",0,NA,0,NA,NA
ehrlichia chaffeensis,ehrlichia chaffeensis,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis - human monocytic,vector,1,1,"tick (dermacentor variabilis, amblyomma americanum)",1,ehrlichioses,1,NA,NA
ehrlichia ewingii,ehrlichia ewingii,bacteria/rickettsia,1,1,1,1,1,1,"anaplasmosis, erlichiosis","vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,1,NA,NA
ehrlichia ruminantium,ehrlichia ruminantium,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis (human monocytic),vector,1,1,"tick (Dermacentor variabilis, Amblyomma americanum)",0,NA,0,NA,NA
entamoeba chattoni,entamoeba chattoni,protozoa,1,0,1,1,1,1,entamoeba polecki infection,food,1,0,NA,0,NA,1,NA,NA
entamoeba coli,entamoeba coli,protozoa,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Africa, Western Africa, South America, Eastern Asia, South-eastern Asia, Western Asia, Western Europe","VN,NG,MW,DE,BE,BR,JP,PE,CY,TR,TW"
entamoeba dispar,entamoeba dispar,protozoa,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entamoeba hartmanni,entamoeba hartmanni,protozoa,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,Northern Europe,GB
entamoeba histolytica,entamoeba histolytica,protozoa,1,1,1,1,1,1,"amoebiasis, amoebic abscess",NA,0,1,fly,0,NA,1,NA,NA
entamoeba polecki,entamoeba polecki,protozoa,1,1,1,1,1,1,entamoeba polecki infection,food,1,0,NA,0,NA,0,"Eastern Africa, Northern Europe","SO,DK,KE,SE,ET"
enterobacter aerogenes,enterobacter aerogenes,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Southern Europe","PK,MX,KR,RU,IT,TH,BR,IN,MY,HK,CN,JP,ES"
enterobacter amnigenus,enterobacter amnigenus,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe","US,NL,SK,FI,CN"
