Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
arcanobacterium phocae,arcanobacterium phocae,arcanobacterium phocae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
arcanobacterium pyogenes,arcanobacterium pyogenes,arcanobacterium pyogenes,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
arcanobacterium sp.,arcanobacterium sp.,arcanobacterium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
arthrobacter sp.,arthrobacter sp.,arthrobacter sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
azomonas sp.,azomonas sp.,azomonas sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bacillus anthracis,bacillus anthracis,bacillus anthracis,bacteria/rickettsia,1,1,1,1,1,1,anthrax,"environment, food, vector",1,1,fly (rare),0,NA,1,NA,NA
bacillus cereus,bacillus cereus,bacillus cereus,bacteria/rickettsia,1,1,1,1,1,1,bacillus cereus food poisoning,"food, environment",0,0,NA,0,NA,1,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","HU,BR,CN,IN,KR,BE,VN,TW,CA,BO,GB,MY,US,MX,IR,IT,ES,NL,PT,TH,BF,UY,JP,CH,EC,IE,CI,BS,SE,AT,EG,DK,DE,FR,NO,FI,MZ,HK,QA,PK,TN,AR,MV"
bacillus coagulans,bacillus coagulans,bacillus coagulans,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Africa, Southern Africa, South America, Eastern Asia, Southern Asia, Southern Europe, Western Europe","CL,CN,IN,KR,IT,NL,JP,ZA,MZ"
bacillus laterosporus,bacillus laterosporus,bacillus laterosporus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bacillus mycoides,bacillus mycoides,bacillus mycoides,bacteria/rickettsia,1,0,1,1,0,1,bacillus food poisoning,food,0,0,NA,0,NA,0,"Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","FR,IN,CN,VN,MX,MY,RU,DE,ML,TH,JP,AR,HU,IT,GB,PK,DK,US"
bacillus sp.,bacillus sp.,bacillus sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bacillus thuringiensis,bacillus thuringiensis,bacillus thuringiensis,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Eastern Africa, Southern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","SD,HU,SY,PK,CN,UA,JP,AQ,IN,QA,KR,VN,CA,GB,US,MY,LB,DE,IR,TN,CO,PL,MX,PT,TH,UY,AR,IE,TR,ES,IL,FR,TW,RU,ZA,EG,MZ,BR,AU"
bacteroides pyogenes,bacteroides pyogenes,bacteroides pyogenes,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
balantidium coli,balantidium coli,balantidium coli,bacteria/rickettsia,1,1,1,1,1,1,balantidiasis,"food, water",1,0,NA,0,NA,1,NA,NA
bartonella bovis,bartonella bovis,bartonella bovis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bartonella capreoli,bartonella capreoli,bartonella capreoli,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bartonella clarridgeiae,bartonella clarridgeiae,bartonella clarridgeiae,bacteria/rickettsia,1,0,1,1,1,1,bartonellosis (cat-borne),"vector, direct",1,1,flea (Ctenocephalides),0,NA,0,NA,NA
bartonella henselae,bartonella henselae,bartonella henselae,bacteria/rickettsia,1,1,1,1,1,1,"bacillary angiomatosis, bartonellosis","vector, direct",1,1,"flea (ctenocephalides), tick (ixodid)",0,NA,1,NA,NA
bartonella rochalimae,bartonella rochalimae,bartonella rochalimae,bacteria/rickettsia,1,1,1,1,1,1,bartonellosis,"vector, direct",1,1,louse (pediculus),0,NA,0,NA,NA
bartonella schoenbuchenis,bartonella schoenbuchensis,bartonella schoenbuchensis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bartonella sp.,bartonella sp.,bartonella sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bartonella vinsonii,bartonella vinsonii,bartonella vinsonii,bacteria/rickettsia,1,1,1,1,1,1,bartonellosis,"vector, direct",1,1,louse (pediculus),0,NA,0,NA,NA
bibersteinia trehalosi,bibersteinia trehalosi,bibersteinia trehalosi,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bordetella bronchiseptica,bordetella bronchiseptica,bordetella bronchiseptica,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, South America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe","SE,MX,DE,GB,RU,CN,FR,DK,AR"
borrelia afzelii,borrelia afzelii,borrelia afzelii,bacteria/rickettsia,1,1,1,1,1,1,lyme disease,vector,1,1,"tick (ixodes, amblyomma)",1,lyme disease,0,NA,NA
borrelia burgdorferi,borrelia burgdorferi,borrelia burgdorferi,bacteria/rickettsia,1,1,1,1,1,1,lyme disease,vector,1,1,"tick (ixodes, amblyomma)",1,lyme disease,1,NA,NA
borrelia garinii,borrelia garinii,borrelia garinii,bacteria/rickettsia,1,1,1,1,1,1,lyme disease,vector,1,1,"tick (ixodes, amblyomma)",1,lyme disease,0,"Eastern Europe, Northern Europe, Southern Europe, Western Europe, Northern Africa, Central Asia, Eastern Asia, Western Asia","PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,CN,DE,TN,RU,LV,JP,TR,TW,BY,KR,DK,KZ"
borrelia harveyi,borrelia harveyi,borrelia harveyi,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
borrelia japonica,borrelia japonica,borrelia japonica,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
borrelia recurrentis,borrelia recurrentis,borrelia recurrentis,bacteria/rickettsia,1,0,1,1,1,1,relapsing fever,vector,1,1,"tick (ornithodoros), louse (pediculus)",1,relapsing fever,0,,
borrelia sp.,borrelia sp.,borrelia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brevibacillus brevis,brevibacillus brevis,brevibacillus brevis,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, South-eastern Asia, Southern Asia","CN,KR,ID,MY,IN"
brucella abortus,brucella abortus,brucella abortus,bacteria/rickettsia,1,1,1,1,1,1,brucellosis ,"food, direct, airborne",1,0,NA,1,brucellosis ,0,NA,NA
brucella melitensis,brucella melitensis,brucella melitensis,bacteria/rickettsia,1,1,1,1,1,1,brucellosis ,"food, direct, airborne",1,0,NA,0,NA,1,NA,NA
brucella microti,brucella microti,brucella microti,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brucella pinnipedialis,brucella pinnipedialis,brucella pinnipedialis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brucella sp.,brucella sp.,brucella sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brucella suis,brucella suis,brucella suis,bacteria/rickettsia,1,1,1,1,1,1,brucellosis ,"food, direct, airborne",1,0,NA,1,brucellosis,0,NA,NA
burkholderia cepacia,burkholderia cepacia,burkholderia cepacia,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
buttiauxella agrestis,buttiauxella agrestis,buttiauxella agrestis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
campylobacter jejuni,campylobacter jejuni,campylobacter jejuni,bacteria/rickettsia,1,1,1,1,1,1,campylobacteriosis,"water, food",1,0,NA,0,NA,1,"Northern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Australia and New Zealand","FI,SE,IN,NZ,CN,JP,PL,PR,GB,TH,SG,TW,US,ES,EG,BD,IT,AU,CL,GR,NO,CA,ID,NG"
campylobacter sp.,campylobacter sp.,campylobacter sp.,bacteria/rickettsia,1,0,1,1,1,1,campylobacteriosis,"food, water",1,0,NA,0,NA,1,NA,NA
chlamydia psittaci,chlamydia psittaci,chlamydia psittaci,bacteria/rickettsia,1,1,1,1,1,1,ornithosis,"direct, respiratory",1,0,NA,0,NA,1,NA,NA
chlamydia sp.,chlamydia sp.,chlamydia sp.,bacteria/rickettsia,1,1,1,1,0,1,chlamydia infections misc,sexual,0,0,NA,0,NA,0,NA,NA
chlamydophila abortus,chlamydophila abortus,chlamydophila abortus,bacteria/rickettsia,1,1,1,1,1,1,chlamydiophila infection,respiratory,1,0,NA,0,NA,0,NA,NA
chlamydophila felis,chlamydophila felis,chlamydophila felis,bacteria/rickettsia,1,1,1,1,0,1,chlamydia infections misc.,"sexual, environment",0,0,NA,0,NA,0,"Northern America, Southern Europe","US,IT"
chlamydophila sp.,chlamydophila sp.,chlamydophila sp.,bacteria/rickettsia,1,1,1,1,1,1,chlamydiophila infection,respiratory,1,0,NA,0,NA,0,NA,NA
chryseobacterium sp.,chryseobacterium sp.,chryseobacterium sp.,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
citrobacter freundii,citrobacter freundii,citrobacter freundii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"South America, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","AR,DE,BD,AU,BO,RU,CN,IT,CZ,FR,PT,DK,ES,BR,IN,AT,JP,NP,GB,KR,TW"
citrobacter koseri,citrobacter koseri,citrobacter koseri,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
citrobacter sp.,citrobacter sp.,citrobacter sp.,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
clostridioides difficile,clostridium difficile,clostridium difficile,bacteria/rickettsia,1,1,1,1,1,1,clostridium difficile colitis,environment,0,0,NA,0,NA,1,"South America, Northern America, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","US,BE,GB,IR,IE,IT,CA,SE,AU,SI,BR,PL,FR,TW,SG"
clostridium bartlettii,clostridium bartlettii,clostridium bartlettii,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
clostridium botulinum,clostridium botulinum,clostridium botulinum,bacteria/rickettsia,1,1,1,1,1,1,botulism,"food, soil",1,0,NA,0,NA,1,"Middle Africa, South America, Northern America, Eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","TD,GL,CA,FR,CN,US,DK,JP,AR,FI,HU,IT,GB"
clostridium colicanis,clostridium colicanis,clostridium colicanis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
clostridium disporicum,clostridium disporicum,clostridium disporicum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
clostridium glycolicum,clostridium glycolicum,clostridium glycolicum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
clostridium haemolyticum,clostridium haemolyticum,clostridium haemolyticum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
clostridium hiranonis,clostridium hiranonis,clostridium hiranonis,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,Northern Europe,SE
clostridium paraputrificum,clostridium paraputrificum,clostridium paraputrificum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
clostridium perfringens,clostridium perfringens,clostridium perfringens,bacteria/rickettsia,1,1,1,1,1,1,"clostridial food poisoning, clostridial myonecrosis, enteritis necroticans","food, environment",1,0,NA,0,NA,1,NA,NA
clostridium sardiniense,clostridium sardiniense,clostridium sardiniense,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
clostridium sordellii,clostridium sordellii,clostridium sordellii,bacteria/rickettsia,1,1,1,1,1,1,neutropenic typhlitis,NA,0,0,NA,0,NA,1,Southern Europe,IT
clostridium sp.,clostridium sp.,clostridium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
corynebacterium bovis,corynebacterium bovis,corynebacterium bovis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,Eastern Asia,CN
corynebacterium pilosum,corynebacterium pilosum,corynebacterium pilosum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
corynebacterium pseudotuberculosis,corynebacterium pseudotuberculosis,corynebacterium pseudotuberculosis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Africa, South America, Northern America, Southern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe","CL,IL,GB,DE,IT,IN,KE,US"
corynebacterium renale,corynebacterium renale,corynebacterium renale,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
corynebacterium sp.,corynebacterium sp.,corynebacterium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
corynebacterium ulcerans,corynebacterium ulcerans,corynebacterium ulcerans,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"South America, Eastern Asia, Western Europe","JP,BR,DE"
corynebacterium xerosis,corynebacterium xerosis,corynebacterium xerosis,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,Southern Europe,ES
coxiella burnetii,coxiella burnetii,coxiella burnetii,bacteria/rickettsia,1,1,1,1,1,1,q fever,"environment, respiratory, food",1,1,NA,1,q fever,1,NA,NA
cupriavidus pauculus,cupriavidus pauculus,cupriavidus pauculus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
dermatophilus congolensis,dermatophilus congolensis,dermatophilus congolensis,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Europe, Australia and New Zealand","AU,GB"
dichelobacter nodosus,dichelobacter nodosus,dichelobacter nodosus,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
edwardsiella tarda,edwardsiella tarda,edwardsiella tarda,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, Northern America, Eastern Asia, Southern Asia, Northern Europe","IN,MX,CN,LT,US"
ehrlichia canis,ehrlichia canis,ehrlichia canis,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis - human monocytic,vector,1,1,"tick (dermacentor variabilis, amblyomma americanum)",0,NA,0,NA,NA
ehrlichia chaffeensis,ehrlichia chaffeensis,ehrlichia chaffeensis,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis - human monocytic,vector,1,1,"tick (dermacentor variabilis, amblyomma americanum)",1,ehrlichioses,1,NA,NA
ehrlichia ewingii,ehrlichia ewingii,ehrlichia ewingii,bacteria/rickettsia,1,1,1,1,1,1,"anaplasmosis, erlichiosis","vector, direct",1,1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,ehrlichioses,1,NA,NA
ehrlichia muris,ehrlichia muris,ehrlichia muris,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ehrlichia ruminantium,ehrlichia ruminantium,ehrlichia ruminantium,bacteria/rickettsia,1,1,1,1,1,1,ehrlichiosis (human monocytic),vector,1,1,"tick (Dermacentor variabilis, Amblyomma americanum)",0,NA,0,NA,NA
ehrlichia sp.,ehrlichia sp.,ehrlichia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
empedobacter brevis,empedobacter brevis,empedobacter brevis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterobacter aerogenes,enterobacter aerogenes,enterobacter aerogenes,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Southern Europe","PK,MX,KR,RU,IT,TH,BR,IN,MY,HK,CN,JP,ES"
enterobacter amnigenus,enterobacter amnigenus,enterobacter amnigenus,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe","US,NL,SK,FI,CN"
enterobacter cloacae,enterobacter cloacae,enterobacter cloacae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","IN,PK,SE,NL,AR,DE,MX,CN,IT,JP,SK,FR,CZ,PT,US,MY,AT,DZ,BR,RU,TW,GB"
enterobacter sp.,enterobacter sp.,enterobacter sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
enterococcus casseliflavus,enterococcus casseliflavus,enterococcus casseliflavus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Western Africa, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Northern Europe, Southern Europe","MY,TW,NG,US,IN,JP,PK,DK,IT"
enterococcus faecalis,enterococcus faecalis,enterococcus faecalis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
enterococcus faecium,enterococcus faecium,enterococcus faecium,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","PK,BR,CN,IN,GR,KR,GH,TW,TN,GB,US,NG,RU,DE,MX,ES,IR,IT,FR,TH,NO,JP,AR,NL,UG,TR,DK,CA,IE,GE,PT,SG"
enterococcus hirae,enterococcus hirae,enterococcus hirae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Africa, South America, Northern America, Eastern Asia, Southern Europe","ES,AR,UG,JP,US,BR"
enterococcus mundtii,enterococcus mundtii,enterococcus mundtii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern America, Eastern Asia, Southern Asia","US,JP,IN"
enterococcus sp.,enterococcus sp.,enterococcus sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
erwinia sp.,erwinia sp.,erwinia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
erysipelothrix rhusiopathiae,erysipelothrix rhusiopathiae,erysipelothrix rhusiopathiae,bacteria/rickettsia,1,1,0,1,1,1,erysipeloid,food,1,0,NA,0,NA,1,,
escherichia coli,escherichia coli,escherichia coli,bacteria/rickettsia,1,1,1,1,1,1,multiple (diarrhea),"food, water, fecal-oral",1,0,NA,0,NA,1,NA,NA
escherichia sp.,escherichia sp.,escherichia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
flavobacterium sp.,flavobacterium sp.,flavobacterium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
francisella tularensis,francisella tularensis,francisella tularensis,bacteria/rickettsia,1,1,1,1,1,1,tularemia,"vector, food, water, respiratory, direct",1,1,"deer fly (chrysops), tick, mosquito",1,tularemia (type b),1,NA,NA
fusobacterium necrophorum,fusobacterium necrophorum,fusobacterium necrophorum,bacteria/rickettsia,1,1,1,1,1,1,various,NA,0,0,NA,0,NA,1,"Eastern Asia, Southern Asia","CN,IN"
fusobacterium sp.,fusobacterium sp.,fusobacterium sp.,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
gemella haemolysans,gemella haemolysans,gemella haemolysans,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gemella morbillorum,gemella morbillorum,gemella morbillorum,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gemella sp.,gemella sp.,gemella sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
haemophilus sp.,haemophilus sp.,haemophilus sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
hafnia alvei,hafnia alvei,hafnia alvei,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
hafnia sp.,hafnia sp.,hafnia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
helcoccus sp.,helcoccus sp.,helcoccus sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
