Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
helicobacter mustelae,helicobacter mustelae,helicobacter mustelae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
helicobacter pullorum,helicobacter pullorum,helicobacter pullorum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Western Europe","US,AT"
helicobacter pylori,helicobacter pylori,helicobacter pylori,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Polynesia","KE,IR,BY,FI,NL,CL,IT,LT,IN,BD,VN,SN,NZ,PE,CN,JP,US,PH,BR,CO,PL,FR,UY,GB,CR,IE,ZA,GT,TH,GM,AR,HK,PT,AU,TR,KH,SG,RU,GR,KZ,KR,TW,VE,MY,NO,DE,ES,MX,SE,EE,CA,BE,SA,PK,ID,PA,DK,PF,BQ,MV"
helicobacter salomonis,helicobacter salomonis,helicobacter salomonis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
helicobacter suis,helicobacter suis,helicobacter suis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
histophilus somni,histophilus somni,histophilus somni,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe, Australia and New Zealand","US,CH,HU,GB,AU,JP,CA"
histoplasma capsulatum var. farciminosum,histoplasma capsulatum var. farciminosum,histoplasma capsulatum var. farciminosum,bacteria/rickettsia,1,0,1,1,1,1,histoplasmosis,"environment, respiratory, direct",1,NA,0,0,NA,1,,
howardella ureilytica,howardella ureilytica,howardella ureilytica,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
idiomarina loihiensis,idiomarina loihiensis,idiomarina loihiensis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,RO
ignatzschineria larvae,ignatzschineria larvae,ignatzschineria larvae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Europe, Northern Europe","NO,HU"
isoptericola variabilis,isoptericola variabilis,isoptericola variabilis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,JP
janibacter melonis,janibacter melonis,janibacter melonis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Asia,IN
janibacter sanguinis,janibacter sanguinis,janibacter sanguinis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
janthinobacterium lividum,janthinobacterium lividum,janthinobacterium lividum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Southern Europe, Western Europe","CA,AT,DE,IT"
joostella marina,joostella marina,joostella marina,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
kerstersia gyiorum,kerstersia gyiorum,kerstersia gyiorum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Southern Asia","IN,AR"
klebsiella oxytoca,klebsiella oxytoca,klebsiella oxytoca,bacteria/rickettsia,1,1,1,1,1,1,klebsiella oxytoca colitis,environment,0,NA,0,0,NA,1,"South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IR,IN,GB,JP,PT,DK,ES,MY,US,IE,CN,FR,AT,AQ,DE,BR,PK,AU,UY,NL"
klebsiella pneumoniae,klebsiella pneumoniae,klebsiella pneumoniae,bacteria/rickettsia,1,1,1,1,1,1,"pneumonia, rhinoscleroma ","environment, respiratory",0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,BG,IR,IN,NL,DE,NZ,AU,GB,GR,MX,CO,JP,PL,MY,PT,TH,ES,BR,IQ,ZA,US,IE,CN,FR,UG,SE,AT,DK,TW,GA,SG,TN,TR,VN,CA,IT,BD,SA,TT,HK,SN,NG,PR,HR,MV"
klebsiella variicola,klebsiella variicola,klebsiella variicola,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Southern Asia","IN,BR"
klugiella xanthotipulae,klugiella xanthotipulae,klugiella xanthotipulae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
kluyvera cryocrescens,kluyvera cryocrescens,kluyvera cryocrescens,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"South America, Eastern Asia, South-eastern Asia, Southern Europe","ES,BR,SG,CN"
kluyvera intermedia,kluyvera intermedia,kluyvera intermedia,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Eastern Asia, Southern Asia, Western Europe","HK,IN,CN,CL,DE"
kocuria carniphila,kocuria carniphila,kocuria carniphila,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Northern Europe","CN,FI"
kocuria marina,kocuria marina,kocuria marina,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Eastern Asia, Southern Asia, Northern Europe, Southern Europe","BR,JP,IR,FI,IN,ES"
kocuria palustris,kocuria palustris,kocuria palustris,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Southern Africa, Caribbean, South America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe","IN,AQ,KW,CN,ZA,RU,BS,BR,PL"
kocuria rhizophila,kocuria rhizophila,kocuria rhizophila,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Southern Asia, Southern Europe, Western Europe","IN,NL,ES,US"
kurthia gibsonii,kurthia gibsonii,kurthia gibsonii,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Eastern Asia, Southern Asia","BR,IR,JP"
kushneria marisflavi,kushneria marisflavi,kushneria marisflavi,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
kytococcus schroeteri,kytococcus schroeteri,kytococcus schroeteri,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Asia, Southern Asia, Western Europe","IN,CN,DE"
kytococcus sedentarius,kytococcus sedentarius,kytococcus sedentarius,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Southern Europe, Western Europe","PT,HR,AT"
labrenzia alba,labrenzia alba,labrenzia alba,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Caribbean, Southern Europe","BS,ES"
lactobacillus acidophilus,lactobacillus acidophilus,lactobacillus acidophilus,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Southern Asia, Western Asia, Northern Europe, Western Europe","CN,IN,KR,DE,SE,SA"
lactobacillus agilis,lactobacillus agilis,lactobacillus agilis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South-eastern Asia,TH
lactobacillus alvei,lactobacillus alvei,lactobacillus alvei,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
lactobacillus amylovorus,lactobacillus amylovorus,lactobacillus amylovorus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,DE
lactobacillus brevis,lactobacillus brevis,lactobacillus brevis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Southern Africa, South America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Southern Europe, Western Europe","BG,DE,CN,IN,KR,TR,JP,ZA,AR,IR,TH,IT"
lactobacillus casei,lactobacillus casei,lactobacillus casei,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Africa, Western Africa, Central America, Eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe","MX,CN,IN,KR,GB,IR,DE,BF,ES,RS,JP,UG,SE"
lactobacillus crispatus,lactobacillus crispatus,lactobacillus crispatus,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Northern Europe, Southern Europe","FI,GB,CN,ES,IT"
lactobacillus curvatus,lactobacillus curvatus,lactobacillus curvatus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","ES,KR,CN"
lactobacillus equi,lactobacillus equi,lactobacillus equi,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
lactobacillus farciminis,lactobacillus farciminis,lactobacillus farciminis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia","CN,US"
lactobacillus fermentum,lactobacillus fermentum,lactobacillus fermentum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Africa, Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe","EE,KE,CN,BR,IN,GH,US,ES,PK,CH,TH,IT,NG"
lactobacillus gasseri,lactobacillus gasseri,lactobacillus gasseri,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Northern Europe, Southern Europe","CN,IT,JP,SE,ES,RS"
lactobacillus ingluviei,lactobacillus ingluviei,lactobacillus ingluviei,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,BE
lactobacillus johnsonii,lactobacillus johnsonii,lactobacillus johnsonii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Central America, Southern Asia","IN,CR"
lactobacillus kunkeei,lactobacillus kunkeei,lactobacillus kunkeei,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Africa,ZA
lactobacillus mucosae,lactobacillus mucosae,lactobacillus mucosae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Northern Europe, Southern Europe","CN,IT,ES,DK"
lactobacillus murinus,lactobacillus murinus,lactobacillus murinus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Europe,ES
lactobacillus pantheris,lactobacillus pantheris,lactobacillus pantheris,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
lactobacillus pentosus,lactobacillus pentosus,lactobacillus pentosus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","CN,TW,JP,GR,IT"
lactobacillus plantarum,lactobacillus plantarum,lactobacillus plantarum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","BG,KE,CN,CH,IN,GR,TW,KR,NZ,GH,DE,TR,IT,NG,US,TH,JP,EG,AR,GB,ES,RS,FR,IR,UG,MX,BF"
lactobacillus psittaci,lactobacillus psittaci,lactobacillus psittaci,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
lactobacillus reuteri,lactobacillus reuteri,lactobacillus reuteri,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Western Africa, Northern America, Eastern Asia, Southern Asia, Southern Europe, Western Europe","CN,IN,GH,KR,CA,DE,IT,ES"
lactobacillus ruminis,lactobacillus ruminis,lactobacillus ruminis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,Eastern Asia,CN
lactobacillus sakei,lactobacillus sakei,lactobacillus sakei,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Northern Europe, Southern Europe, Western Europe","FR,DE,IT,NO,JP,KR,CN,TW"
lactobacillus salivarius,lactobacillus salivarius,lactobacillus salivarius,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Western Africa, Eastern Asia, South-eastern Asia, Western Asia, Eastern Europe, Southern Europe, Western Europe","BG,CN,GH,ES,TR,TH,JP,FR"
lactobacillus vermiforme,lactobacillus vermiforme,lactobacillus vermiforme,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,DE
lactococcus garvieae,lactococcus garvieae,lactococcus garvieae,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"South America, Eastern Asia, South-eastern Asia, Southern Asia, Southern Europe","JP,ES,CL,KH,TW,KR,IR,CN,IT"
lactococcus lactis,lactococcus lactis,lactococcus lactis,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, South America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","CN,IN,TW,GB,RU,TR,ES,IR,IT,DK,JP,UG,RS,KR,CL,FI"
lactococcus raffinolactis,lactococcus raffinolactis,lactococcus raffinolactis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,"CN,JP"
lawsonia intracellularis,lawsonia intracellularis,lawsonia intracellularis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia, Northern Europe","CN,NO,US"
leclercia adecarboxylata,leclercia adecarboxylata,leclercia adecarboxylata,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"South America, Eastern Asia, South-eastern Asia, Eastern Europe","RU,EC,CN,MY,KR"
leifsonia aquatica,leifsonia aquatica,leifsonia aquatica,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"South America, Northern Europe","VE,GB"
leifsonia shinshuensis,leifsonia shinshuensis,leifsonia shinshuensis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
leptonema illini,leptonema illini,leptonema illini,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Southern Asia","US,IN"
leptospira borgpetersenii,leptospira borgpetersenii,leptospira borgpetersenii,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia, Eastern Asia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,JP,CN"
leptospira fainei,leptospira fainei,leptospira fainei,bacteria/rickettsia,1,0,1,1,1,1,leptospirosis,"water, environment, direct",1,NA,0,1,leptospirosis,0,South America,PE
leptospira interrogans,leptospira interrogans,leptospira interrogans,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia, Eastern Asia, Southern Asia, Western Asia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,TR,IR,CN,DK,IN,MG,KR,EG,JP,PF,MV"
leptospira kirschneri,leptospira kirschneri,leptospira kirschneri,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia, Southern Asia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,IR"
leptospira licerasiae,leptospira licerasiae,leptospira licerasiae,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,0,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO"
leptospira noguchii,leptospira noguchii,leptospira noguchii,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,1,,
leptospira santarosai,leptospira santarosai,leptospira santarosai,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO"
leptospira weilii,leptospira weilii,leptospira weilii,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia, Eastern Asia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,CN"
leptospira wolffii,leptospira wolffii,leptospira wolffii,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,NA,0,1,leptospirosis,0,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO"
leucobacter tardus,leucobacter tardus,leucobacter tardus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Asia, Western Europe","CN,IN,DE"
leuconostoc mesenteroides,leuconostoc mesenteroides,leuconostoc mesenteroides,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Africa, Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Southern Europe","PK,AR,CN,TW,KR,GR,TR,US,IN,GH,JP,UG,ID"
leucothrix mucor,leucothrix mucor,leucothrix mucor,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
lewinella lutea,lewinella lutea,lewinella lutea,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
listeria ivanovii,listeria ivanovii,listeria ivanovii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Asia, Western Europe","CN,FR"
listeria monocytogenes,listeria monocytogenes,listeria monocytogenes,bacteria/rickettsia,1,1,1,1,1,1,listeriosis,"food, water, fluids",1,NA,0,0,NA,1,"Southern Africa, Central America, South America, Northern America, Eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe","CN,FR,IN,GR,GB,US,IR,BE,JP,CA,DK,NO,IT,ES,ZA,TW,BR,CR"
listeria seeligeri,listeria seeligeri,listeria seeligeri,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Eastern Asia, Western Europe","CN,FR,US"
listonella anguillarum,listonella anguillarum,listonella anguillarum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Northern America, Eastern Asia, Northern Europe, Southern Europe","CN,DK,ES,US,JP,CL,RS,PT"
listonella pelagia,listonella pelagia,listonella pelagia,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Caribbean, Eastern Asia, South-eastern Asia","CN,PH,BS"
luteibacter anthropi,luteibacter anthropi,luteibacter anthropi,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
lysinibacillus fusiformis,lysinibacillus fusiformis,lysinibacillus fusiformis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Central America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","MY,IT,HU,FI,DE,CN,SE,MX,IN,PK,JP"
lysinibacillus sphaericus,lysinibacillus sphaericus,lysinibacillus sphaericus,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","PK,IN,CN,GB,DE,MX,MY,US,ES,CO,FI,JP,AR,SG,RU,BR"
lysinibacillus xylanilyticus,lysinibacillus xylanilyticus,lysinibacillus xylanilyticus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Southern Asia, Western Asia, Western Europe","IN,FR,IL"
macrococcus bovicus,macrococcus bovicus,macrococcus bovicus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
macrococcus caseolyticus,macrococcus caseolyticus,macrococcus caseolyticus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
mannheimia caviae,mannheimia caviae,mannheimia caviae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
mannheimia granulomatis,mannheimia granulomatis,mannheimia granulomatis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
mannheimia haemolytica,mannheimia haemolytica,mannheimia haemolytica,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Northern Europe, Western Europe, Australia and New Zealand","NO,BE,DE,AU,GB,CA"
mannheimia ruminalis,mannheimia ruminalis,mannheimia ruminalis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
mannheimia varigena,mannheimia varigena,mannheimia varigena,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern Europe, Western Europe","NO,DE"
marinomonas brasiliensis,marinomonas brasiliensis,marinomonas brasiliensis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South America,BR
marinomonas vaga,marinomonas vaga,marinomonas vaga,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Melanesia,NC
megamonas hypermegale,megamonas hypermegale,megamonas hypermegale,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,NA,0,0,NA,0,Australia and New Zealand,NZ
megasphaera elsdenii,megasphaera elsdenii,megasphaera elsdenii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,Eastern Asia,JP
melissococcus plutonius,melissococcus plutonius,melissococcus plutonius,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
mesoplasma corruscae,mesoplasma corruscae,mesoplasma corruscae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
mesoplasma photuris,mesoplasma photuris,mesoplasma photuris,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
metascardovia criceti,metascardovia criceti,metascardovia criceti,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
methylobacterium gregans,methylobacterium gregans,methylobacterium gregans,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Asia","JP,IN"
microbacterium arborescens,microbacterium arborescens,microbacterium arborescens,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Asia, Western Asia, Western Europe","IN,FR,CN,KW"
microbacterium esteraromaticum,microbacterium esteraromaticum,microbacterium esteraromaticum,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Central America, South America, Eastern Asia, Southern Asia","MX,JP,BR,IN"
microbacterium imperiale,microbacterium imperiale,microbacterium imperiale,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Southern Asia","IN,AR"
microbacterium kitamiense,microbacterium kitamiense,microbacterium kitamiense,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Europe, Southern Europe","PT,HU"
