Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
california encephalitis,california encephalitis,california encephalitis virus,virus,1,1,1,1,1,1,california encephalitis,vector,1,1,mosquito,0,NA,1
callitrichine herpesvirus 1,callitrichine herpesvirus 1,callitrichine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
callitrichine herpesvirus 3,callitrichine herpesvirus 3,callitrichine herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
camelpox,camelpox,camelpox virus,virus,1,0,0,1,1,1,camelpox (vaccinia and cowpox),direct,1,0,NA,0,NA,0
candiru,candiru,candiru virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canid herpesvirus 1,canid herpesvirus 1,canid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine adenovirus,canine adenovirus,canine adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine calicivirus,canine calicivirus,canine calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine coronavirus,canine coronavirus,canine coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine distemper,canine distemper,canine distemper virus,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine minute,canine minute,canine minute virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine oral papillomavirus,canine oral papillomavirus,canine oral papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cano delgadito,cano delgadito,cano delgadito virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caprine arthritis encephalitis,caprine arthritis encephalitis,caprine arthritis encephalitis virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caprine herpesvirus 1,caprine herpesvirus 1,caprine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caraparu,caraparu,caraparu virus,virus,1,1,1,1,1,1,group c viral fevers,vector,1,1,"mosquito (culex, aedes, limatus, wyeomyia, coquillettidia, mansonia, psophora)",1,bunyavirus group c disease,1
carey island,carey island,carey island virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
catu,catu,catu virus,virus,1,1,1,1,1,1,bunyaviridae infections misc.,vector,1,1,mosquito,0,NA,1
caviid herpesvirus 1,caviid herpesvirus 1,caviid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caviid herpesvirus 2,caviid herpesvirus 2,caviid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caviid herpesvirus 3,caviid herpesvirus 3,caviid herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 1,cercopithecine herpesvirus 1,cercopithecine herpesvirus 1,virus,1,1,1,1,1,1,herpes b infection,"direct, respiratory",1,0,NA,1,herpes b infection,1
cercopithecine herpesvirus 12,cercopithecine herpesvirus 12,cercopithecine herpesvirus 12,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 14,cercopithecine herpesvirus 14,cercopithecine herpesvirus 14,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 15,cercopithecine herpesvirus 15,cercopithecine herpesvirus 15,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 16,cercopithecine herpesvirus 16,cercopithecine herpesvirus 16,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 17,cercopithecine herpesvirus 17,cercopithecine herpesvirus 17,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 2,cercopithecine herpesvirus 2,cercopithecine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 5,cercopithecine herpesvirus 5,cercopithecine herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 8,cercopithecine herpesvirus 8,cercopithecine herpesvirus 8,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 9,cercopithecine herpesvirus 9,cercopithecine herpesvirus 9,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cervid herpesvirus 1,cervid herpesvirus 1,cervid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cervid herpesvirus 2,cervid herpesvirus 2,cervid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cetacean morbillivirus,cetacean morbillivirus,cetacean morbillivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
chagres,chagres,chagres virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
chandipura,chandipura,chandipura virus,virus,1,1,1,1,1,1,chandipura virus infection,"vector, contact",1,1,sandfly,0,NA,1
changuinola,changuinola,changuinola virus,virus,1,1,1,1,1,1,new world phlebovirus,vector,1,1,"sandfly (lutzomyia), tick",0,NA,1
chikungunya,chikungunya,chikungunya virus,virus,1,1,1,1,1,1,chikungunya fever,vector,1,1,mosquito (aedes spp.),1,chikungunya fever,1
chipmunk parvovirus,chipmunk parvovirus,chipmunk parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
chobar gorge,chobar gorge,chobar gorge virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
classical swine fever,classical swine fever,classical swine fever virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cocal,cocal,cocal virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
colorado tick fever,colorado tick fever,colorado tick fever virus,virus,1,1,1,1,1,1,colorado tick fever,vector,1,1,tick (Dermacentor andersoni),1,Colorado Tick fever,1
corriparta,corriparta,corriparta virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cote d'ivoire ebolavirus,tai forest ebolavirus,tai forest ebolavirus,virus,1,1,1,1,1,1,ebola,"direct, environment, sexual",1,0,NA,1,ebola,1
cottontail rabbit papillomavirus,cottontail rabbit papillomavirus,cottontail rabbit papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cowbone ridge,cowbone ridge,cowbone ridge virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cowpox,cowpox,cowpox virus,virus,1,1,1,1,1,1,cowpox,direct,1,0,NA,1,cowpox,1
cricetid herpesvirus,cricetid herpesvirus,cricetid herpesvirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
crimean-congo hemorrhagic fever,crimean-congo hemorrhagic fever,crimean-congo hemorrhagic fever virus,virus,1,1,1,1,1,1,crimean-congo hemorrhagic fever,"vector, direct",1,1,tick (hyalomma),1,crimean-congo hemorrhagic fever,1
cupixi,cupixi,cupixi virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
dakar bat,dakar bat,dakar bat virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
deer adenovirus,deer adenovirus,deer adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
deer papillomavirus,deer papillomavirus,deer papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
dengue,dengue,dengue virus,virus,1,1,1,1,1,1,dengue,"vector, direct",1,1,aedes spp.,1,dengue,1
dera ghazi khan,dera ghazi khan,dera ghazi khan virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
dhori,dhori,dhori virus,virus,1,0,1,1,1,1,viral encephalitis or hepatitis,vector,1,1,tick,0,NA,1
dobrava-belgrade,dobrava-belgrade,dobrava-belgrade virus,virus,1,1,1,1,1,1,old world hantavirus,"direct, environmental, respiratory",1,0,NA,0,NA,1
dugbe,dugbe,dugbe virus,virus,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1
duvenhage,duvenhage,duvenhage virus,virus,1,1,1,1,1,1,rabies,"direct, bite",1,0,NA,0,NA,1
eastern equine encephalitis,eastern equine encephalitis,eastern equine encephalitis virus,virus,1,0,1,1,1,1,eastern equine encephalitis,vector,1,1,"mosquito (aedes, culiseta)",1,eastern equine encephalitis,1
ectromelia,ectromelia,ectromelia virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
el moro canyon,el moro canyon,el moro canyon virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
encephalomyocarditis,encephalomyocarditis,encephalomyocarditis virus,virus,1,1,1,1,1,1,respiratory viruses (misc),respiratory,0,0,NA,0,NA,1
entebbe bat,entebbe bat,entebbe bat virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
epizootic hemorrhagic disease,epizootic hemorrhagic disease,epizootic hemorrhagic disease virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 1,equid herpesvirus 1,equid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 2,equid herpesvirus 2,equid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 3,equid herpesvirus 3,equid herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 4,equid herpesvirus 4,equid herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 5,equid herpesvirus 5,equid herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 7,equid herpesvirus 7,equid herpesvirus 7,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 8,equid herpesvirus 8,equid herpesvirus 8,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 9,equid herpesvirus 9,equid herpesvirus 9,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine adenovirus a,equine adenovirus a,equine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine adenovirus b,equine adenovirus b,equine adenovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine arteritis,equine arteritis,equine arteritis virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine encephalosis,equine encephalosis,equine encephalosis virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine foamy,equine foamy,equine foamy virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine infectious anemia,equine infectious anemia,equine infectious anemia virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine papillomavirus 1,equine papillomavirus 1,equine papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine rhinitis a,equine rhinitis a,equine rhinitis a virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine rhinitis b,equine rhinitis b,equine rhinitis b virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine torovirus,equine torovirus,equine torovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
eubenangee,eubenangee,eubenangee virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
european bat lyssavirus 1,european bat lyssavirus 1,european bat lyssavirus 1,virus,1,1,1,1,1,1,rabies,"direct, bite",1,0,NA,1,rabies,1
european bat lyssavirus 2,european bat lyssavirus 2,european bat lyssavirus 2,virus,1,1,1,1,1,1,rabies,"direct, bite",1,0,NA,1,rabies,1
european brown hare syndrome,european brown hare syndrome,european brown hare syndrome virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
european elk papillomavirus,european elk papillomavirus,european elk papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
everglades,everglades,everglades virus,virus,1,0,1,1,1,1,venezuelan equine encephalitis-related,vector,1,1,"mosquito (culex spp., aedes taeniorhynchus, psophora confinnis, anopheles spp.)",1,encephalitis,1
eyach,eyach,eyach virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
felid herpesvirus 1,felid herpesvirus 1,felid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline astrovirus,feline astrovirus,feline astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline calicivirus,feline calicivirus,feline calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline coronavirus,feline coronavirus,feline coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline foamy,feline foamy,feline foamy virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline immunodeficiency,feline immunodeficiency,feline immunodeficiency virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline leukemia,feline leukemia,feline leukemia virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline panleukopenia,feline panleukopenia,feline panleukopenia virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline papillomavirus,feline papillomavirus,feline papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
flexal,flexal,flexal virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
foot-and-mouth disease,foot-and-mouth disease,foot-and-mouth disease virus,virus,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1
gan gan,gan gan,gan gan virus,virus,1,0,1,1,1,1,barmah forest disease,vector,1,1,"mosquito (Aedes vigilax, Ae. camptorhynchus, Culex spp., Ae. normanensis and Coquillettidia spp)",0,NA,1
gb virus a,gb virus a,gb virus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
gb virus b,gb virus b,gb virus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
gb virus c,gb virus c,gb virus c,virus,1,1,0,1,0,1,human pegivirus infection,"fluids, sexual",0,0,NA,0,NA,0
getah,getah,getah virus,virus,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1
gibbon ape leukemia,gibbon ape leukemia,gibbon ape leukemia virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
goat adenovirus,goat adenovirus,goat adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
goatpox,goatpox,goatpox virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
great island,great island,great island virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ground squirrel hepatitis,ground squirrel hepatitis,ground squirrel hepatitis virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
guama,guama,guama virus,virus,1,1,1,1,1,1,bunyaviridae infections misc.,vector,1,1,mosquito,0,NA,1
guanarito,guanarito,guanarito virus,virus,1,1,1,1,1,1,venezuelan haemorrhagic fever,"direct, environment, respiratory",1,0,NA,1,Venezuelan hemorrhagic fever,1
guaroa,guaroa,guaroa virus,virus,1,0,1,1,1,1,california encephalitis,vector,1,1,"mosquito (aedes, anopheles triseriatus, culex, psorophora)",0,NA,1
guinea pig adenovirus,guinea pig adenovirus,guinea pig adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
guinea pig type-c oncovirus,guinea pig type-c oncovirus,guinea pig type-c oncovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
h-1 parvovirus,h-1 parvovirus,h-1 parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster oral papillomavirus,hamster oral papillomavirus,hamster oral papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster parvovirus,hamster parvovirus,hamster parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster polyomavirus,hamster polyomavirus,hamster polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
